energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
3.51475738,2.39933248,3.03378244,0.08595227,0.69596276,0.00007491,0.06658676,0.50022854
3.52076038,2.42736005,3.07141081,0.08576766,0.72618155,0.00007841,0.06549732,0.50192633
3.52676338,2.46286839,3.11443518,0.08597250,0.75939656,0.00008210,0.06460457,0.50578816
3.53276638,2.50468152,3.16111820,0.08653150,0.79529570,0.00008594,0.06388450,0.51161378
3.53876938,2.55149146,3.20961349,0.08740418,0.83352267,0.00008987,0.06331101,0.51916926
3.54477239,2.60190096,3.25802561,0.08854643,0.87368479,0.00009386,0.06285692,0.52819487
3.55077539,2.65446785,3.30447156,0.08991197,0.91536165,0.00009785,0.06249512,0.53841331
3.55677839,2.70774949,3.34714146,0.09145378,0.95811411,0.00010180,0.06219954,0.54953770
3.56278139,2.76034570,3.38435614,0.09312549,1.00149349,0.00010567,0.06194613,0.56127936
3.56878439,2.81093861,3.41461946,0.09488246,1.04505053,0.00010942,0.06171362,0.57335487
3.57478739,2.85832813,3.43666341,0.09668282,1.08834390,0.00011301,0.06148415,0.58549238
3.58079040,2.90146196,3.44948451,0.09848820,1.13094809,0.00011643,0.06124370,0.59743700
3.58679340,2.93945908,3.45237013,0.10026429,1.17246030,0.00011964,0.06098236,0.60895507
3.59279640,2.97162631,3.44491413,0.10198118,1.21250637,0.00012263,0.06069432,0.61983748
3.59879940,2.99746752,3.42702150,0.10361348,1.25074557,0.00012539,0.06037773,0.62990177
3.60480240,3.01668565,3.39890218,0.10514027,1.28687421,0.00012791,0.06003436,0.63899338
3.61080540,3.02917775,3.36105483,0.10654491,1.32062814,0.00013020,0.05966913,0.64698590
3.61680840,3.03502376,3.31424148,0.10781467,1.35178422,0.00013227,0.05928950,0.65378062
3.62281141,3.03446994,3.25945470,0.10894042,1.38016083,0.00013412,0.05890477,0.65930549
3.62881441,3.02790790,3.19787881,0.10991610,1.40561765,0.00013577,0.05852539,0.66351356
3.63481741,3.01585055,3.13084721,0.11073831,1.42805481,0.00013723,0.05816223,0.66638128
3.64082041,2.99890618,3.05979752,0.11140594,1.44741169,0.00013853,0.05782590,0.66790660
3.64682341,2.97775198,2.98622674,0.11191974,1.46366539,0.00013969,0.05752619,0.66810715
3.65282641,2.95310820,2.91164799,0.11228209,1.47682924,0.00014073,0.05727154,0.66701845
3.65882941,2.92571397,2.83755048,0.11249678,1.48695125,0.00014168,0.05706871,0.66469240
3.66483242,2.89630584,2.76536409,0.11256892,1.49411276,0.00014257,0.05692258,0.66119594
3.67083542,2.86559947,2.69642930,0.11250493,1.49842718,0.00014343,0.05683605,0.65660992
3.67683842,2.83427511,2.63197322,0.11231255,1.50003894,0.00014430,0.05681016,0.65102815
3.68284142,2.80296688,2.57309185,0.11200097,1.49912238,0.00014520,0.05684425,0.64455649
3.68884442,2.77225578,2.52073823,0.11158094,1.49588070,0.00014617,0.05693632,0.63731203
3.69484742,2.74266607,2.47571624,0.11106487,1.49054455,0.00014726,0.05708336,0.62942209
3.70085043,2.71466437,2.43867890,0.11046689,1.48337024,0.00014851,0.05728181,0.62102303
3.70685343,2.68866083,2.41013034,0.10980285,1.47463729,0.00014995,0.05752801,0.61225875
3.71285643,2.66501138,2.39043024,0.10909025,1.46464513,0.00015163,0.05781852,0.60327871
3.71885943,2.64402035,2.37979947,0.10834796,1.45370871,0.00015360,0.05815052,0.59423556
