energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-4.40920460,1.98576086,0.02408564,0.00087484,0.19689479,1.99538909,0.03683277,0.00000000
-4.40320160,2.03545003,0.02603504,0.00082051,0.21185993,2.03858469,0.04070600,0.00000000
-4.39719860,2.09567697,0.02839192,0.00077740,0.22876906,2.09168072,0.04514282,0.00000000
-4.39119560,2.16582661,0.03115530,0.00074469,0.24752142,2.15403912,0.05013771,0.00000000
-4.38519260,2.24522274,0.03432812,0.00072161,0.26800846,2.22495773,0.05568333,0.00000000
-4.37918959,2.33312434,0.03791669,0.00070744,0.29011262,2.30366777,0.06176971,0.00000000
-4.37318659,2.42872322,0.04193001,0.00070148,0.31370623,2.38933282,0.06838357,0.00000000
-4.36718359,2.53114312,0.04637889,0.00070310,0.33865049,2.48104951,0.07550750,0.00000000
-4.36118059,2.63944057,0.05127483,0.00071165,0.36479446,2.57785018,0.08311939,0.00000000
-4.35517759,2.75260753,0.05662881,0.00072656,0.39197447,2.67870748,0.09119179,0.00000000
-4.34917459,2.86957585,0.06244975,0.00074722,0.42001354,2.78254104,0.09969146,0.00000000
-4.34317159,2.98922344,0.06874303,0.00077305,0.44872120,2.88822587,0.10857898,0.00000000
-4.33716858,3.11038199,0.07550868,0.00080348,0.47789354,2.99460250,0.11780849,0.00000000
-4.33116558,3.23184610,0.08273976,0.00083789,0.50731356,3.10048845,0.12732758,0.00000000
