energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
5.54377189,3.34621096,-3.34621094,4.07627052,-4.07627038,0.04154623,-0.04154623,0.11228783,-0.11228784,0.18028522,-0.18028521,0.94106915,-0.94106917,0.01134809,-0.01134809,0.48410362,-0.48410364,0.00000000,-0.00000000
5.54977489,3.41900247,-3.41900245,4.29218680,-4.29218664,0.04299562,-0.04299562,0.11331319,-0.11331319,0.18313490,-0.18313489,0.95785273,-0.95785276,0.01148494,-0.01148494,0.49706622,-0.49706624,0.00000000,-0.00000000
5.55577789,3.49916926,-3.49916924,4.52350469,-4.52350451,0.04453345,-0.04453345,0.11506620,-0.11506620,0.18589312,-0.18589311,0.98164818,-0.98164822,0.01161820,-0.01161820,0.50984911,-0.50984913,0.00000000,-0.00000000
5.56178089,3.58757654,-3.58757651,4.77106178,-4.77106159,0.04616464,-0.04616464,0.11761604,-0.11761604,0.18865661,-0.18865660,1.01296417,-1.01296421,0.01174826,-0.01174826,0.52256079,-0.52256081,0.00000000,-0.00000000
5.56778389,3.68492358,-3.68492355,5.03543216,-5.03543194,0.04789178,-0.04789178,0.12101123,-0.12101123,0.19152511,-0.19152510,1.05212003,-1.05212008,0.01187587,-0.01187587,0.53531632,-0.53531634,0.00000000,-0.00000000
5.57378689,3.79168747,-3.79168744,5.31682503,-5.31682479,0.04971459,-0.04971459,0.12527719,-0.12527719,0.19459656,-0.19459654,1.09922781,-1.09922786,0.01200208,-0.01200208,0.54822866,-0.54822868,0.00000000,-0.00000000
5.57978989,3.90806843,-3.90806840,5.61498445,-5.61498418,0.05162923,-0.05162923,0.13041452,-0.13041452,0.19796194,-0.19796192,1.15417954,-1.15417961,0.01212805,-0.01212805,0.56139935,-0.56139938,0.00000000,-0.00000000
5.58579290,4.03393999,-4.03393996,5.92909630,-5.92909602,0.05362780,-0.05362780,0.13639775,-0.13639775,0.20170026,-0.20170024,1.21664049,-1.21664057,0.01225495,-0.01225495,0.57490924,-0.57490927,0.00000000,-0.00000000
5.59179590,4.16880728,-4.16880725,6.25770897,-6.25770866,0.05569793,-0.05569793,0.14317487,-0.14317487,0.20587372,-0.20587370,1.28604878,-1.28604887,0.01238377,-0.01238377,0.58880955,-0.58880958,0.00000000,-0.00000000
5.59779890,4.31177685,-4.31177682,6.59867375,-6.59867342,0.05782254,-0.05782254,0.15066762,-0.15066762,0.21052345,-0.21052342,1.36162195,-1.36162204,0.01251515,-0.01251515,0.60311413,-0.60311417,0.00000000,-0.00000000
5.60380190,4.46154075,-4.46154071,6.94911074,-6.94911038,0.05997975,-0.05997975,0.15877248,-0.15877248,0.21566603,-0.21566600,1.44237051,-1.44237061,0.01264923,-0.01264923,0.61779329,-0.61779333,0.00000000,-0.00000000
5.60980490,4.61637728,-4.61637724,7.30540458,-7.30540420,0.06214303,-0.06214303,0.16736253,-0.16736253,0.22129099,-0.22129096,1.52711862,-1.52711874,0.01278550,-0.01278550,0.63276962,-0.63276966,0.00000000,-0.00000000
5.61580790,4.77417008,-4.77417004,7.66323341,-7.66323300,0.06428162,-0.06428162,0.17629004,-0.17629004,0.22735946,-0.22735943,1.61453150,-1.61453163,0.01292274,-0.01292274,0.64791634,-0.64791638,0.00000000,-0.00000000
5.62181091,4.93244611,-4.93244607,8.01763247,-8.01763205,0.06636112,-0.06636112,0.18538977,-0.18538978,0.23380410,-0.23380406,1.70314912,-1.70314927,0.01305892,-0.01305892,0.66305822,-0.66305826,0.00000000,-0.00000000
5.62781391,5.08843229,-5.08843225,8.36309226,-8.36309181,0.06834431,-0.06834431,0.19448300,-0.19448300,0.24053034,-0.24053030,1.79142526,-1.79142542,0.01319123,-0.01319123,0.67797529,-0.67797533,0.00000000,-0.00000000
5.63381691,5.23912939,-5.23912935,8.69368888,-8.69368842,0.07019220,-0.07019220,0.20338200,-0.20338200,0.24741894,-0.24741890,1.87777087,-1.87777104,0.01331609,-0.01331609,0.69240916,-0.69240921,0.00000000,-0.00000000
5.63981991,5.38140071,-5.38140068,9.00324277,-9.00324230,0.07186520,-0.07186520,0.21189507,-0.21189508,0.25432978,-0.25432973,1.96060035,-1.96060054,0.01342925,-0.01342925,0.70607180,-0.70607185,0.00000000,-0.00000000
