energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-4.19909955,0.82278581,0.00005326,0.09328861,0.16883834,0.14315100,0.11256295,0.39741042,0.00573785,0.20352776
-4.19309655,0.78652409,0.00005884,0.08958182,0.15883654,0.13899501,0.11231309,0.37670732,0.00536096,0.19885807
-4.18709355,0.75902963,0.00006505,0.08685828,0.15072419,0.13631091,0.11335508,0.36018281,0.00505410,0.19644077
-4.18109055,0.74016762,0.00007185,0.08510335,0.14446703,0.13507947,0.11565139,0.34778559,0.00481529,0.19622195
-4.17508754,0.72960657,0.00007919,0.08427948,0.13999178,0.13524686,0.11913251,0.33937057,0.00464122,0.19809728
-4.16908454,0.72683167,0.00008700,0.08432757,0.13718955,0.13672643,0.12369857,0.33470579,0.00452737,0.20191479
-4.16308154,0.73116200,0.00009519,0.08516883,0.13591981,0.13940136,0.12922164,0.33348098,0.00446821,0.20747886
-4.15707854,0.74177160,0.00010365,0.08670708,0.13601508,0.14312807,0.13554868,0.33531790,0.00445735,0.21455530
-4.15107554,0.75771362,0.00011226,0.08883150,0.13728590,0.14774044,0.14250530,0.33978196,0.00448773,0.22287748
-4.14507254,0.77794736,0.00012089,0.09141964,0.13952636,0.15305464,0.14989995,0.34639501,0.00455178,0.23215330
-4.13906953,0.80136747,0.00012938,0.09434073,0.14251972,0.15887454,0.15752880,0.35464908,0.00464165,0.24207313
-4.13306653,0.82683473,0.00013760,0.09745926,0.14604425,0.16499753,0.16518101,0.36402055,0.00474938,0.25231816
-4.12706353,0.85320763,0.00014539,0.10063857,0.14987907,0.17122065,0.17264429,0.37398481,0.00486705,0.26256934
-4.12106053,0.87937406,0.00015259,0.10374448,0.15380980,0.17734676,0.17971067,0.38403058,0.00498704,0.27251637
-4.11505753,0.90428210,0.00015905,0.10664895,0.15763399,0.18319061,0.18618223,0.39367403,0.00510213,0.28186663
-4.10905453,0.92696901,0.00016465,0.10923337,0.16116616,0.18858470,0.19187668,0.40247181,0.00520566,0.29035362
-4.10305153,0.94658758,0.00016926,0.11139168,0.16424216,0.19338441,0.19663246,0.41003301,0.00529172,0.29774474
-4.09704852,0.96242877,0.00017277,0.11303307,0.16672300,0.19747263,0.20031334,0.41602942,0.00535522,0.30384794
-4.09104552,0.97393997,0.00017511,0.11408411,0.16849769,0.20076327,0.20281216,0.42020380,0.00539200,0.30851709
-4.08504252,0.98073801,0.00017623,0.11449042,0.16948532,0.20320378,0.20405371,0.42237592,0.00539888,0.31165578
-4.07903952,0.98261648,0.00017610,0.11421761,0.16963595,0.20477641,0.20399645,0.42244605,0.00537372,0.31321930
-4.07303652,0.97954700,0.00017471,0.11325159,0.16893068,0.20549818,0.20263323,0.42039581,0.00531542,0.31321482
-4.06703352,0.97167420,0.00017209,0.11159820,0.16738048,0.20541952,0.19999067,0.41628622,0.00522388,0.31169958
-4.06103052,0.95930481,0.00016830,0.10928219,0.16502419,0.20462156,0.19612752,0.41025321,0.00509994,0.30877727
-4.05502751,0.94289103,0.00016342,0.10634559,0.16192549,0.20321226,0.19113187,0.40250046,0.00494535,0.30459264
-4.04902451,0.92300885,0.00015754,0.10284555,0.15816916,0.20132144,0.18511740,0.39329009,0.00476260,0.29932460
-4.04302151,0.90033237,0.00015079,0.09885174,0.15385674,0.19909490,0.17821888,0.38293133,0.00455483,0.29317813
-4.03701851,0.87560494,0.00014329,0.09444346,0.14910162,0.19668793,0.17058703,0.37176776,0.00432568,0.28637533
-4.03101551,0.84960840,0.00013519,0.08970651,0.14402409,0.19425846,0.16238310,0.36016354,0.00407918,0.27914593
-4.02501251,0.82313174,0.00012663,0.08473010,0.13874623,0.19196009,0.15377318,0.34848910,0.00381953,0.27171783
-4.01900950,0.79694025,0.00011776,0.07960372,0.13338707,0.18993536,0.14492280,0.33710695,0.00355104,0.26430796
-4.01300650,0.77174665,0.00010873,0.07441431,0.12805809,0.18830951,0.13599166,0.32635808,0.00327795,0.25711386
-4.00700350,0.74818500,0.00009967,0.06924365,0.12285939,0.18718500,0.12712907,0.31654938,0.00300429,0.25030642
-4.00100050,0.72678878,0.00009071,0.06416616,0.11787640,0.18663706,0.11846990,0.30794275,0.00273383,0.24402401
-3.99499750,0.70797343,0.00008196,0.05924720,0.11317759,0.18671038,0.11013147,0.30074598,0.00246994,0.23836815
-3.98899450,0.69202439,0.00007353,0.05454177,0.10881291,0.18741718,0.10221124,0.29510606,0.00221559,0.23340102
-3.98299150,0.67909062,0.00006550,0.05009377,0.10481321,0.18873657,0.09478544,0.29110479,0.00197323,0.22914477
-3.97698849,0.66918388,0.00005793,0.04593572,0.10119049,0.19061542,0.08790859,0.28875712,0.00174486,0.22558254
-3.97098549,0.66218355,0.00005087,0.04208895,0.09793898,0.19297051,0.08161393,0.28801194,0.00153195,0.22266118
-3.96498249,0.65784660,0.00004437,0.03856415,0.09503690,0.19569199,0.07591451,0.28875561,0.00133550,0.22029547
-3.95897949,0.65582222,0.00003844,0.03536233,0.09244885,0.19864782,0.07080502,0.29081762,0.00115607,0.21837349
-3.95297649,0.65567028,0.00003309,0.03247597,0.09012864,0.20168927,0.06626418,0.29397858,0.00099384,0.21676302
-3.94697349,0.65688279,0.00002831,0.02989039,0.08802235,0.20465685,0.06225740,0.29797986,0.00084859,0.21531847
-3.94097049,0.65890754,0.00002410,0.02758525,0.08607164,0.20738682,0.05873980,0.30253473,0.00071988,0.21388811
-3.93496748,0.66117266,0.00002043,0.02553603,0.08421697,0.20971767,0.05565928,0.30734036,0.00060698,0.21232130
-3.92896448,0.66311134,0.00001729,0.02371551,0.08240066,0.21149654,0.05295961,0.31209048,0.00050903,0.21047528
-3.92296148,0.66418573,0.00001466,0.02209517,0.08056973,0.21258514,0.05058334,0.31648797,0.00042507,0.20822137
-3.91695848,0.66390893,0.00001251,0.02064639,0.07867834,0.21286514,0.04847451,0.32025704,0.00035406,0.20545034
-3.91095548,0.66186458,0.00001083,0.01934157,0.07668980,0.21224253,0.04658102,0.32315461,0.00029498,0.20207664
-3.90495248,0.65772320,0.00000960,0.01815496,0.07457806,0.21065118,0.04485668,0.32498028,0.00024685,0.19804159
-3.89894947,0.65125485,0.00000882,0.01706338,0.07232875,0.20805518,0.04326283,0.32558478,0.00020875,0.19331521
-3.89294647,0.64233782,0.00000849,0.01604661,0.06993965,0.20444999,0.04176950,0.32487651,0.00017990,0.18789697
-3.88694347,0.63096313,0.00000864,0.01508777,0.06742073,0.19986250,0.04035624,0.32282583,0.00015964,0.18181523
-3.88094047,0.61723489,0.00000928,0.01417328,0.06479372,0.19434991,0.03901248,0.31946728,0.00014744,0.17512573
-3.87493747,0.60136664,0.00001048,0.01329293,0.06209133,0.18799760,0.03773753,0.31489940,0.00014298,0.16790902
-3.86893447,0.58367403,0.00001228,0.01243957,0.05935611,0.18091603,0.03654020,0.30928233,0.00014607,0.16026726
-3.86293147,0.56456417,0.00001477,0.01160891,0.05663910,0.17323700,0.03543816,0.30283336,0.00015670,0.15232027
-3.85692846,0.54452220,0.00001803,0.01079906,0.05399828,0.16510921,0.03445705,0.29582041,0.00017504,0.14420134
-3.85092546,0.52409567,0.00002218,0.01001022,0.05149692,0.15669349,0.03362928,0.28855401,0.00020141,0.13605272
-3.84492246,0.50387718,0.00002736,0.00924417,0.04920182,0.14815790,0.03299272,0.28137767,0.00023626,0.12802111
-3.83891946,0.48448609,0.00003370,0.00850387,0.04718160,0.13967269,0.03258925,0.27465735,0.00028017,0.12025331
-3.83291646,0.46654967,0.00004136,0.00779304,0.04550496,0.13140553,0.03246316,0.26877003,0.00033383,0.11289208
-3.82691346,0.45068439,0.00005051,0.00711582,0.04423899,0.12351698,0.03265952,0.26409196,0.00039798,0.10607237
-3.82091046,0.43747774,0.00006134,0.00647643,0.04344758,0.11615645,0.03322249,0.26098679,0.00047342,0.09991806
-3.81490745,0.42747112,0.00007403,0.00587886,0.04318988,0.10945865,0.03419363,0.25979398,0.00056093,0.09453909
-3.80890445,0.42114406,0.00008875,0.00532675,0.04351883,0.10354064,0.03561020,0.26081765,0.00066124,0.09002922
-3.80290145,0.41890028,0.00010568,0.00482314,0.04447984,0.09849952,0.03750358,0.26431641,0.00077501,0.08646428
-3.79689845,0.42105569,0.00012498,0.00437045,0.04610950,0.09441084,0.03989768,0.27049420,0.00090274,0.08390099
-3.79089545,0.42782867,0.00014677,0.00397040,0.04843450,0.09132756,0.04280756,0.27949248,0.00104475,0.08237625
-3.78489245,0.43933291,0.00017117,0.00362401,0.05147055,0.08927981,0.04623814,0.29138406,0.00120113,0.08190694
-3.77888944,0.45557279,0.00019823,0.00333165,0.05522165,0.08827508,0.05018320,0.30616860,0.00137167,0.08249022
-3.77288644,0.47644159,0.00022796,0.00309312,0.05967936,0.08829920,0.05462451,0.32377015,0.00155586,0.08410425
-3.76688344,0.50172267,0.00026032,0.00290772,0.06482252,0.08931766,0.05953136,0.34403672,0.00175281,0.08670924
-3.76088044,0.53109353,0.00029520,0.00277438,0.07061706,0.09127756,0.06486041,0.36674205,0.00196126,0.09024900
-3.75487744,0.56413289,0.00033242,0.00269179,0.07701627,0.09410992,0.07055585,0.39158966,0.00217957,0.09465274
-3.74887444,0.60033066,0.00037175,0.00265847,0.08396143,0.09773236,0.07655000,0.41821903,0.00240568,0.09983719
