energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
1.92996498,3.22688084,0.01182562,0.50191775,1.46947176,1.24896854,1.42140647,0.00000000
1.93596798,3.22694304,0.01160415,0.48623620,1.46798606,1.24138319,1.46610991,0.00000000
1.94197099,3.22842808,0.01140606,0.47154823,1.46479164,1.23503117,1.50935767,0.00000000
1.94797399,3.23153778,0.01123686,0.45798462,1.45994522,1.23013497,1.55056262,0.00000000
1.95397699,3.23642044,0.01110141,0.44563905,1.45352554,1.22686492,1.58920708,0.00000000
1.95997999,3.24316929,0.01100377,0.43456812,1.44563454,1.22533495,1.62485992,0.00000000
1.96598299,3.25182116,0.01094715,0.42479221,1.43639774,1.22559956,1.65719046,0.00000000
1.97198599,3.26235521,0.01093374,0.41629721,1.42596352,1.22765207,1.68597860,0.00000000
1.97798899,3.27469167,0.01096470,0.40903682,1.41450127,1.23142419,1.71112063,0.00000000
1.98399200,3.28869065,0.01104013,0.40293559,1.40219837,1.23678690,1.73263032,0.00000000
1.98999500,3.30415117,0.01115899,0.39789222,1.38925596,1.24355265,1.75063542,0.00000000
1.99599800,3.32081082,0.01131918,0.39378345,1.37588368,1.25147901,1.76536938,0.00000000
2.00200100,3.33834628,0.01151751,0.39046803,1.36229373,1.26027373,1.77715899,0.00000000
2.00800400,3.35637520,0.01174982,0.38779099,1.34869433,1.26960117,1.78640820,0.00000000
2.01400700,3.37445982,0.01201099,0.38558798,1.33528312,1.27909018,1.79357918,0.00000000
2.02001001,3.39211263,0.01229514,0.38368971,1.32224077,1.28834322,1.79917124,0.00000000
2.02601301,3.40880439,0.01259565,0.38192620,1.30972516,1.29694668,1.80369881,0.00000000
2.03201601,3.42397456,0.01290540,0.38013113,1.29786658,1.30448211,1.80766928,0.00000000
2.03801901,3.43704401,0.01321686,0.37814580,1.28676406,1.31053808,1.81156196,0.00000000
2.04402201,3.44742989,0.01352231,0.37582296,1.27648317,1.31472244,1.81580887,0.00000000
2.05002501,3.45456217,0.01381400,0.37303028,1.26705534,1.31667434,1.82077827,0.00000000
2.05602801,3.45790119,0.01408434,0.36965329,1.25847875,1.31607589,1.82676161,0.00000000
2.06203102,3.45695560,0.01432609,0.36559798,1.25072067,1.31266265,1.83396422,0.00000000
2.06803402,3.45129993,0.01453253,0.36079270,1.24372117,1.30623289,1.84250020,0.00000000
2.07403702,3.44059084,0.01469766,0.35518953,1.23739786,1.29665491,1.85239132,0.00000000
2.08004002,3.42458136,0.01481632,0.34876492,1.23165149,1.28387232,1.86356998,0.00000000
2.08604302,3.40313246,0.01488434,0.34151975,1.22637194,1.26790689,1.87588566,0.00000000
2.09204602,3.37622125,0.01489865,0.33347863,1.22144442,1.24885905,1.88911452,0.00000000
2.09804902,3.34394558,0.01485737,0.32468866,1.21675549,1.22690573,1.90297141,0.00000000
2.10405203,3.30652475,0.01475987,0.31521757,1.21219849,1.20229601,1.91712366,0.00000000
2.11005503,3.26429640,0.01460676,0.30515139,1.20767846,1.17534456,1.93120584,0.00000000
2.11605803,3.21770977,0.01439993,0.29459178,1.20311599,1.14642330,1.94483481,0.00000000
2.12206103,3.16731582,0.01414247,0.28365301,1.19845021,1.11595169,1.95762440,0.00000000
2.12806403,3.11375470,0.01383861,0.27245889,1.19364072,1.08438609,1.96919908,0.00000000
2.13406703,3.05774129,0.01349362,0.26113961,1.18866855,1.05220872,1.97920624,0.00000000
2.14007004,3.00004958,0.01311367,0.24982872,1.18353627,1.01991660,1.98732661,0.00000000
2.14607304,2.94149651,0.01270571,0.23866027,1.17826737,0.98801104,1.99328272,0.00000000
2.15207604,2.88292613,0.01227727,0.22776631,1.17290510,0.95698795,1.99684525,0.00000000
2.15807904,2.82519452,0.01183629,0.21727461,1.16751097,0.92732924,1.99783722,0.00000000
2.16408204,2.76915604,0.01139096,0.20730691,1.16216309,0.89949558,1.99613630,0.00000000
2.17008504,2.71565117,0.01094948,0.19797743,1.15695456,0.87392058,1.99167519,0.00000000
2.17608804,2.66549610,0.01051991,0.18939188,1.15199189,0.85100627,1.98444045,0.00000000
2.18209105,2.61947403,0.01011001,0.18164674,1.14739377,0.83111990,1.97446999,0.00000000
2.18809405,2.57832790,0.00972701,0.17482883,1.14328994,0.81459172,1.96184933,0.00000000
2.19409705,2.54275448,0.00937754,0.16901518,1.13982032,0.80171368,1.94670708,0.00000000
2.20010005,2.51339911,0.00906746,0.16427302,1.13713421,0.79273855,1.92920956,0.00000000
2.20610305,2.49085092,0.00880177,0.16065985,1.13538944,0.78787934,1.90955507,0.00000000
2.21210605,2.47563789,0.00858451,0.15822354,1.13475131,0.78730869,1.88796761,0.00000000
2.21810905,2.46822157,0.00841879,0.15700248,1.13539117,0.79115807,1.86469048,0.00000000
2.22411206,2.46899100,0.00830666,0.15702556,1.13748438,0.79951655,1.83997973,0.00000000
2.23011506,2.47825592,0.00824921,0.15831215,1.14120761,0.81242920,1.81409767,0.00000000
2.23611806,2.49623901,0.00824654,0.16087195,1.14673533,0.82989511,1.78730643,0.00000000
2.24212106,2.52306770,0.00829786,0.16470480,1.15423550,0.85186506,1.75986196,0.00000000
2.24812406,2.55876565,0.00840156,0.16980042,1.16386446,0.87823919,1.73200839,0.00000000
2.25412706,2.60324452,0.00855528,0.17613813,1.17576114,0.90886479,1.70397302,0.00000000
2.26013007,2.65629678,0.00875607,0.18368669,1.19004091,0.94353461,1.67596202,0.00000000
2.26613307,2.71759000,0.00900050,0.19240410,1.20678914,0.98198598,1.64815715,0.00000000
2.27213607,2.78666360,0.00928479,0.20223767,1.22605504,1.02390102,1.62071342,0.00000000
2.27813907,2.86292865,0.00960499,0.21312418,1.24784590,1.06890829,1.59375783,0.00000000
2.28414207,2.94567113,0.00995706,0.22499031,1.27212227,1.11658603,1.56738936,0.00000000
2.29014507,3.03405939,0.01033708,0.23775319,1.29879441,1.16646712,1.54167998,0.00000000
2.29614807,3.12715571,0.01074135,0.25132131,1.32772027,1.21804579,1.51667681,0.00000000
