energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-5.08754377,11.57868269,0.38944763,0.00000000,5.29681406,6.49625623,0.14828959,6.11304206
-5.08154077,11.69590291,0.39776524,0.00000000,5.33813891,6.55609133,0.14843085,6.15979258
-5.07553777,11.79505537,0.40591715,0.00000000,5.37258828,6.60315021,0.14866675,6.19533035
-5.06953477,11.87483605,0.41374400,0.00000000,5.39973125,6.63690826,0.14898993,6.21922055
-5.06353177,11.93376927,0.42107164,0.00000000,5.41901356,6.65680488,0.14938631,6.23097019
-5.05752876,11.97025550,0.42771755,0.00000000,5.42977683,6.66226040,0.14983576,6.23004466
-5.05152576,11.98263671,0.43349786,0.00000000,5.43128709,6.65270135,0.15031305,6.21589295
-5.04552276,11.96927558,0.43823472,0.00000000,5.42277107,6.62759243,0.15078909,6.18797967
-5.03951976,11.92864395,0.44176353,0.00000000,5.40345821,6.58647328,0.15123233,6.14582217
-5.03351676,11.85941536,0.44393980,0.00000000,5.37262623,6.52899754,0.15161035,6.08903021
-5.02751376,11.76055624,0.44464512,0.00000000,5.32964770,6.45497182,0.15189135,6.01734594
-5.02151076,11.63141040,0.44379217,0.00000000,5.27403512,6.36439182,0.15204566,5.93068146
-5.01550775,11.47177184,0.44132838,0.00000000,5.20548227,6.25747339,0.15204707,5.82915176
-5.00950475,11.28194187,0.43723819,0.00000000,5.12389946,6.13467636,0.15187391,5.71310096
-5.00350175,11.06276735,0.43154378,0.00000000,5.02944128,5.99671954,0.15150998,5.58312030
-4.99749875,10.81565805,0.42430440,0.00000000,4.92252521,5.84458596,0.15094509,5.44005662
-4.99149575,10.54258247,0.41561433,0.00000000,4.80384061,5.67951781,0.15017542,5.28501114
-4.98549275,10.24604265,0.40559960,0.00000000,4.67434763,5.50300140,0.14920357,5.11932829
-4.97948974,9.92902962,0.39441383,0.00000000,4.53526644,5.31674279,0.14803839,4.94457543
-4.97348674,9.59496201,0.38223331,0.00000000,4.38805736,5.12263545,0.14669464,4.76251436
-4.96748374,9.24761121,0.36925165,0.00000000,4.23439302,4.92272160,0.14519245,4.57506627
-4.96148074,8.89101679,0.35567429,0.00000000,4.07612388,4.71914893,0.14355679,4.38427158
-4.95547774,8.52939594,0.34171304,0.00000000,3.91523858,4.51412486,0.14181679,4.19224666
-4.94947474,8.16705085,0.32758093,0.00000000,3.75382077,4.30987007,0.14000506,4.00113905
-4.94347174,7.80827717,0.31348754,0.00000000,3.59400386,4.10857306,0.13815704,3.81308294
-4.93746873,7.45727662,0.29963489,0.00000000,3.43792520,3.91234724,0.13631032,3.63015618
-4.93146573,7.11807580,0.28621390,0.00000000,3.28768090,3.72319157,0.13450402,3.45434020
-4.92546273,6.79445273,0.27340160,0.00000000,3.14528241,3.54295552,0.13277807,3.28748341
-4.91945973,6.48987211,0.26135886,0.00000000,3.01261574,3.37330888,0.13117259,3.13126884
-4.91345673,6.20742937,0.25022879,0.00000000,2.89140398,3.21571631,0.12972706,2.98718622
-4.90745373,5.94980366,0.24013549,0.00000000,2.78317358,3.07141673,0.12847958,2.85650851
-4.90145073,5.71921924,0.23118330,0.00000000,2.68922502,2.94140714,0.12746591,2.74027299
-4.89544772,5.51741472,0.22345628,0.00000000,2.61060798,2.82643063,0.12671851,2.63926657
-4.88944472,5.34561997,0.21701791,0.00000000,2.54810144,2.72696814,0.12626543,2.55401531
-4.88344172,5.20454017,0.21191100,0.00000000,2.50219902,2.64323391,0.12612922,2.48477801
-4.87743872,5.09434724,0.20815766,0.00000000,2.47309991,2.57517444,0.12632572,2.43154400
-4.87143572,5.01467886,0.20575948,0.00000000,2.46070566,2.52247099,0.12686297,2.39403499
-4.86543272,4.96464559,0.20469776,0.00000000,2.46462321,2.48454590,0.12774022,2.37171151
-4.85942971,4.94284706,0.20493395,0.00000000,2.48417460,2.46057297,0.12894707,2.36378399
-4.85342671,4.94739788,0.20641041,0.00000000,2.51841324,2.44949237,0.13046289,2.36922888
-4.84742371,4.97596424,0.20905129,0.00000000,2.56614725,2.45003035,0.13225655,2.38681005
-4.84142071,5.02581163,0.21276393,0.00000000,2.62596932,2.46072400,0.13428654,2.41510558
-4.83541771,5.09386405,0.21744052,0.00000000,2.69629301,2.47995130,0.13650151,2.45254000
-4.82941471,5.17677434,0.22296028,0.00000000,2.77539457,2.50596623,0.13884125,2.49742149
-4.82341171,5.27100482,0.22919196,0.00000000,2.86145949,2.53693853,0.14123811,2.54798375
-4.81740870,5.37291665,0.23599683,0.00000000,2.95263229,2.57099754,0.14361885,2.60243147
-4.81140570,5.47886584,0.24323188,0.00000000,3.04706805,2.60627892,0.14590687,2.65898836
-4.80540270,5.58530306,0.25075330,0.00000000,3.14298377,2.64097322,0.14802473,2.71594624
-4.79939970,5.68887402,0.25842012,0.00000000,3.23870769,2.67337450,0.14989689,2.77171366
-4.79339670,5.78651681,0.26609771,0.00000000,3.33272436,2.70192758,0.15145250,2.82486216
-4.78739370,5.87555236,0.27366117,0.00000000,3.42371359,2.72527199,0.15262824,2.87416838
-4.78139070,5.95376431,0.28099835,0.00000000,3.51058138,2.74228101,0.15337099,2.91865024
-4.77538769,6.01946473,0.28801240,0.00000000,3.59248136,2.75209404,0.15364022,2.95759554
-4.76938469,6.07154266,0.29462366,0.00000000,3.66882552,2.75414109,0.15341003,2.99058151
-4.76338169,6.10949291,0.30077087,0.00000000,3.73928371,2.74815797,0.15267073,3.01748435
-4.75737869,6.13342351,0.30641157,0.00000000,3.80377162,2.73419168,0.15142987,3.03847789
-4.75137569,6.14404105,0.31152166,0.00000000,3.86242788,2.71259544,0.14971264,3.05402130
-4.74537269,6.14261380,0.31609417,0.00000000,3.91558128,2.68401341,0.14756167,3.06483591
-4.73936968,6.13091396,0.32013730,0.00000000,3.96370959,2.64935554,0.14503618,3.07187195
-4.73336668,6.11114072,0.32367183,0.00000000,4.00739224,2.60976345,0.14221052,3.07626611
-4.72736368,6.08582708,0.32672796,0.00000000,4.04725902,2.56656829,0.13917205,3.07929173
-4.72136068,6.05773376,0.32934188,0.00000000,4.08393766,2.52124233,0.13601860,3.08230307
-4.71535768,6.02973413,0.33155220,0.00000000,4.11800274,2.47534571,0.13285546,3.08667607
-4.70935468,6.00469460,0.33339637,0.00000000,4.14992881,2.43047039,0.12979198,3.09374758
-4.70335168,5.98535475,0.33490740,0.00000000,4.18004998,2.38818295,0.12693798,3.10475543
-4.69734867,5.97421176,0.33611094,0.00000000,4.20852800,2.34996852,0.12440007,3.12078159
-4.69134567,5.97341333,0.33702297,0.00000000,4.23533052,2.31717732,0.12227793,3.14270063
-4.68534267,5.98466307,0.33764816,0.00000000,4.26022048,2.29097579,0.12066078,3.17113521
-4.67933967,6.00914164,0.33797894,0.00000000,4.28275707,2.27230379,0.11962400,3.20642050
-4.67333667,6.04744659,0.33799542,0.00000000,4.30230800,2.26183923,0.11922629,3.24857882
-4.66733367,6.09955303,0.33766603,0.00000000,4.31807245,2.25997126,0.11950716,3.29730546
-4.66133067,6.16479657,0.33694895,0.00000000,4.32911330,2.26678285,0.12048507,3.35196638
-4.65532766,6.24187920,0.33579407,0.00000000,4.33439687,2.28204340,0.12215619,3.41160798
-4.64932466,6.32889814,0.33414554,0.00000000,4.33283836,2.30521159,0.12449394,3.47497871
-4.64332166,6.42339667,0.33194470,0.00000000,4.32335044,2.33544852,0.12744919,3.54056207
-4.63731866,6.52243556,0.32913309,0.00000000,4.30489304,2.37164079,0.13095128,3.60661993
