energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-4.88344172,6.84415671,0.48603209,0.03302513,2.06479524,3.77259032,2.98263056,0.00000000
-4.87743872,6.69083275,0.47571053,0.03260379,1.98723163,3.71419082,2.90639963,0.00000000
-4.87143572,6.54413719,0.46639509,0.03224321,1.90751696,3.66191155,2.83272227,0.00000000
-4.86543272,6.40619112,0.45824224,0.03195557,1.82678237,3.61665037,2.76243390,0.00000000
-4.85942971,6.27887878,0.45137372,0.03175109,1.74613295,3.57914031,2.69627938,0.00000000
-4.85342671,6.16376063,0.44587050,0.03163744,1.66661220,3.54990627,2.63487995,0.00000000
-4.84742371,6.06199650,0.44176832,0.03161927,1.58916940,3.52922781,2.57870429,0.00000000
-4.84142071,5.97428352,0.43905510,0.03169781,1.51463140,3.51711054,2.52804517,0.00000000
-4.83541771,5.90081252,0.43767017,0.03187061,1.44367996,3.51326798,2.48300346,0.00000000
-4.82941471,5.84124585,0.43750566,0.03213142,1.37683557,3.51711561,2.44348035,0.00000000
-4.82341171,5.79471808,0.43840974,0.03247028,1.31444830,3.52777780,2.40917859,0.00000000
-4.81740870,5.75986017,0.44019181,0.03287366,1.25669587,3.54410776,2.37961268,0.00000000
-4.81140570,5.73484610,0.44262920,0.03332486,1.20358877,3.56471996,2.35412750,0.00000000
-4.80540270,5.71745970,0.44547520,0.03380449,1.15498188,3.58803350,2.33192462,0.00000000
-4.79939970,5.70517864,0.44846796,0.03429112,1.11059188,3.61232468,2.31209476,0.00000000
-4.79339670,5.69527118,0.45133991,0.03476197,1.07001935,3.63578606,2.29365465,0.00000000
-4.78739370,5.68490098,0.45382719,0.03519374,1.03277424,3.65658924,2.27558657,0.00000000
-4.78139070,5.67123473,0.45567873,0.03556337,0.99830362,3.67294836,2.25687830,0.00000000
-4.77538769,5.65154748,0.45666457,0.03584891,0.96602002,3.68318118,2.23656163,0.00000000
-4.76938469,5.62332061,0.45658303,0.03603026,0.93532936,3.68576488,2.21374756,0.00000000
-4.76338169,5.58432800,0.45526656,0.03608985,0.90565697,3.67938413,2.18765662,0.00000000
-4.75737869,5.53270707,0.45258589,0.03601326,0.87647084,3.66296943,2.15764295,0.00000000
-4.75137569,5.46701165,0.44845266,0.03578968,0.84730113,3.63572418,2.12321156,0.00000000
-4.74537269,5.38624557,0.44282018,0.03541216,0.81775545,3.59713991,2.08402807,0.00000000
-4.73936968,5.28987624,0.43568267,0.03487785,0.78752942,3.54699961,2.03992128,0.00000000
-4.73336668,5.17782921,0.42707303,0.03418795,0.75641256,3.48536962,1.99087878,0.00000000
-4.72736368,5.05046514,0.41705931,0.03334756,0.72428960,3.41258158,1.93703657,0.00000000
-4.72136068,4.90854203,0.40574026,0.03236541,0.69113759,3.32920585,1.87866373,0.00000000
-4.71535768,4.75316566,0.39324024,0.03125345,0.65701941,3.23601865,1.81614340,0.00000000
-4.70935468,4.58573191,0.37970375,0.03002636,0.62207430,3.13396506,1.74995153,0.00000000
-4.70335168,4.40786462,0.36528996,0.02870100,0.58650636,3.02412016,1.68063476,0.00000000
-4.69734867,4.22135265,0.35016759,0.02729583,0.55057166,2.90765054,1.60878862,0.00000000
-4.69134567,4.02808943,0.33451024,0.02583029,0.51456499,2.78577794,1.53503736,0.00000000
-4.68534267,3.83001765,0.31849247,0.02432428,0.47880677,2.65974679,1.46001619,0.00000000
-4.67933967,3.62908153,0.30228686,0.02279758,0.44363110,2.53079662,1.38435660,0.00000000
-4.67333667,3.42718783,0.28606191,0.02126943,0.40937525,2.40014012,1.30867514,0.00000000
-4.66733367,3.22617659,0.26998100,0.01975815,0.37637118,2.26894706,1.23356576,0.00000000
-4.66133067,3.02780157,0.25420228,0.01828078,0.34493925,2.13833394,1.15959556,0.00000000
-4.65532766,2.83371975,0.23887938,0.01685294,0.31538433,2.00935870,1.08730352,0.00000000
-4.64932466,2.64548900,0.22416288,0.01548868,0.28799418,1.88301981,1.01720188,0.00000000
-4.64332166,2.46457232,0.21020226,0.01420039,0.26304008,1.76025868,0.94977926,0.00000000
-4.63731866,2.29234702,0.19714822,0.01299886,0.24077922,1.64196428,0.88550515,0.00000000
-4.63131566,2.13011709,0.18515522,0.01189336,0.22145872,1.52897887,0.82483486,0.00000000
-4.62531266,1.97912690,0.17438383,0.01089169,0.20532067,1.42210387,0.76821443,0.00000000
-4.61930965,1.84057473,0.16500291,0.01000041,0.19260778,1.32210494,0.71608496,0.00000000
-4.61330665,1.71562450,0.15719136,0.00922491,0.18356906,1.22971570,0.66888582,0.00000000
-4.60730365,1.60541469,0.15113916,0.00856963,0.17846523,1.14563936,0.62705654,0.00000000
-4.60130065,1.51106350,0.14704775,0.00803814,0.17757307,1.07054834,0.59103711,0.00000000
-4.59529765,1.43366967,0.14512943,0.00763333,0.18118857,1.00508156,0.56126656,0.00000000
-4.58929465,1.37430865,0.14560584,0.00735748,0.18962829,0.94983960,0.53818001,0.00000000
