energy_ev,total_up,Cd_p_up,Cd_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-4.90145073,6.54118877,1.23315161,0.62488239,0.30400024,0.06972304,0.17522785,0.11091995,3.23950583
-4.89544772,6.63179739,1.24193795,0.62938722,0.30619837,0.07526103,0.18066357,0.11198618,3.27894397
-4.88944472,6.72136343,1.25022716,0.63415488,0.30848362,0.08093166,0.18616938,0.11285838,3.31735583
-4.88344172,6.80862389,1.25778647,0.63912700,0.31084606,0.08669377,0.19165391,0.11350898,3.35420085
-4.87743872,6.89212697,1.26436176,0.64421733,0.31327008,0.09250106,0.19701820,0.11391246,3.38885911
-4.87143572,6.97024909,1.26968084,0.64931249,0.31573209,0.09830215,0.20215729,0.11404583,3.42063791
-4.86543272,7.04121777,1.27345758,0.65427338,0.31819853,0.10404084,0.20696223,0.11388897,3.44878073
-4.85942971,7.10314057,1.27539706,0.65893738,0.32062427,0.10965659,0.21132238,0.11342497,3.47247863
-4.85342671,7.15404045,1.27520155,0.66312143,0.32295167,0.11508507,0.21512807,0.11264036,3.49088442
-4.84742371,7.19189739,1.27257743,0.66662590,0.32511033,0.12025909,0.21827341,0.11152531,3.50312960
-4.84142071,7.21469594,1.26724278,0.66923933,0.32701753,0.12510960,0.22065926,0.11007379,3.50834391
-4.83541771,7.22047766,1.25893552,0.67074398,0.32857964,0.12956696,0.22219623,0.10828377,3.50567748
-4.82941471,7.20739755,1.24742180,0.67092195,0.32969420,0.13356247,0.22280751,0.10615730,3.49432493
-4.82341171,7.17378250,1.23250442,0.66956191,0.33025286,0.13702988,0.22243156,0.10370066,3.47355088
-4.81740870,7.11818992,1.21403083,0.66646617,0.33014491,0.13990724,0.22102429,0.10092438,3.44271598
-4.81140570,7.03946422,1.19190048,0.66145768,0.32926131,0.14213859,0.21856094,0.09784334,3.40130254
-4.80540270,6.93678866,1.16607104,0.65438696,0.32749910,0.14367579,0.21503724,0.09447668,3.34893856
-4.79939970,6.80972996,1.13656320,0.64513843,0.32476583,0.14448015,0.21046999,0.09084772,3.28541912
-4.79339670,6.65827351,1.10346384,0.63363599,0.32098401,0.14452395,0.20489694,0.08698374,3.21072379
-4.78739370,6.48284688,1.06692720,0.61984746,0.31609507,0.14379169,0.19837596,0.08291570,3.12502928
-4.78139070,6.28433000,1.02717391,0.60378770,0.31006288,0.14228100,0.19098357,0.07867776,3.02871618
-4.77538769,6.06405103,0.98448800,0.58552026,0.30287654,0.14000326,0.18281280,0.07430684,2.92236935
-4.76938469,5.82376739,0.93921166,0.56515726,0.29455216,0.13698367,0.17397053,0.06984191,2.80677154
-4.76338169,5.56563220,0.89173816,0.54285772,0.28513385,0.13326100,0.16457447,0.06532336,2.68289020
-4.75737869,5.29214722,0.84250293,0.51882417,0.27469344,0.12888684,0.15474977,0.06079216,2.55185792
-4.75137569,5.00610397,0.79197333,0.49329770,0.26332937,0.12392446,0.14462551,0.05628912,2.41494696
-4.74537269,4.71051523,0.74063741,0.46655181,0.25116445,0.11844723,0.13433124,0.05185406,2.27353905
-4.73936968,4.40853981,0.68899211,0.43888503,0.23834279,0.11253682,0.12399356,0.04752503,2.12909152
-4.73336668,4.10340351,0.63753134,0.41061299,0.22502606,0.10628104,0.11373305,0.04333764,1.98310122
-4.72736368,3.79831954,0.58673452,0.38205988,0.21138910,0.09977162,0.10366155,0.03932439,1.83706764
-4.72136068,3.49641158,0.53705579,0.35355007,0.19761526,0.09310184,0.09387984,0.03551418,1.69245677
-4.71535768,3.20064228,0.48891455,0.32539983,0.18389154,0.08636424,0.08447594,0.03193194,1.55066706
-4.70935468,2.91374982,0.44268738,0.29790980,0.17040381,0.07964843,0.07552388,0.02859834,1.41299883
-4.70335168,2.63819457,0.39870170,0.27135825,0.15733222,0.07303904,0.06708304,0.02552967,1.28062799
-4.69734867,2.37611722,0.35723129,0.24599543,0.14484708,0.06661400,0.05919805,0.02273791,1.15458506
-4.69134567,2.12930931,0.31849368,0.22203912,0.13310512,0.06044309,0.05189911,0.02023075,1.03573976
-4.68534267,1.89919629,0.28264938,0.19967147,0.12224644,0.05458678,0.04520285,0.01801190,0.92479154
-4.67933967,1.68683268,0.24980284,0.17903714,0.11239207,0.04909551,0.03911338,0.01608134,0.82226581
-4.67333667,1.49290856,0.22000483,0.16024260,0.10364218,0.04400927,0.03362378,0.01443572,0.72851563
