energy_ev,total_up,Ga_p_up,Ga_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-1.62381191,1.05664190,0.03889135,0.00000000,0.05263654,0.96728456,0.00809640,0.05822485
-1.61780890,1.02029408,0.03741407,0.00000000,0.05051091,0.92604882,0.00815409,0.06039263
-1.61180590,0.98997036,0.03692049,0.00000000,0.04923462,0.88857095,0.00845057,0.06381843
-1.60580290,0.96627302,0.03739968,0.00000000,0.04880287,0.85549646,0.00898848,0.06848320
-1.59979990,0.94973744,0.03884184,0.00000000,0.04921426,0.82740973,0.00977089,0.07436468
-1.59379690,0.94081553,0.04123893,0.00000000,0.05047167,0.80481774,0.01080110,0.08143635
-1.58779390,0.93986119,0.04458488,0.00000000,0.05258282,0.78813614,0.01208231,0.08966617
-1.58179090,0.94711810,0.04887550,0.00000000,0.05556062,0.77767815,0.01361729,0.09901514
-1.57578789,0.96271035,0.05410819,0.00000000,0.05942315,0.77364641,0.01540793,0.10943592
-1.56978489,0.98663600,0.06028122,0.00000000,0.06419347,0.77612795,0.01745469,0.12087127
-1.56378189,1.01876364,0.06739288,0.00000000,0.06989894,0.78509218,0.01975616,0.13325282
-1.55777889,1.05883208,0.07544039,0.00000000,0.07657030,0.80039193,0.02230845,0.14649994
-1.55177589,1.10645289,0.08441868,0.00000000,0.08424039,0.82176703,0.02510475,0.16051895
-1.54577289,1.16111572,0.09431902,0.00000000,0.09294251,0.84885057,0.02813479,0.17520271
-1.53976988,1.22219619,0.10512762,0.00000000,0.10270843,0.88117714,0.03138452,0.19043068
-1.53376688,1.28896608,0.11682417,0.00000000,0.11356625,0.91819312,0.03483579,0.20606951
-1.52776388,1.36060555,0.12938049,0.00000000,0.12553784,0.95926837,0.03846615,0.22197410
-1.52176088,1.43621721,0.14275918,0.00000000,0.13863635,1.00370940,0.04224886,0.23798928
-1.51575788,1.51484169,0.15691253,0.00000000,0.15286353,1.05077337,0.04615293,0.25395204
-1.50975488,1.59547454,0.17178157,0.00000000,0.16820721,1.09968302,0.05014344,0.26969418
-1.50375188,1.67708410,0.18729542,0.00000000,0.18463901,1.14964204,0.05418189,0.28504557
-1.49774887,1.75863011,0.20337095,0.00000000,0.20211237,1.19985070,0.05822682,0.29983758
-1.49174587,1.83908284,0.21991288,0.00000000,0.22056121,1.24952154,0.06223443,0.31390696
-1.48574287,1.91744223,0.23681424,0.00000000,0.23989909,1.29789480,0.06615940,0.32709974
-1.47973987,1.99275682,0.25395736,0.00000000,0.26001933,1.34425334,0.06995578,0.33927522
-1.47373687,2.06414201,0.27121531,0.00000000,0.28079585,1.38793663,0.07357795,0.35030973
-1.46773387,2.13079727,0.28845377,0.00000000,0.30208507,1.42835365,0.07698151,0.36010019
-1.46173087,2.19202170,0.30553341,0.00000000,0.32372858,1.46499423,0.08012432,0.36856719
-1.45572786,2.24722762,0.32231264,0.00000000,0.34555682,1.49743854,0.08296736,0.37565752
-1.44972486,2.29595156,0.33865060,0.00000000,0.36739341,1.52536432,0.08547559,0.38134593
-1.44372186,2.33786236,0.35441041,0.00000000,0.38906013,1.54855167,0.08761871,0.38563613
-1.43771886,2.37276566,0.36946245,0.00000000,0.41038216,1.56688506,0.08937172,0.38856092
-1.43171586,2.40060488,0.38368755,0.00000000,0.43119346,1.58035237,0.09071546,0.39018128
-1.42571286,2.42145795,0.39697992,0.00000000,0.45134196,1.58904094,0.09163687,0.39058461
-1.41970985,2.43553014,0.40924965,0.00000000,0.47069406,1.59313058,0.09212919,0.38988194
-1.41370685,2.44314265,0.42042470,0.00000000,0.48913850,1.59288366,0.09219193,0.38820432
-1.40770385,2.44471746,0.43045217,0.00000000,0.50658889,1.58863265,0.09183073,0.38569839
-1.40170085,2.44075859,0.43929870,0.00000000,0.52298509,1.58076528,0.09105705,0.38252131
-1.39569785,2.43183060,0.44695016,0.00000000,0.53829297,1.56970806,0.08988773,0.37883524
-1.38969485,2.41853475,0.45341039,0.00000000,0.55250264,1.55590855,0.08834449,0.37480151
-1.38369185,2.40148400,0.45869907,0.00000000,0.56562524,1.53981717,0.08645324,0.37057476
-1.37768884,2.38127769,0.46284899,0.00000000,0.57768824,1.52186929,0.08424350,0.36629721
-1.37168584,2.35847701,0.46590265,0.00000000,0.58872973,1.50246823,0.08174757,0.36209337
-1.36568284,2.33358241,0.46790847,0.00000000,0.59879180,1.48197013,0.07899985,0.35806538
-1.35967984,2.30701395,0.46891687,0.00000000,0.60791363,1.46067113,0.07603612,0.35428924
-1.35367684,2.27909564,0.46897635,0.00000000,0.61612461,1.43879760,0.07289278,0.35081198
-1.34767384,2.25004449,0.46813000,0.00000000,0.62343801,1.41649992,0.06960623,0.34765016
-1.34167084,2.21996507,0.46641243,0.00000000,0.62984565,1.39384994,0.06621226,0.34478947
-1.33566783,2.18884973,0.46384756,0.00000000,0.63531404,1.37084249,0.06274552,0.34218586
-1.32966483,2.15658474,0.46044728,0.00000000,0.63978228,1.34740067,0.05923904,0.33976779
-1.32366183,2.12296206,0.45621112,0.00000000,0.64316186,1.32338487,0.05572391,0.33743987
-1.31765883,2.08769625,0.45112704,0.00000000,0.64533873,1.29860484,0.05222897,0.33508749
-1.31165583,2.05044564,0.44517318,0.00000000,0.64617731,1.27283450,0.04878066,0.33258245
-1.30565283,2.01083695,0.43832056,0.00000000,0.64552646,1.24582852,0.04540285,0.32978917
-1.29964982,1.96849181,0.43053657,0.00000000,0.64322705,1.21733992,0.04211688,0.32657139
-1.29364682,1.92305417,0.42178897,0.00000000,0.63912071,1.18713789,0.03894159,0.32279893
-1.28764382,1.87421692,0.41205019,0.00000000,0.63305928,1.15502481,0.03589338,0.31835423
-1.28164082,1.82174656,0.40130164,0.00000000,0.62491436,1.12085168,0.03298647,0.31313843
-1.27563782,1.76550459,0.38953779,0.00000000,0.61458649,1.08453124,0.03023299,0.30707669
-1.26963482,1.70546454,0.37676962,0.00000000,0.60201322,1.04604819,0.02764330,0.30012248
-1.26363182,1.64172386,0.36302741,0.00000000,0.58717586,1.00546595,0.02522619,0.29226069
