energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.77788894,0.07084789,0.03783097,0.00000228,0.01128000,0.00000000,0.04859113,0.00320794
-5.77188594,0.06025154,0.03251284,0.00000191,0.00931933,0.00000000,0.04144117,0.00269928
-5.76588294,0.05112155,0.02780080,0.00000168,0.00771914,0.00000000,0.03520208,0.00226511
-5.75987994,0.04335036,0.02366977,0.00000157,0.00643640,0.00000000,0.02981084,0.00189766
-5.75387694,0.03684300,0.02009211,0.00000159,0.00543660,0.00000000,0.02520783,0.00159013
-5.74787394,0.03151922,0.01703913,0.00000174,0.00469370,0.00000000,0.02133811,0.00133663
-5.74187094,0.02731578,0.01448270,0.00000204,0.00419006,0.00000000,0.01815289,0.00113222
-5.73586793,0.02418883,0.01239679,0.00000250,0.00391656,0.00000000,0.01561091,0.00097290
-5.72986493,0.02211644,0.01075893,0.00000316,0.00387278,0.00000000,0.01367986,0.00085566
-5.72386193,0.02110116,0.00955161,0.00000405,0.00406721,0.00000000,0.01233770,0.00077846
