energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-5.02751376,0.55603685,0.00573256,0.05115263,0.23593227,0.06568717,0.23436593,0.00000000,0.02261608,0.28347970
-5.02151076,0.54785145,0.00525231,0.04887628,0.22826424,0.06427285,0.22807091,0.00000000,0.02240410,0.28482743
-5.01550775,0.54252093,0.00478663,0.04677499,0.22167589,0.06305613,0.22383097,0.00000000,0.02224316,0.28793204
-5.00950475,0.54004220,0.00433838,0.04485982,0.21616776,0.06205631,0.22162456,0.00000000,0.02213716,0.29272132
-5.00350175,0.54037343,0.00391039,0.04313746,0.21172262,0.06128654,0.22143324,0.00000000,0.02208709,0.29910305
-4.99749875,0.54343397,0.00350536,0.04160992,0.20830487,0.06075350,0.22324214,0.00000000,0.02209094,0.30696637
-4.99149575,0.54910670,0.00312569,0.04027451,0.20586099,0.06045738,0.22704062,0.00000000,0.02214386,0.31618447
-4.98549275,0.55724260,0.00277338,0.03912401,0.20432100,0.06039226,0.23282309,0.00000000,0.02223835,0.32661816
-4.97948974,0.56766717,0.00244993,0.03814705,0.20360079,0.06054685,0.24058970,0.00000000,0.02236465,0.33812047
-4.97348674,0.58018822,0.00215639,0.03732876,0.20360522,0.06090535,0.25034693,0.00000000,0.02251121,0.35054172
-4.96748374,0.59460449,0.00189328,0.03665151,0.20423182,0.06144862,0.26210761,0.00000000,0.02266528,0.36373480
-4.96148074,0.61071415,0.00166065,0.03609573,0.20537467,0.06215536,0.27589027,0.00000000,0.02281347,0.37756028
-4.95547774,0.62832278,0.00145812,0.03564081,0.20692847,0.06300327,0.29171754,0.00000000,0.02294241,0.39189093
-4.94947474,0.64724986,0.00128491,0.03526602,0.20879222,0.06397020,0.30961342,0.00000000,0.02303933,0.40661521
-4.94347174,0.66733331,0.00113992,0.03495130,0.21087249,0.06503509,0.32959920,0.00000000,0.02309264,0.42163945
-4.93746873,0.68843164,0.00102178,0.03467799,0.21308605,0.06617864,0.35168819,0.00000000,0.02309240,0.43688845
-4.93146573,0.71042330,0.00092891,0.03442942,0.21536151,0.06738380,0.37587912,0.00000000,0.02303069,0.45230430
-4.92546273,0.73320339,0.00085958,0.03419130,0.21764016,0.06863589,0.40214852,0.00000000,0.02290185,0.46784357
-4.91945973,0.75667761,0.00081198,0.03395197,0.21987573,0.06992248,0.43044245,0.00000000,0.02270266,0.48347275
-4.91345673,0.78075413,0.00078425,0.03370243,0.22203332,0.07123296,0.46066782,0.00000000,0.02243229,0.49916242
-4.90745373,0.80533374,0.00077451,0.03343624,0.22408745,0.07255791,0.49268413,0.00000000,0.02209224,0.51488038
-4.90145073,0.83029921,0.00078096,0.03314923,0.22601954,0.07388834,0.52629587,0.00000000,0.02168607,0.53058429
-4.89544772,0.85550460,0.00080184,0.03283911,0.22781493,0.07521473,0.56124654,0.00000000,0.02121910,0.54621437
-4.88944472,0.88076556,0.00083553,0.03250503,0.22945978,0.07652622,0.59721464,0.00000000,0.02069806,0.56168672
-4.88344172,0.90585144,0.00088057,0.03214707,0.23093803,0.07780981,0.63381234,0.00000000,0.02013062,0.57688781
-4.87743872,0.93048013,0.00093570,0.03176571,0.23222876,0.07904968,0.67058723,0.00000000,0.01952501,0.59167078
-4.87143572,0.95431623,0.00099989,0.03136140,0.23330404,0.08022683,0.70702740,0.00000000,0.01888957,0.60585380
-4.86543272,0.97697305,0.00107244,0.03093413,0.23412760,0.08131895,0.74257003,0.00000000,0.01823237,0.61922091
-4.85942971,0.99801871,0.00115302,0.03048318,0.23465436,0.08230065,0.77661337,0.00000000,0.01756089,0.63152552
-4.85342671,1.01698621,0.00124172,0.03000694,0.23483086,0.08314396,0.80853184,0.00000000,0.01688175,0.64249633
-4.84742371,1.03338715,0.00133915,0.02950282,0.23459663,0.08381921,0.83769367,0.00000000,0.01620057,0.65184574
-4.84142071,1.04672857,0.00144651,0.02896735,0.23388639,0.08429611,0.86348045,0.00000000,0.01552180,0.65928017
-4.83541771,1.05653195,0.00156564,0.02839635,0.23263299,0.08454511,0.88530774,0.00000000,0.01484880,0.66451182
-4.82941471,1.06235350,0.00169915,0.02778523,0.23077078,0.08453886,0.90264571,0.00000000,0.01418380,0.66727132
-4.82341171,1.06380443,0.00185043,0.02712926,0.22823932,0.08425369,0.91503884,0.00000000,0.01352810,0.66732039
-4.81740870,1.06057029,0.00202373,0.02642401,0.22498712,0.08367114,0.92212370,0.00000000,0.01288220,0.66446404
-4.81140570,1.05242790,0.00222419,0.02566573,0.22097511,0.08277920,0.92364384,0.00000000,0.01224599,0.65856126
-4.80540270,1.03925922,0.00245783,0.02485166,0.21617975,0.08157350,0.91946099,0.00000000,0.01161899,0.64953389
-4.79939970,1.02106102,0.00273154,0.02398042,0.21059537,0.08005802,0.90956206,0.00000000,0.01100053,0.63737295
-4.79339670,0.99794997,0.00305299,0.02305219,0.20423583,0.07824556,0.89406134,0.00000000,0.01039000,0.62214207
-4.78739370,0.97016261,0.00343055,0.02206889,0.19713518,0.07615781,0.87319796,0.00000000,0.00978694,0.60397792
-4.78139070,0.93805036,0.00387309,0.02103428,0.18934736,0.07382494,0.84732865,0.00000000,0.00919124,0.58308740
-4.77538769,0.90206961,0.00438981,0.01995385,0.18094505,0.07128485,0.81691605,0.00000000,0.00860321,0.55974197
-4.76938469,0.86276755,0.00498993,0.01883476,0.17201752,0.06858207,0.78251337,0.00000000,0.00802362,0.53426929
-4.76338169,0.82076437,0.00568244,0.01768556,0.16266787,0.06576629,0.74474591,0.00000000,0.00745370,0.50704257
-4.75737869,0.77673276,0.00647568,0.01651595,0.15300955,0.06289073,0.70429048,0.00000000,0.00689513,0.47846834
-4.75137569,0.73137578,0.00737699,0.01533646,0.14316263,0.06001025,0.66185368,0.00000000,0.00634998,0.44897316
-4.74537269,0.68540405,0.00839230,0.01415799,0.13324975,0.05717946,0.61814997,0.00000000,0.00582060,0.41898996
-4.73936968,0.63951343,0.00952567,0.01299156,0.12339212,0.05445084,0.57388054,0.00000000,0.00530955,0.38894456
-4.73336668,0.59436420,0.01077895,0.01184784,0.11370578,0.05187295,0.52971374,0.00000000,0.00481949,0.35924317
-4.72736368,0.55056241,0.01215132,0.01073689,0.10429814,0.04948877,0.48626801,0.00000000,0.00435306,0.33026122
-4.72136068,0.50864437,0.01363904,0.00966782,0.09526508,0.04733442,0.44409756,0.00000000,0.00391284,0.30233390
-4.71535768,0.46906455,0.01523517,0.00864859,0.08668865,0.04543806,0.40368160,0.00000000,0.00350124,0.27574895
-4.70935468,0.43218743,0.01692941,0.00768582,0.07863545,0.04381923,0.36541687,0.00000000,0.00312047,0.25074159
-4.70335168,0.39828318,0.01870811,0.00678468,0.07115566,0.04248847,0.32961390,0.00000000,0.00277253,0.22749180
-4.69734867,0.36752732,0.02055433,0.00594886,0.06428285,0.04144745,0.29649656,0.00000000,0.00245916,0.20612393
-4.69134567,0.34000389,0.02244813,0.00518058,0.05803432,0.04068932,0.26620478,0.00000000,0.00218192,0.18670830
-4.68534267,0.31571197,0.02436692,0.00448068,0.05241210,0.04019949,0.23879991,0.00000000,0.00194222,0.16926468
-4.67933967,0.29457476,0.02628606,0.00384869,0.04740435,0.03995670,0.21427239,0.00000000,0.00174134,0.15376739
-4.67333667,0.27645098,0.02817945,0.00328304,0.04298723,0.03993431,0.19255099,0.00000000,0.00158055,0.14015148
-4.66733367,0.26114760,0.03002039,0.00278118,0.03912691,0.04010177,0.17351330,0.00000000,0.00146117,0.12831980
-4.66133067,0.24843358,0.03178243,0.00233978,0.03578187,0.04042627,0.15699675,0.00000000,0.00138462,0.11815062
-4.65532766,0.23805378,0.03344023,0.00195495,0.03290513,0.04087436,0.14280973,0.00000000,0.00135251,0.10950525
-4.64932466,0.22974258,0.03497056,0.00162237,0.03044653,0.04141355,0.13074240,0.00000000,0.00136670,0.10223560
-4.64332166,0.22323662,0.03635313,0.00133750,0.02835484,0.04201390,0.12057675,0.00000000,0.00142932,0.09619131
-4.63731866,0.21828636,0.03757142,0.00109574,0.02657968,0.04264930,0.11209572,0.00000000,0.00154278,0.09122620
-4.63131566,0.21466588,0.03861331,0.00089253,0.02507325,0.04329864,0.10509101,0.00000000,0.00170977,0.08720392
-4.62531266,0.21218093,0.03947167,0.00072348,0.02379174,0.04394667,0.09936957,0.00000000,0.00193321,0.08400277
-4.61930965,0.21067491,0.04014456,0.00058450,0.02269648,0.04458457,0.09475871,0.00000000,0.00221618,0.08151948
-4.61330665,0.21003280,0.04063540,0.00047182,0.02175481,0.04521019,0.09110977,0.00000000,0.00256182,0.07967207
-4.60730365,0.21018298,0.04095277,0.00038204,0.02094064,0.04582792,0.08830042,0.00000000,0.00297320,0.07840174
-4.60130065,0.21109721,0.04111006,0.00031221,0.02023480,0.04644836,0.08623573,0.00000000,0.00345317,0.07767389
-4.59529765,0.21278882,0.04112481,0.00025981,0.01962507,0.04708754,0.08484817,0.00000000,0.00400420,0.07747838
-4.58929465,0.21530941,0.04101797,0.00022276,0.01910612,0.04776603,0.08409664,0.00000000,0.00462818,0.07782901
