energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-4.58329165,2.85277489,0.23975657,0.00000000,2.16829278,1.19231248,0.01513127,2.22726838
-4.57728864,2.87482309,0.24274951,0.00000000,2.18986937,1.19674096,0.01524934,2.24460724
-4.57128564,2.88982555,0.24532493,0.00000000,2.20490698,1.19860072,0.01532241,2.25651819
-4.56528264,2.89764710,0.24747370,0.00000000,2.21327789,1.19793738,0.01534899,2.26290131
-4.55927964,2.89824109,0.24918951,0.00000000,2.21495045,1.19482042,0.01532853,2.26372274
-4.55327664,2.89166138,0.25046963,0.00000000,2.20999727,1.18934612,0.01526153,2.25902418
-4.54727364,2.87807242,0.25131581,0.00000000,2.19860080,1.18164003,0.01514954,2.24893088
-4.54127064,2.85775624,0.25173515,0.00000000,2.18105585,1.17185894,0.01499525,2.23365723
-4.53526763,2.83111601,0.25174100,0.00000000,2.15776865,1.16019189,0.01480239,2.21350945
-4.52926463,2.79867541,0.25135387,0.00000000,2.12925216,1.14686002,0.01457576,2.18888497
-4.52326163,2.76107347,0.25060213,0.00000000,2.09611768,1.13211516,0.01432106,2.16026810
-4.51725863,2.71905502,0.24952264,0.00000000,2.05906276,1.11623694,0.01404479,2.12822208
-4.51125563,2.67345661,0.24816112,0.00000000,2.01885598,1.09952861,0.01375408,2.09337754
-4.50525263,2.62518861,0.24657238,0.00000000,1.97631884,1.08231148,0.01345650,2.05641781
-4.49924962,2.57521403,0.24482017,0.00000000,1.93230578,1.06491831,0.01315983,2.01806171
-4.49324662,2.52452488,0.24297689,0.00000000,1.88768284,1.04768590,0.01287181,1.97904447
-4.48724362,2.47411726,0.24112293,0.00000000,1.84330610,1.03094716,0.01259996,1.94009768
-4.48124062,2.42496610,0.23934572,0.00000000,1.80000064,1.01502309,0.01235132,1.90192933
-4.47523762,2.37800074,0.23773858,0.00000000,1.75854099,1.00021505,0.01213225,1.86520475
-4.46923462,2.33408242,0.23639922,0.00000000,1.71963385,0.98679770,0.01194825,1.83052941
-4.46323162,2.29398462,0.23542808,0.00000000,1.68390366,0.97501279,0.01180382,1.79843436
-4.45722861,2.25837688,0.23492640,0.00000000,1.65188175,0.96506441,0.01170231,1.76936501
-4.45122561,2.22781291,0.23499416,0.00000000,1.62399900,0.95711541,0.01164594,1.74367353
-4.44522261,2.20272294,0.23572791,0.00000000,1.60058248,0.95128555,0.01163567,1.72161516
-4.43921961,2.18341061,0.23721841,0.00000000,1.58185567,0.94765098,0.01167134,1.70334844
-4.43321661,2.17005402,0.23954837,0.00000000,1.56794201,0.94624523,0.01175164,1.68893897
-4.42721361,2.16271053,0.24279010,0.00000000,1.55887142,0.94706136,0.01187426,1.67836632
-4.42121061,2.16132464,0.24700324,0.00000000,1.55458890,0.95005506,0.01203604,1.67153344
-4.41520760,2.16573822,0.25223261,0.00000000,1.55496476,0.95514845,0.01223306,1.66827779
-4.40920460,2.17570216,0.25850618,0.00000000,1.55980557,0.96223412,0.01246089,1.66838332
-4.40320160,2.19088856,0.26583334,0.00000000,1.56886508,0.97117928,0.01271467,1.67159263
-4.39719860,2.21090274,0.27420329,0.00000000,1.58185461,0.98182950,0.01298933,1.67761831
-4.39119560,2.23529423,0.28358386,0.00000000,1.59845208,0.99401202,0.01327969,1.68615298
-4.38519260,2.26356629,0.29392065,0.00000000,1.61830953,1.00753829,0.01358061,1.69687737
-4.37918959,2.29518360,0.30513658,0.00000000,1.64105868,1.02220575,0.01388708,1.70946622
-4.37318659,2.32957792,0.31713191,0.00000000,1.66631464,1.03779884,0.01419425,1.72359177
-4.36718359,2.36615197,0.32978479,0.00000000,1.69367778,1.05408931,0.01449748,1.73892501
-4.36118059,2.40428175,0.34295238,0.00000000,1.72273405,1.07083605,0.01479238,1.75513492
-4.35517759,2.44331778,0.35647253,0.00000000,1.75305433,1.08778465,0.01507471,1.77188616
-4.34917459,2.48258606,0.37016611,0.00000000,1.78419318,1.10466711,0.01534043,1.78883586
-4.34317159,2.52138919,0.38383993,0.00000000,1.81568771,1.12120180,0.01558561,1.80563004
-4.33716858,2.55900864,0.39729033,0.00000000,1.84705705,1.13709418,0.01580640,1.82190055
-4.33116558,2.59470863,0.41030723,0.00000000,1.87780312,1.15203850,0.01599899,1.83726302
-4.32516258,2.62774222,0.42267876,0.00000000,1.90741305,1.16572059,0.01615959,1.85131649
