energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-4.16308154,2.24385380,0.00083240,0.71304834,0.43572058,0.00000000,1.01652311,0.63532772,0.84835871,0.00341708
-4.15707854,2.25705652,0.00081412,0.71615772,0.44741329,0.00000000,1.01046045,0.64606566,0.85233147,0.00336687
-4.15107554,2.27118672,0.00079492,0.71961831,0.46009384,0.00000000,1.00576016,0.65743216,0.85552241,0.00331445
-4.14507254,2.28678520,0.00077551,0.72361079,0.47377842,0.00000000,1.00293711,0.66944751,0.85818790,0.00326130
-4.13906953,2.30433727,0.00075659,0.72829699,0.48845941,0.00000000,1.00247963,0.68210739,0.86058655,0.00320884
-4.13306653,2.32424899,0.00073881,0.73381322,0.50410139,0.00000000,1.00483015,0.69538099,0.86296605,0.00315843
-4.12706353,2.34682502,0.00072276,0.74026429,0.52063756,0.00000000,1.01036657,0.70920977,0.86554990,0.00311130
-4.12106053,2.37224910,0.00070896,0.74771829,0.53796675,0.00000000,1.01938494,0.72350697,0.86852492,0.00306849
-4.11505753,2.40056802,0.00069780,0.75620247,0.55595119,0.00000000,1.03208444,0.73815781,0.87203005,0.00303081
-4.10905453,2.43167991,0.00068958,0.76570029,0.57441539,0.00000000,1.04855504,0.75302049,0.87614689,0.00299882
-4.10305153,2.46532749,0.00068446,0.77614972,0.59314638,0.00000000,1.06876869,0.76792782,0.88089274,0.00297277
-4.09704852,2.50109672,0.00068248,0.78744303,0.61189539,0.00000000,1.09257428,0.78268972,0.88621631,0.00295263
-4.09104552,2.53842120,0.00068353,0.79942784,0.63038116,0.00000000,1.11969688,0.79709613,0.89199654,0.00293805
-4.08504252,2.57659240,0.00068738,0.81190970,0.64829492,0.00000000,1.14974120,0.81092076,0.89804459,0.00292840
-4.07903952,2.61477545,0.00069369,0.82465595,0.66530698,0.00000000,1.18219952,0.82392518,0.90410909,0.00292277
-4.07303652,2.65203030,0.00070199,0.83740090,0.68107485,0.00000000,1.21646368,0.83586349,0.90988452,0.00292001
-4.06703352,2.68733750,0.00071176,0.84985209,0.69525255,0.00000000,1.25184096,0.84648728,0.91502233,0.00291881
-4.06103052,2.71962785,0.00072237,0.86169757,0.70750101,0.00000000,1.28757306,0.85555091,0.91914442,0.00291769
-4.05502751,2.74781504,0.00073317,0.87261398,0.71749899,0.00000000,1.32285787,0.86281705,0.92185857,0.00291510
-4.04902451,2.77082992,0.00074348,0.88227517,0.72495426,0.00000000,1.35687286,0.86806218,0.92277487,0.00290950
-4.04302151,2.78765545,0.00075264,0.89036106,0.72961447,0.00000000,1.38879944,0.87108218,0.92152281,0.00289934
-4.03701851,2.79736082,0.00075998,0.89656665,0.73127735,0.00000000,1.41784725,0.87169767,0.91776792,0.00288324
-4.03101551,2.79913356,0.00076493,0.90061065,0.72979969,0.00000000,1.44327749,0.86975915,0.91122751,0.00285992
