energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
4.88944472,0.56848346,-1.41690331,0.03006166,-0.02648835,0.15679562,-0.55585634,0.35231752,-1.08678351,0.09938891,-0.34634855,0.04250898,-0.09348293,0.00110334,-0.00227735,0.14459116,-0.30106606,0.00000000,-0.00000000
4.89544772,0.53174890,-1.32219957,0.03187033,-0.02607522,0.13749179,-0.52189169,0.32387545,-1.01832201,0.08894917,-0.32415733,0.04139784,-0.08292007,0.00099273,-0.00206922,0.13929835,-0.28314600,0.00000000,-0.00000000
4.90145073,0.50580861,-1.23357412,0.03439275,-0.02635099,0.12026490,-0.48771794,0.30122672,-0.95184568,0.08003427,-0.30216311,0.04160690,-0.07367616,0.00090488,-0.00188099,0.13695852,-0.26651994,0.00000000,-0.00000000
4.90745373,0.49038232,-1.15151936,0.03760147,-0.02729144,0.10505911,-0.45362478,0.28428819,-0.88788199,0.07262619,-0.28055155,0.04317807,-0.06575365,0.00083834,-0.00171261,0.13756116,-0.25135268,0.00000000,-0.00000000
4.91345673,0.48510879,-1.07648750,0.04146422,-0.02887068,0.09179209,-0.41990144,0.27292162,-0.82693832,0.06669045,-0.25950774,0.04616251,-0.05915124,0.00079158,-0.00156381,0.14107066,-0.23780720,0.00000000,-0.00000000
4.91945973,0.48955108,-1.00888456,0.04594299,-0.03106112,0.08035954,-0.38682918,0.26693880,-0.76949233,0.06217781,-0.23921226,0.05062101,-0.05386689,0.00076297,-0.00143411,0.14742530,-0.22604209,0.00000000,-0.00000000
4.92546273,0.50320016,-0.94906310,0.05099313,-0.03383329,0.07063978,-0.35467409,0.26610640,-0.71598244,0.05902597,-0.21983726,0.05662374,-0.04990079,0.00075082,-0.00132289,0.15653563,-0.21620845,0.00000000,-0.00000000
4.93146573,0.52547708,-0.89731401,0.05656239,-0.03715540,0.06249834,-0.32368045,0.27015034,-0.66679867,0.05716103,-0.20154269,0.06424931,-0.04725816,0.00075344,-0.00122937,0.16828247,-0.20844621,0.00000000,-0.00000000
4.93746873,0.55573407,-0.85385797,0.06259018,-0.04099278,0.05579218,-0.29406498,0.27875958,-0.62227438,0.05649883,-0.18447268,0.07358286,-0.04595168,0.00076910,-0.00115269,0.18251477,-0.20288012,0.00000000,-0.00000000
4.94347174,0.59325518,-0.81883695,0.06900706,-0.04530738,0.05037375,-0.26601211,0.29158942,-0.58267918,0.05694610,-0.16875247,0.08471359,-0.04600349,0.00079605,-0.00109186,0.19904749,-0.19961555,0.00000000,-0.00000000
4.94947474,0.63725690,-0.79230639,0.07573447,-0.05005706,0.04609450,-0.23967063,0.30826443,-0.54821336,0.05840134,-0.15448562,0.09773129,-0.04744662,0.00083258,-0.00104583,0.21765983,-0.19873404,0.00000000,-0.00000000
4.95547774,0.68688966,-0.77422840,0.08268494,-0.05519517,0.04280793,-0.21515159,0.32838109,-0.51900397,0.06075575,-0.14175196,0.11272227,-0.05032583,0.00087696,-0.00101348,0.23809411,-0.20028901,0.00000000,-0.00000000
4.96148074,0.74124054,-0.76446648,0.08976266,-0.06067006,0.04037225,-0.19252766,0.35151040,-0.49510277,0.06389392,-0.13060596,0.12976457,-0.05469775,0.00092748,-0.00099362,0.26005563,-0.20430156,0.00000000,-0.00000000
