energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-0.06303152,3.46498794,0.05796741,0.80406334,2.35154725,0.55451348,0.34931130,0.00000000,1.13799122,1.57182942
-0.05702851,3.54041046,0.05922223,0.82226139,2.40443665,0.56646714,0.35073584,0.00000000,1.16302225,1.60902559
-0.05102551,3.61121276,0.06039404,0.83939395,2.45400823,0.57786174,0.35185970,0.00000000,1.18638409,1.64324519
-0.04502251,3.67626297,0.06147687,0.85516821,2.49960640,0.58847007,0.35266111,0.00000000,1.20765480,1.67404572
-0.03901951,3.73453742,0.06246405,0.86931124,2.54065448,0.59807838,0.35311736,0.00000000,1.22647164,1.70106603
-0.03301651,3.78514261,0.06334833,0.88157620,2.57666360,0.60649052,0.35320630,0.00000000,1.24254018,1.72403198
-0.02701351,3.82733328,0.06412201,0.89174777,2.60723843,0.61353175,0.35290806,0.00000000,1.25564127,1.74275937
-0.02101051,3.86052656,0.06477716,0.89964683,2.63207995,0.61905182,0.35220686,0.00000000,1.26563536,1.75715414
-0.01500750,3.88431175,0.06530580,0.90513418,2.65098516,0.62292744,0.35109290,0.00000000,1.27246426,1.76721017
-0.00900450,3.89845575,0.06570015,0.90811328,2.66384429,0.62506416,0.34956409,0.00000000,1.27615019,1.77300478
-0.00300150,3.90290397,0.06595280,0.90853194,2.67063572,0.62539753,0.34762758,0.00000000,1.27679230,1.77469233
0.00300150,3.89777707,0.06605701,0.90638289,2.67141911,0.62389366,0.34530095,0.00000000,1.27456061,1.77249621
0.00900450,3.88336342,0.06600686,0.90170331,2.66632727,0.62054915,0.34261302,0.00000000,1.26968776,1.76669960
0.01500750,3.86010777,0.06579747,0.89457330,2.65555725,0.61539052,0.33960411,0.00000000,1.26245878,1.75763527
0.02101051,3.82859640,0.06542517,0.88511331,2.63936112,0.60847299,0.33632573,0.00000000,1.25319921,1.74567475
0.02701351,3.78953912,0.06488770,0.87348065,2.61803685,0.59987889,0.33283970,0.00000000,1.24226200,1.73121716
0.03301651,3.74374861,0.06418431,0.85986517,2.59191978,0.58971558,0.32921667,0.00000000,1.23001374,1.71467796
0.03901951,3.69211772,0.06331595,0.84448416,2.56137470,0.57811295,0.32553405,0.00000000,1.21682053,1.69647785
0.04502251,3.63559519,0.06228537,0.82757668,2.52678905,0.56522067,0.32187346,0.00000000,1.20303417,1.67703198
0.05102551,3.57516050,0.06109723,0.80939745,2.48856707,0.55120507,0.31831779,0.00000000,1.18897904,1.65673966
0.05702851,3.51179851,0.05975818,0.79021042,2.44712500,0.53624583,0.31494792,0.00000000,1.17494033,1.63597489
0.06303152,3.44647457,0.05827697,0.77028231,2.40288733,0.52053249,0.31183930,0.00000000,1.16115388,1.61507765
0.06903452,3.38011090,0.05666446,0.74987619,2.35628383,0.50426083,0.30905860,0.00000000,1.14779814,1.59434636
0.07503752,3.31356477,0.05493363,0.72924539,2.30774733,0.48762923,0.30666044,0.00000000,1.13498865,1.57403146
0.08104052,3.24760935,0.05309959,0.70862790,2.25771195,0.47083504,0.30468456,0.00000000,1.12277505,1.55433050
0.08704352,3.18291767,0.05117952,0.68824142,2.20661163,0.45407103,0.30315336,0.00000000,1.11114100,1.53538470
0.09304652,3.12005031,0.04919249,0.66827922,2.15487870,0.43752201,0.30207016,0.00000000,1.10000686,1.51727724
0.09904952,3.05944704,0.04715938,0.64890698,2.10294239,0.42136171,0.30141819,0.00000000,1.08923508,1.50003326
0.10505253,3.00142292,0.04510260,0.63026063,2.05122703,0.40574991,0.30116037,0.00000000,1.07863809,1.48362171
0.11105553,2.94616861,0.04304585,0.61244530,2.00014980,0.39083002,0.30123994,0.00000000,1.06798829,1.46795900
0.11705853,2.89375504,0.04101376,0.59553530,1.95011806,0.37672701,0.30158201,0.00000000,1.05702984,1.45291432
0.12306153,2.84414201,0.03903154,0.57957517,1.90152600,0.36354579,0.30209589,0.00000000,1.04549154,1.43831654
0.12906453,2.79719040,0.03712454,0.56458162,1.85475075,0.35137019,0.30267818,0.00000000,1.03310041,1.42396251
0.13506753,2.75267727,0.03531780,0.55054624,1.81014785,0.34026229,0.30321647,0.00000000,1.01959535,1.40962637
0.14107054,2.71031330,0.03363558,0.53743891,1.76804619,0.33026238,0.30359358,0.00000000,1.00474011,1.39506969
