energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-2.95647824,1.32349372,0.83306455,0.00093537,0.00358478,0.20732725,0.58069037,0.47259692
-2.95047524,1.41443003,0.87974123,0.00101345,0.00398409,0.21878078,0.61180725,0.51347764
-2.94447224,1.50650065,0.92499628,0.00109237,0.00439727,0.22941234,0.64176252,0.55689373
-2.93846923,1.59871946,0.96817779,0.00117149,0.00482000,0.23905183,0.67006491,0.60253307
-2.93246623,1.69007391,1.00866469,0.00125014,0.00524746,0.24754622,0.69624270,0.65002910
-2.92646323,1.77955078,1.04588626,0.00132765,0.00567446,0.25476473,0.71985837,0.69896705
-2.92046023,1.86616196,1.07934010,0.00140335,0.00609558,0.26060337,0.74052243,0.74889151
-2.91445723,1.94896944,1.10860776,0.00147663,0.00650533,0.26498858,0.75790566,0.79931542
-2.90845423,2.02710868,1.13336741,0.00154689,0.00689838,0.26787993,0.77174946,0.84973026
-2.90245123,2.09980969,1.15340313,0.00161361,0.00726976,0.26927158,0.78187381,0.89961709
-2.89644822,2.16641529,1.16861048,0.00167632,0.00761506,0.26919259,0.78818272,0.94845850
-2.89044522,2.22639606,1.17899820,0.00173465,0.00793064,0.26770599,0.79066696,0.99575091
-2.88444222,2.27936186,1.18468618,0.00178828,0.00821382,0.26490664,0.78940410,1.04101711
-2.87843922,2.32506958,1.18589992,0.00183701,0.00846301,0.26091802,0.78455588,1.08381865
-2.87243622,2.36342732,1.18296180,0.00188072,0.00867787,0.25588814,0.77636343,1.12376765
-2.86643322,2.39449494,1.17627979,0.00191940,0.00885933,0.24998461,0.76514021,1.16053785
-2.86043022,2.41848128,1.16633407,0.00195311,0.00900965,0.24338929,0.75126354,1.19387434
-2.85442721,2.43573821,1.15366225,0.00198201,0.00913234,0.23629254,0.73516471,1.22360168
-2.84842421,2.44675175,1.13884390,0.00200634,0.00923211,0.22888751,0.71731845,1.24963015
-2.84242121,2.45213061,1.12248488,0.00202643,0.00931467,0.22136448,0.69823195,1.27195955
-2.83641821,2.45259224,1.10520206,0.00204265,0.00938654,0.21390563,0.67843387,1.29068058
-2.83041521,2.44894680,1.08760897,0.00205544,0.00945481,0.20668030,0.65846375,1.30597334
-2.82441221,2.44207905,1.07030258,0.00206527,0.00952682,0.19984089,0.63886197,1.31810288
