energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Te_p_up,Te_d_up
-4.81740870,2.60523361,0.02800436,0.57213591,0.71157383,1.09582563,0.18583850,1.09273857,0.00000000
-4.81140570,2.66258388,0.02932342,0.58064570,0.72781435,1.11381977,0.19559466,1.12504845,0.00000000
-4.80540270,2.71671841,0.03060531,0.58758408,0.74327978,1.12922117,0.20516244,1.15734103,0.00000000
-4.79939970,2.76702739,0.03183459,0.59296564,0.75773105,1.14200864,0.21441045,1.18912418,0.00000000
-4.79339670,2.81291193,0.03299529,0.59682408,0.77093576,1.15218613,0.22320349,1.21988495,0.00000000
-4.78739370,2.85378831,0.03407120,0.59920884,0.78267182,1.15977765,0.23140547,1.24909793,0.00000000
-4.78139070,2.88909395,0.03504620,0.60018169,0.79273153,1.16482263,0.23888263,1.27623493,0.00000000
-4.77538769,2.91829538,0.03590466,0.59981355,0.80092586,1.16737185,0.24550708,1.30077586,0.00000000
-4.76938469,2.94089814,0.03663188,0.59818164,0.80708901,1.16748413,0.25116045,1.32222062,0.00000000
-4.76338169,2.95645844,0.03721458,0.59536703,0.81108295,1.16522408,0.25573758,1.34010164,0.00000000
-4.75737869,2.96459591,0.03764130,0.59145259,0.81280184,1.16066079,0.25915001,1.35399660,0.00000000
-4.75137569,2.96500706,0.03790293,0.58652153,0.81217608,1.15386748,0.26132926,1.36354082,0.00000000
-4.74537269,2.95747855,0.03799307,0.58065630,0.80917576,1.14492203,0.26222963,1.36843889,0.00000000
-4.73936968,2.94189954,0.03790843,0.57393801,0.80381343,1.13390821,0.26183034,1.36847480,0.00000000
-4.73336668,2.91827224,0.03764908,0.56644623,0.79614577,1.12091735,0.26013713,1.36352024,0.00000000
-4.72736368,2.88671998,0.03721868,0.55825902,0.78627426,1.10605031,0.25718285,1.35354048,0.00000000
-4.72136068,2.84749217,0.03662448,0.54945333,0.77434461,1.08941951,0.25302734,1.33859757,0.00000000
-4.71535768,2.80096559,0.03587738,0.54010548,0.76054491,1.07115077,0.24775639,1.31885058,0.00000000
-4.70935468,2.74764186,0.03499165,0.53029181,0.74510271,1.05138474,0.24147978,1.29455288,0.00000000
-4.70335168,2.68814104,0.03398475,0.52008939,0.72828084,1.03027796,0.23432862,1.26604635,0.00000000
-4.69734867,2.62319139,0.03287685,0.50957670,0.71037250,1.00800324,0.22645187,1.23375294,0.00000000
-4.69134567,2.55361586,0.03169039,0.49883437,0.69169544,0.98474942,0.21801238,1.19816370,0.00000000
-4.68534267,2.48031570,0.03044947,0.48794589,0.67258586,0.96072053,0.20918244,1.15982597,0.00000000
-4.67933967,2.40425207,0.02917926,0.47699822,0.65339207,0.93613431,0.20013914,1.11932903,0.00000000
-4.67333667,2.32642622,0.02790530,0.46608244,0.63446829,0.91122029,0.19105959,1.07728896,0.00000000
-4.66733367,2.24785937,0.02665292,0.45529431,0.61616892,0.88621739,0.18211632,1.03433326,0.00000000
-4.66133067,2.16957285,0.02544652,0.44473486,0.59884353,0.86137133,0.17347295,0.99108593,0.00000000
-4.65532766,2.09256967,0.02430907,0.43451092,0.58283275,0.83693182,0.16528031,0.94815347,0.00000000
-4.64932466,2.01781793,0.02326158,0.42473567,0.56846541,0.81314990,0.15767314,0.90611242,0.00000000
-4.64332166,1.94623706,0.02232272,0.41552918,0.55605691,0.79027535,0.15076759,0.86549886,0.00000000
-4.63731866,1.87868710,0.02150851,0.40701894,0.54590899,0.76855445,0.14465937,0.82680020,0.00000000
-4.63131566,1.81596162,0.02083219,0.39934042,0.53831085,0.74822820,0.13942289,0.79044952,0.00000000
-4.62531266,1.75878424,0.02030419,0.39263757,0.53354154,0.72953097,0.13511115,0.75682254,0.00000000
-4.61930965,1.70780892,0.01993220,0.38706331,0.53187347,0.71268983,0.13175654,0.72623724,0.00000000
-4.61330665,1.66362370,0.01972139,0.38277984,0.53357670,0.69792434,0.12937239,0.69895603,0.00000000
-4.60730365,1.62675741,0.01967477,0.37995888,0.53892376,0.68544691,0.12795519,0.67519015,0.00000000
-4.60130065,1.59768892,0.01979353,0.37878153,0.54819448,0.67546359,0.12748746,0.65510604,0.00000000
-4.59529765,1.57685795,0.02007759,0.37943780,0.56168038,0.66817507,0.12794095,0.63883321,0.00000000
-4.58929465,1.56467652,0.02052600,0.38212562,0.57968803,0.66377775,0.12928018,0.62647300,0.00000000
-4.58329165,1.56154008,0.02113752,0.38704907,0.60254095,0.66246455,0.13146604,0.61810781,0.00000000
