energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-5.54377189,7.38046590,-5.90239241,0.07583660,-0.03477827,1.29260310,-1.10691624,4.60795696,-4.18708937,1.78413185,-0.82404455,0.09833574,-0.12478451,2.37876741,-1.89223252,1.06627901,-0.76884949,0.17797782,-0.21558660
-5.53776888,7.32246856,-6.00850321,0.07782908,-0.03572565,1.27970176,-1.12956213,4.51581475,-4.25516307,1.80093212,-0.84525737,0.09678509,-0.12598923,2.36998720,-1.92408511,1.06283106,-0.78603331,0.17138500,-0.21754507
-5.53176588,7.25780200,-6.09372440,0.07957989,-0.03660121,1.26508733,-1.14778866,4.42341967,-4.30624804,1.81406639,-0.86397990,0.09528243,-0.12675783,2.35989934,-1.95025141,1.05871921,-0.80104865,0.16477313,-0.21859619
-5.52576288,7.18848197,-6.15797307,0.08106577,-0.03740635,1.24886461,-1.16147744,4.33313503,-4.34056939,1.82340406,-0.88016117,0.09385243,-0.12708971,2.34959257,-1.97089571,1.05445020,-0.81392925,0.15822416,-0.21873766
-5.51975988,7.11653520,-6.20171143,0.08226787,-0.03814410,1.23115705,-1.17061537,4.24725167,-4.35876408,1.82887023,-0.89382827,0.09251855,-0.12699274,2.34013228,-1.98635373,1.05051971,-0.82477888,0.15181753,-0.21798669
-5.51375688,7.04394290,-6.22593619,0.08317210,-0.03881913,1.21210788,-1.17529646,4.16793530,-4.36186916,1.83044735,-0.90508798,0.09130212,-0.12648272,2.33252254,-1.99712331,1.04739520,-0.83376905,0.14562850,-0.21637911
-5.50775388,6.97258158,-6.23215518,0.08376918,-0.03943780,1.19187967,-1.17572106,4.09717377,-4.35130016,1.82817420,-0.91412646,0.09022145,-0.12558279,2.32766904,-2.00385138,1.04549917,-0.84113508,0.13972654,-0.21396806
-5.50175088,6.90416353,-6.22235143,0.08405469,-0.04000816,1.17065222,-1.17219225,4.03672528,-4.32882009,1.82214234,-0.92120656,0.08929099,-0.12432271,2.32634460,-2.00731757,1.04519366,-0.84717072,0.13417368,-0.21082221
-5.49574787,6.84017921,-6.19893506,0.08402885,-0.04053994,1.14861885,-1.16510959,3.98806934,-4.29649951,1.81249032,-0.92666291,0.08852060,-0.12273810,2.32915867,-2.00841455,1.04676651,-0.85222115,0.12902308,-0.20702372
-5.48974487,6.78184421,-6.16468384,0.08369621,-0.04104458,1.12598135,-1.15496001,3.95236182,-4.25666850,1.79939604,-0.93089444,0.08791499,-0.12086961,2.33653199,-2.00812549,1.05042000,-0.85667456,0.12431765,-0.20266587
