energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
5.09354677,0.40892914,-0.72724842,0.50784008,-0.59486528,0.02117569,-0.06488680,0.02940527,-0.02034209,0.01950435,-0.02165727,0.04103513,-0.05069351,0.03768350,-0.06644622
5.09954977,0.42595192,-0.70992395,0.51304832,-0.58087542,0.02340305,-0.06316938,0.02832215,-0.01999369,0.02153252,-0.02174375,0.04079096,-0.05105792,0.04277415,-0.06511287
5.10555278,0.44674689,-0.68996938,0.52133341,-0.56549955,0.02597741,-0.06117147,0.02743024,-0.01965550,0.02400466,-0.02168429,0.04060686,-0.05123862,0.04873782,-0.06341242
5.11155578,0.47152671,-0.66789711,0.53295775,-0.54922683,0.02891079,-0.05893614,0.02673164,-0.01935008,0.02691413,-0.02148258,0.04051855,-0.05125346,0.05558485,-0.06137869
5.11755878,0.50044501,-0.64424555,0.54814029,-0.53255185,0.03220964,-0.05650966,0.02622834,-0.01909954,0.03024907,-0.02114618,0.04055975,-0.05112382,0.06331397,-0.05905174
5.12356178,0.53358002,-0.61956262,0.56703950,-0.51595902,0.03587370,-0.05394018,0.02592162,-0.01892506,0.03399157,-0.02068632,0.04076073,-0.05087360,0.07191025,-0.05647691
5.12956478,0.57091968,-0.59438962,0.58973762,-0.49990793,0.03989488,-0.05127637,0.02581136,-0.01884629,0.03811702,-0.02011778,0.04114704,-0.05052818,0.08134317,-0.05370375
5.13556778,0.61234916,-0.56924632,0.61622709,-0.48482037,0.04425640,-0.04856608,0.02589535,-0.01888098,0.04259349,-0.01945855,0.04173835,-0.05011331,0.09156509,-0.05078486
5.14157079,0.65764171,-0.54461755,0.64640044,-0.47106950,0.04893212,-0.04585527,0.02616879,-0.01904464,0.04738146,-0.01872951,0.04254759,-0.04965401,0.10251023,-0.04777477
5.14757379,0.70645379,-0.52094201,0.68004410,-0.45897142,0.05388618,-0.04318687,0.02662377,-0.01935041,0.05243371,-0.01795399,0.04358036,-0.04917346,0.11409425,-0.04472886
5.15357679,0.75832506,-0.49860344,0.71683707,-0.44877954,0.05907306,-0.04060007,0.02724902,-0.01980898,0.05769562,-0.01715731,0.04483466,-0.04869204,0.12621461,-0.04170229
5.15957979,0.81268370,-0.47792454,0.75635479,-0.44068179,0.06443796,-0.03812954,0.02802979,-0.02042870,0.06310581,-0.01636632,0.04630105,-0.04822659,0.13875181,-0.03874906
5.16558279,0.86885743,-0.45916353,0.79807834,-0.43480060,0.06991771,-0.03580511,0.02894795,-0.02121573,0.06859718,-0.01560883,0.04796305,-0.04778973,0.15157154,-0.03592116
5.17158579,0.92608996,-0.44251346,0.84140899,-0.43119561,0.07544204,-0.03365146,0.02998232,-0.02217434,0.07409834,-0.01491322,0.04979801,-0.04738954,0.16452769,-0.03326786
5.17758879,0.98356266,-0.42810407,0.88568754,-0.42986863,0.08093532,-0.03168811,0.03110916,-0.02330728,0.07953540,-0.01430783,0.05177825,-0.04702938,0.17746634,-0.03083509
5.18359180,1.04042066,-0.41600569,0.93021798,-0.43077060,0.08631867,-0.02992956,0.03230288,-0.02461610,0.08483402,-0.01382054,0.05387246,-0.04670803,0.19023044,-0.02866497
5.18959480,1.09580245,-0.40623511,0.97429422,-0.43380997,0.09151231,-0.02838555,0.03353686,-0.02610158,0.08992182,-0.01347827,0.05604739,-0.04642005,0.20266508,-0.02679537
5.19559780,1.14887171,-0.39876261,1.01722898,-0.43886190,0.09643822,-0.02706148,0.03478446,-0.02776405,0.09473077,-0.01330651,0.05826957,-0.04615628,0.21462319,-0.02525963
5.20160080,1.19884995,-0.39351987,1.05838327,-0.44577779,0.10102283,-0.02595883,0.03601999,-0.02960361,0.09919969,-0.01332886,0.06050716,-0.04590464,0.22597131,-0.02408628
5.20760380,1.24504824,-0.39040810,1.09719494,-0.45439433,0.10519970,-0.02507574,0.03721976,-0.03162030,0.10327663,-0.01356655,0.06273172,-0.04565095,0.23659523,-0.02329879
5.21360680,1.28689655,-0.38930589,1.13320490,-0.46454181,0.10891204,-0.02440744,0.03836304,-0.03381413,0.10692098,-0.01403799,0.06491983,-0.04537985,0.24640512,-0.02291536
