energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-4.58329165,3.51191849,0.17652240,0.00225959,2.90481253,1.56648442,0.04981711,2.26819981
-4.57728864,3.72475929,0.18868195,0.00236164,3.13026796,1.65710864,0.05466903,2.41732590
-4.57128564,3.95406030,0.20138445,0.00247919,3.37039125,1.75552056,0.05984059,2.57766616
-4.56528264,4.19663312,0.21448266,0.00260953,3.62278190,1.86027372,0.06529768,2.74723396
-4.55927964,4.44915749,0.22782666,0.00275000,3.88489863,1.96983582,0.07099942,2.92391815
-4.55327664,4.70824551,0.24126739,0.00289805,4.15411128,2.08261811,0.07689815,3.10552362
-4.54727364,4.97050594,0.25465998,0.00305121,4.42775333,2.19700555,0.08293946,3.28981319
-4.54127064,5.23260640,0.26786683,0.00320720,4.70317306,2.31138722,0.08906250,3.47454953
-4.53526763,5.49133139,0.28076031,0.00336393,4.97778101,2.42418583,0.09520054,3.65753559
-4.52926463,5.74363453,0.29322482,0.00351950,5.24909163,2.53388574,0.10128174,3.83665245
-4.52326163,5.98668310,0.30515831,0.00367225,5.51475723,2.63905849,0.10723019,4.00989327
-4.51725863,6.21789383,0.31647301,0.00382076,5.77259293,2.73838529,0.11296721,4.17539229
-4.51125563,6.43495907,0.32709552,0.00396380,6.02059149,2.83067588,0.11841290,4.33144832
-4.50525263,6.63586304,0.33696606,0.00410037,6.25692800,2.91488331,0.12348792,4.47654202
-4.49924962,6.81888839,0.34603727,0.00422965,6.47995479,2.99011455,0.12811542,4.60934708
-4.49324662,6.98261392,0.35427228,0.00435098,6.68818771,3.05563680,0.13222306,4.72873550
-4.48724362,7.12590473,0.36164261,0.00446380,6.88028569,3.11087980,0.13574517,4.83377749
-4.48124062,7.24789644,0.36812571,0.00456766,7.05502596,3.15543450,0.13862479,4.92373694
-4.47523762,7.34797568,0.37370256,0.00466216,7.21127766,3.18904859,0.14081568,4.99806355
-4.46923462,7.42575882,0.37835548,0.00474691,7.34797681,3.21161951,0.14228406,5.05638297
-4.46323162,7.48107121,0.38206623,0.00482154,7.46410578,3.22318584,0.14301020,5.09848608
-4.45722861,7.51392883,0.38481470,0.00488561,7.55867957,3.22391753,0.14298951,5.12431883
-4.45122561,7.52452415,0.38657823,0.00493870,7.63074155,3.21410583,0.14223337,5.13397366
-4.44522261,7.51321705,0.38733165,0.00498033,7.67936973,3.19415343,0.14076942,5.12768316
-4.43921961,7.48053165,0.38704810,0.00501002,7.70369448,3.16456520,0.13864138,5.10581672
-4.43321661,7.42715871,0.38570050,0.00502727,7.70292736,3.12593981,0.13590841,5.06887993
-4.42721361,7.35396300,0.38326372,0.00503166,7.67639974,3.07896222,0.13264390,5.01751661
-4.42121061,7.26199414,0.37971724,0.00502282,7.62360920,3.02439691,0.12893388,4.95251259
-4.41520760,7.15249909,0.37504810,0.00500050,7.54427077,2.96308151,0.12487501,4.87480029
-4.40920460,7.02693400,0.36925399,0.00496464,7.43836952,2.89592040,0.12057216,4.78546270
-4.40320160,6.88697298,0.36234628,0.00491536,7.30621070,2.82387755,0.11613581,4.68573532
-4.39719860,6.73451151,0.35435266,0.00485306,7.14846371,2.74796831,0.11167920,4.57700461
-4.39119560,6.57166208,0.34531933,0.00477837,6.96619613,2.66924940,0.10731539,4.46080169
-4.38519260,6.40074069,0.33531252,0.00469226,6.76089474,2.58880677,0.10315443,4.33878999
-4.37918959,6.22424285,0.32441916,0.00459595,6.53447120,2.50774122,0.09930048,4.21274648
-4.37318659,6.04480887,0.31274667,0.00449100,6.28925095,2.42715155,0.09584925,4.08453587
-4.36718359,5.86517891,0.30042191,0.00437920,6.02794475,2.34811568,0.09288563,3.95607840
-4.36118059,5.68813893,0.28758922,0.00426259,5.75360366,2.27167023,0.09048171,3.82931167
-4.35517759,5.51645974,0.27440765,0.00414340,5.46955898,2.19878910,0.08869515,3.70614807
-4.34917459,5.35283165,0.26104766,0.00402400,5.17934977,2.13036226,0.08756804,3.58842926
-4.34317159,5.19979785,0.24768723,0.00390682,4.88664110,2.06717549,0.08712617,3.47787994
-4.33716858,5.05968981,0.23450777,0.00379435,4.59513686,2.00989241,0.08737884,3.37606285
-4.33116558,4.93456796,0.22168995,0.00368898,4.30849099,1.95903971,0.08831912,3.28433745
-4.32516258,4.82617086,0.20940957,0.00359304,4.03022118,1.91499649,0.08992456,3.20382417
