energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-4.79339670,6.84118892,0.02012219,1.57104323,2.62860500,0.00000000,2.40729683,1.80585286,0.93227324,0.84982514
-4.78739370,6.86217012,0.01990630,1.60362740,2.59874220,0.00000000,2.43795434,1.84571085,0.91787621,0.84179316
-4.78139070,6.87449400,0.01964584,1.63276483,2.56742447,0.00000000,2.46439082,1.88206613,0.90275181,0.83361340
-4.77538769,6.87842233,0.01934693,1.65830452,2.53505284,0.00000000,2.48654576,1.91467640,0.88701132,0.82546106
-4.76938469,6.87432476,0.01901627,1.68016107,2.50201494,0.00000000,2.50442347,1.94337082,0.87078095,0.81749330
-4.76338169,6.86267630,0.01866093,1.69831462,2.46868214,0.00000000,2.51809139,1.96805221,0.85420234,0.80984809
-4.75737869,6.84405289,0.01828820,1.71280856,2.43540859,0.00000000,2.52767643,1.98869671,0.83743279,0.80264414
-4.75137569,6.81912502,0.01790546,1.72374503,2.40253207,0.00000000,2.53335971,2.00535082,0.82064502,0.79598193
-4.74537269,6.78864955,0.01752000,1.73127844,2.37037643,0.00000000,2.53536975,2.01812600,0.80402646,0.78994562
-4.73936968,6.75345932,0.01713896,1.73560721,2.33925516,0.00000000,2.53397453,2.02719109,0.78777799,0.78460565
-4.73336668,6.71445082,0.01676916,1.73696418,2.30947572,0.00000000,2.52947267,2.03276278,0.77211197,0.78002181
-4.72736368,6.67256974,0.01641705,1.73560612,2.28134391,0.00000000,2.52218413,2.03509469,0.75724968,0.77624642
-4.72136068,6.62879443,0.01608864,1.73180274,2.25516762,0.00000000,2.51244079,2.03446560,0.74341792,0.77332737
-4.71535768,6.58411740,0.01578944,1.72582591,2.23125926,0.00000000,2.50057721,2.03116723,0.73084502,0.77131072
-4.70935468,6.53952505,0.01552440,1.71793945,2.20993633,0.00000000,2.48692204,2.02549240,0.71975599,0.77024247
-4.70335168,6.49597585,0.01529791,1.70838998,2.19151942,0.00000000,2.47179021,2.01772389,0.71036716,0.77016948
-4.69734867,6.45437745,0.01511373,1.69739944,2.17632745,0.00000000,2.45547623,2.00812467,0.70288014,0.77113911
-4.69134567,6.41556304,0.01497497,1.68515931,2.16466992,0.00000000,2.43824874,1.99692988,0.69747551,0.77319774
-4.68534267,6.38026786,0.01488406,1.67182702,2.15683626,0.00000000,2.42034635,1.98434080,0.69430618,0.77638807
-4.67933967,6.34910628,0.01484271,1.65752434,2.15308259,0.00000000,2.40197486,1.97052105,0.69349089,0.78074531
