energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
2.11605803,0.23275919,0.00052662,0.08466832,0.09446601,0.00762287,0.03095211,0.00579863,0.21710366,0.00000000
2.12206103,0.20888143,0.00039244,0.07744137,0.08613858,0.00607228,0.02604844,0.00526767,0.19604200,0.00000000
2.12806403,0.18664548,0.00029039,0.07036696,0.07807246,0.00480484,0.02190057,0.00475761,0.17610280,0.00000000
2.13406703,0.16600704,0.00021335,0.06351345,0.07032147,0.00377786,0.01839562,0.00427133,0.15733805,0.00000000
2.14007004,0.14693081,0.00015565,0.05694195,0.06293554,0.00295338,0.01543654,0.00381134,0.13979133,0.00000000
2.14607304,0.12938543,0.00011275,0.05070476,0.05595827,0.00229827,0.01294057,0.00337977,0.12349540,0.00000000
2.15207604,0.11333960,0.00008110,0.04484440,0.04942515,0.00178404,0.01083765,0.00297821,0.10847058,0.00000000
2.15807904,0.09875920,0.00005793,0.03939316,0.04336257,0.00138666,0.00906892,0.00260777,0.09472396,0.00000000
2.16408204,0.08560569,0.00004109,0.03437319,0.03778737,0.00108634,0.00758533,0.00226901,0.08224949,0.00000000
2.17008504,0.07383548,0.00002896,0.02979702,0.03270694,0.00086724,0.00634635,0.00196204,0.07102885,0.00000000
2.17608804,0.06340040,0.00002029,0.02566846,0.02811985,0.00071722,0.00531891,0.00168648,0.06103306,0.00000000
2.18209105,0.05424902,0.00001415,0.02198381,0.02401674,0.00062764,0.00447651,0.00144158,0.05222470,0.00000000
2.18809405,0.04632867,0.00000985,0.01873320,0.02038153,0.00059317,0.00379857,0.00122629,0.04456068,0.00000000
2.19409705,0.03958815,0.00000688,0.01590218,0.01719281,0.00061165,0.00326987,0.00103934,0.03799528,0.00000000
2.20010005,0.03398079,0.00000489,0.01347323,0.01442526,0.00068411,0.00288031,0.00087931,0.03248356,0.00000000
2.20610305,0.02946789,0.00000361,0.01142741,0.01205112,0.00081473,0.00262479,0.00074475,0.02798484,0.00000000
2.21210605,0.02602237,0.00000287,0.00974585,0.01004162,0.00101095,0.00250331,0.00063428,0.02446621,0.00000000
2.21810905,0.02363245,0.00000256,0.00841119,0.00836833,0.00128365,0.00252119,0.00054661,0.02190601,0.00000000
2.22411206,0.02230544,0.00000263,0.00740892,0.00700438,0.00164735,0.00268958,0.00048070,0.02029719,0.00000000
2.23011506,0.02207135,0.00000306,0.00672854,0.00592562,0.00212048,0.00302599,0.00043576,0.01965046,0.00000000
2.23611806,0.02298652,0.00000388,0.00636462,0.00511154,0.00272570,0.00355513,0.00041136,0.01999716,0.00000000
2.24212106,0.02513692,0.00000516,0.00631766,0.00454624,0.00349020,0.00430985,0.00040745,0.02139187,0.00000000
2.24812406,0.02864124,0.00000701,0.00659479,0.00421916,0.00444597,0.00533223,0.00042441,0.02391464,0.00000000
2.25412706,0.03365369,0.00000959,0.00721032,0.00412581,0.00563013,0.00667485,0.00046310,0.02767279,0.00000000
2.26013007,0.04036633,0.00001310,0.00818610,0.00426843,0.00708508,0.00840227,0.00052483,0.03280216,0.00000000
2.26613307,0.04901093,0.00001782,0.00955172,0.00465656,0.00885862,0.01059253,0.00061142,0.03946791,0.00000000
2.27213607,0.05986022,0.00002411,0.01134453,0.00530767,0.01100392,0.01333888,0.00072517,0.04786455,0.00000000
2.27813907,0.07322838,0.00003239,0.01360943,0.00624768,0.01357932,0.01675155,0.00086884,0.05821529,0.00000000
2.28414207,0.08947077,0.00004323,0.01639854,0.00751154,0.01664797,0.02095957,0.00104565,0.07077054,0.00000000
2.29014507,0.10898265,0.00005729,0.01977056,0.00914374,0.02027724,0.02611262,0.00125920,0.08580556,0.00000000
2.29614807,0.13219680,0.00007539,0.02379000,0.01119883,0.02453784,0.03238277,0.00151344,0.10361709,0.00000000
2.30215108,0.15958006,0.00009848,0.02852615,0.01374184,0.02950278,0.03996610,0.00181258,0.12451902,0.00000000
2.30815408,0.19162847,0.00012773,0.03405185,0.01684858,0.03524603,0.04908396,0.00216106,0.14883704,0.00000000
2.31415708,0.22886119,0.00016448,0.04044204,0.02060586,0.04184095,0.05998397,0.00256337,0.17690230,0.00000000
2.32016008,0.27181299,0.00021028,0.04777209,0.02511141,0.04935846,0.07294027,0.00302403,0.20904421,0.00000000
2.32616308,0.32102534,0.00026690,0.05611598,0.03047359,0.05786512,0.08825321,0.00354742,0.24558235,0.00000000
2.33216608,0.37703625,0.00033633,0.06554430,0.03681067,0.06742097,0.10624802,0.00413770,0.28681777,0.00000000
2.33816908,0.44036873,0.00042079,0.07612217,0.04424969,0.07807735,0.12727232,0.00479865,0.33302391,0.00000000
2.34417209,0.51151809,0.00052267,0.08790704,0.05292486,0.08987470,0.15169243,0.00553355,0.38443720,0.00000000
2.35017509,0.59093826,0.00064456,0.10094646,0.06297524,0.10284040,0.17988800,0.00634509,0.44124774,0.00000000
2.35617809,0.67902721,0.00078917,0.11527588,0.07454185,0.11698680,0.21224510,0.00723522,0.50359033,0.00000000
2.36218109,0.77611171,0.00095929,0.13091656,0.08776405,0.13230944,0.24914742,0.00820505,0.57153603,0.00000000
2.36818409,0.88243179,0.00115769,0.14787347,0.10277521,0.14878558,0.29096560,0.00925475,0.64508468,0.00000000
2.37418709,0.99812501,0.00138711,0.16613354,0.11969764,0.16637309,0.33804478,0.01038350,0.72415845,0.00000000
2.38019010,1.12321106,0.00165005,0.18566396,0.13863703,0.18500979,0.39069036,0.01158939,0.80859681,0.00000000
2.38619310,1.25757691,0.00194874,0.20641091,0.15967616,0.20461329,0.44915233,0.01286937,0.89815298,0.00000000
2.39219610,1.40096316,0.00228498,0.22829846,0.18286849,0.22508121,0.51360842,0.01421928,0.99249204,0.00000000
2.39819910,1.55295174,0.00266000,0.25122794,0.20823143,0.24629207,0.58414676,0.01563375,1.09119080,0.00000000
2.40420210,1.71295586,0.00307434,0.27507768,0.23573989,0.26810658,0.66074842,0.01710633,1.19373945,0.00000000
2.41020510,1.88021240,0.00352772,0.29970322,0.26532021,0.29036944,0.74327085,0.01862941,1.29954492,0.00000000
2.41620810,2.05377766,0.00401892,0.32493791,0.29684490,0.31291155,0.83143292,0.02019433,1.40793606,0.00000000
2.42221111,2.23252676,0.00454568,0.35059422,0.33012855,0.33555265,0.92480252,0.02179146,1.51817032,0.00000000
