energy_ev,total_up,Hg_p_up,Hg_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.40770385,2.52218243,0.63680255,0.20365995,0.39410732,0.04052104,0.51034082,0.04072319,1.43499505
-1.40170085,2.55831957,0.64916517,0.20645674,0.40046819,0.04100524,0.52071587,0.04179529,1.45325190
-1.39569785,2.58641372,0.65932612,0.20862595,0.40477538,0.04120357,0.52972327,0.04270714,1.46681778
-1.38969485,2.60546070,0.66701607,0.21008224,0.40685444,0.04111210,0.53708166,0.04343842,1.47523177
-1.38369185,2.61469394,0.67203165,0.21075933,0.40658121,0.04073317,0.54256048,0.04397321,1.47816135
-1.37768884,2.61361482,0.67424256,0.21061246,0.40388639,0.04007534,0.54598801,0.04430055,1.47541737
-1.37168584,2.60201116,0.67359570,0.20961988,0.39875813,0.03915314,0.54725671,0.04441470,1.46696253
-1.36568284,2.57996296,0.67011584,0.20778319,0.39124231,0.03798661,0.54632582,0.04431532,1.45291290
-1.35967984,2.54783553,0.66390310,0.20512682,0.38144074,0.03660068,0.54322100,0.04400730,1.43353266
-1.35367684,2.50626069,0.65512727,0.20169653,0.36950726,0.03502436,0.53803130,0.04350050,1.40922239
-1.34767384,2.45610740,0.64401944,0.19755703,0.35564214,0.03328996,0.53090351,0.04280929,1.38050183
-1.34167084,2.39844378,0.63086135,0.19278900,0.34008490,0.03143210,0.52203439,0.04195190,1.34798817
-1.33566783,2.33449293,0.61597322,0.18748567,0.32310600,0.02948680,0.51166130,0.04094977,1.31237119
-1.32966483,2.26558504,0.59970064,0.18174904,0.30499793,0.02749057,0.50005169,0.03982677,1.27438681
-1.32366183,2.19310863,0.58240130,0.17568616,0.28606591,0.02547953,0.48749218,0.03860841,1.23479041
-1.31765883,2.11846331,0.56443224,0.16940547,0.26661874,0.02348870,0.47427778,0.03732113,1.19433152
-1.31165583,2.04301665,0.54613825,0.16301348,0.24696022,0.02155128,0.46070171,0.03599161,1.15373096
-1.30565283,1.96806675,0.52784197,0.15661197,0.22738128,0.01969822,0.44704652,0.03464614,1.11366164
-1.29964982,1.89481223,0.50983601,0.15029566,0.20815333,0.01795774,0.43357672,0.03331019,1.07473358
-1.29364682,1.82433021,0.49237747,0.14415052,0.18952278,0.01635516,0.42053314,0.03200799,1.03748368
-1.28764382,1.75756266,0.47568468,0.13825277,0.17170699,0.01491274,0.40812923,0.03076230,1.00237028
-1.28164082,1.69531072,0.45993641,0.13266833,0.15489156,0.01364965,0.39654927,0.02959423,0.96977219
-1.27563782,1.63823616,0.44527298,0.12745291,0.13922903,0.01258207,0.38594817,0.02852319,0.93999173
-1.26963482,1.58686864,0.43179920,0.12265248,0.12483876,0.01172327,0.37645278,0.02756685,0.91326093
-1.26363182,1.54161732,0.41958853,0.11830397,0.11180789,0.01108383,0.36816425,0.02674119,0.88975007
-1.25762881,1.50278505,0.40868802,0.11443621,0.10019317,0.01067175,0.36116104,0.02606050,0.86957748
-1.25162581,1.47058341,0.39912360,0.11107091,0.09002348,0.01049268,0.35550217,0.02553739,0.85281964
-1.24562281,1.44514709,0.39090521,0.10822358,0.08130271,0.01054997,0.35123039,0.02518272,0.83952065
-1.23961981,1.42654631,0.38403125,0.10590422,0.07401302,0.01084486,0.34837478,0.02500556,0.82970041
-1.23361681,1.41479615,0.37849231,0.10411793,0.06811799,0.01137642,0.34695261,0.02501294,0.82336077
-1.22761381,1.40986241,0.37427365,0.10286517,0.06356585,0.01214163,0.34697022,0.02520972,0.82048948
-1.22161081,1.41166367,0.37135658,0.10214186,0.06029235,0.01313526,0.34842302,0.02559819,0.82106179
-1.21560780,1.42007007,0.36971864,0.10193920,0.05822344,0.01434985,0.35129435,0.02617787,0.82503978
-1.20960480,1.43489908,0.36933277,0.10224342,0.05727765,0.01577555,0.35555371,0.02694509,0.83236986
-1.20360180,1.45590962,0.37016561,0.10303538,0.05736804,0.01740006,0.36115433,0.02789277,0.84297898
-1.19759880,1.48279536,0.37217536,0.10429026,0.05840398,0.01920855,0.36803055,0.02901012,0.85676999
-1.19159580,1.51517853,0.37530941,0.10597729,0.06029258,0.02118361,0.37609528,0.03028252,0.87361703
-1.18559280,1.55260550,0.37950212,0.10805970,0.06293996,0.02330528,0.38523791,0.03169147,0.89336147
