energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
0.70535268,6.65392930,-6.13839982,0.07468973,-0.04261115,1.09925752,-0.82406271,1.16498285,-1.14481029,1.44672047,-1.45174522,0.08328216,-0.09005782,3.38651284,-3.32241809
0.71135568,6.85631427,-6.17564259,0.07752777,-0.04381138,1.13249460,-0.83014085,1.20243202,-1.15462228,1.48125571,-1.45177409,0.08362482,-0.08816154,3.50786054,-3.35539103
0.71735868,7.04439785,-6.19150908,0.08003777,-0.04480795,1.16275864,-0.83308882,1.23800932,-1.16055105,1.51224420,-1.44669443,0.08369194,-0.08608812,3.62376453,-3.37708594
0.72336168,7.21661114,-6.18573702,0.08219782,-0.04559448,1.18979687,-0.83291564,1.27142772,-1.16250453,1.53940315,-1.43647738,0.08351213,-0.08386824,3.73327424,-3.38721798
0.72936468,7.37164387,-6.15853849,0.08399468,-0.04617012,1.21342525,-0.82970798,1.30242779,-1.16047717,1.56251332,-1.42120645,0.08312138,-0.08153486,3.83550914,-3.38573888
0.73536768,7.50849300,-6.11061466,0.08542418,-0.04653955,1.23353935,-0.82363358,1.33078542,-1.15455184,1.58142950,-1.40108138,0.08256224,-0.07912294,3.92967974,-3.37284236
0.74137069,7.62650077,-6.04314964,0.08649136,-0.04671277,1.25012292,-0.81494144,1.35631802,-1.14489778,1.59608842,-1.37641685,0.08188277,-0.07666916,4.01510521,-3.34895921
0.74737369,7.72537965,-5.95778313,0.08721009,-0.04670470,1.26325338,-0.80395845,1.37888883,-1.13176472,1.60651360,-1.34763618,0.08113515,-0.07421137,4.09122647,-3.31474212
0.75337669,7.80522231,-5.85656285,0.08760248,-0.04653448,1.27310375,-0.79108245,1.39840921,-1.11547349,1.61281667,-1.31526012,0.08037412,-0.07178796,4.15761448,-3.27104115
0.75937969,7.86649584,-5.74187900,0.08769779,-0.04622462,1.27994069,-0.77677186,1.41483855,-1.09640368,1.61519486,-1.27989130,0.07965531,-0.06943704,4.21397342,-3.21887125
0.76538269,7.91001994,-5.61638379,0.08753112,-0.04580000,1.28411838,-0.76153222,1.42818216,-1.07497896,1.61392483,-1.24219505,0.07903335,-0.06719552,4.26013883,-3.15937376
