energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-4.93146573,1.76554255,0.24731197,0.00000000,0.97890198,1.08635284,0.52037428,0.00000000
-4.92546273,1.76972414,0.24690358,0.00000000,0.98828310,1.08466192,0.52245601,0.00000000
-4.91945973,1.77904876,0.24748208,0.00000000,0.99998478,1.08674343,0.52538858,0.00000000
-4.91345673,1.79321166,0.24899148,0.00000000,1.01373760,1.09248516,0.52908093,0.00000000
-4.90745373,1.81185492,0.25136560,0.00000000,1.02925962,1.10173156,0.53342595,0.00000000
-4.90145073,1.83457818,0.25452986,0.00000000,1.04626527,1.11428860,0.53830402,0.00000000
-4.89544772,1.86095059,0.25840350,0.00000000,1.06447412,1.12992989,0.54358706,0.00000000
-4.88944472,1.89052374,0.26290206,0.00000000,1.08361916,1.14840354,0.54914315,0.00000000
-4.88344172,1.92284455,0.26794002,0.00000000,1.10345419,1.16943950,0.55484136,0.00000000
-4.87743872,1.95746775,0.27343350,0.00000000,1.12375995,1.19275688,0.56055655,0.00000000
-4.87143572,1.99396715,0.27930278,0.00000000,1.14434884,1.21807096,0.56617401,0.00000000
-4.86543272,2.03194515,0.28547465,0.00000000,1.16506785,1.24509946,0.57159352,0.00000000
-4.85942971,2.07104018,0.29188431,0.00000000,1.18579963,1.27356781,0.57673293,0.00000000
-4.85342671,2.11093163,0.29847685,0.00000000,1.20646184,1.30321321,0.58153069,0.00000000
-4.84742371,2.15134213,0.30520806,0.00000000,1.22700459,1.33378737,0.58594769,0.00000000
-4.84142071,2.19203735,0.31204476,0.00000000,1.24740652,1.36505792,0.58996791,0.00000000
-4.83541771,2.23282324,0.31896444,0.00000000,1.26766947,1.39680852,0.59359814,0.00000000
-4.82941471,2.27354140,0.32595430,0.00000000,1.28781231,1.42883780,0.59686679,0.00000000
-4.82341171,2.31406260,0.33300978,0.00000000,1.30786435,1.46095749,0.59982171,0.00000000
-4.81740870,2.35427934,0.34013269,0.00000000,1.32785854,1.49298980,0.60252741,0.00000000
-4.81140570,2.39409777,0.34732888,0.00000000,1.34782510,1.52476452,0.60506156,0.00000000
-4.80540270,2.43342961,0.35460587,0.00000000,1.36778570,1.55611597,0.60751122,0.00000000
-4.79939970,2.47218445,0.36197025,0.00000000,1.38774865,1.58688019,0.60996873,0.00000000
-4.79339670,2.51026303,0.36942527,0.00000000,1.40770513,1.61689242,0.61252759,0.00000000
-4.78739370,2.54755155,0.37696848,0.00000000,1.42762665,1.64598516,0.61527845,0.00000000
-4.78139070,2.58391734,0.38458973,0.00000000,1.44746355,1.67398684,0.61830532,0.00000000
-4.77538769,2.61920589,0.39226952,0.00000000,1.46714466,1.70072106,0.62168204,0.00000000
-4.76938469,2.65323917,0.39997770,0.00000000,1.48657770,1.72600643,0.62546922,0.00000000
-4.76338169,2.68581501,0.40767267,0.00000000,1.50565028,1.74965691,0.62971158,0.00000000
-4.75737869,2.71670752,0.41530107,0.00000000,1.52423135,1.77148254,0.63443574,0.00000000
-4.75137569,2.74566818,0.42279785,0.00000000,1.54217260,1.79129046,0.63964849,0.00000000
-4.74537269,2.77242737,0.43008686,0.00000000,1.55930994,1.80888608,0.64533544,0.00000000
-4.73936968,2.79669635,0.43708177,0.00000000,1.57546461,1.82407444,0.65146028,0.00000000
-4.73336668,2.81816946,0.44368739,0.00000000,1.59044413,1.83666162,0.65796433,0.00000000
-4.72736368,2.83652662,0.44980137,0.00000000,1.60404296,1.84645633,0.66476666,0.00000000
-4.72136068,2.85143618,0.45531606,0.00000000,1.61604307,1.85327172,0.67176475,0.00000000
-4.71535768,2.86255831,0.46012072,0.00000000,1.62621457,1.85692747,0.67883555,0.00000000
-4.70935468,2.86954913,0.46410391,0.00000000,1.63431665,1.85725235,0.68583730,0.00000000
