energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
0.80140070,0.65513512,0.27815487,0.00000000,0.49548565,0.26234933,0.32530374,0.00000000
0.80740370,0.69716528,0.29210243,0.00000000,0.54407547,0.27674656,0.34520152,0.00000000
0.81340670,0.74310566,0.30741827,0.00000000,0.59447528,0.29293284,0.36695236,0.00000000
0.81940970,0.79237396,0.32384369,0.00000000,0.64610741,0.31070088,0.39026193,0.00000000
0.82541271,0.84426457,0.34107478,0.00000000,0.69831594,0.32979111,0.41477624,0.00000000
0.83141571,0.89796294,0.35877039,0.00000000,0.75037902,0.34989700,0.44008928,0.00000000
0.83741871,0.95256358,0.37656129,0.00000000,0.80152423,0.37067163,0.46575262,0.00000000
0.84342171,1.00709144,0.39406054,0.00000000,0.85094672,0.39173572,0.49128640,0.00000000
0.84942471,1.06052597,0.41087437,0.00000000,0.89782942,0.41268668,0.51619165,0.00000000
0.85542771,1.11182715,0.42661347,0.00000000,0.94136469,0.43310852,0.53996343,0.00000000
0.86143072,1.15996281,0.44090421,0.00000000,0.98077674,0.45258242,0.56210441,0.00000000
0.86743372,1.20393634,0.45339935,0.00000000,1.01534377,0.47069756,0.58213852,0.00000000
0.87343672,1.24281377,0.46378795,0.00000000,1.04441916,0.48706188,0.59962407,0.00000000
0.87943972,1.27574945,0.47180407,0.00000000,1.06745071,0.50131248,0.61416598,0.00000000
0.88544272,1.30200941,0.47723399,0.00000000,1.08399728,0.51312540,0.62542677,0.00000000
0.89144572,1.32099145,0.47992175,0.00000000,1.09374203,0.52222418,0.63313566,0.00000000
0.89744872,1.33224146,0.47977269,0.00000000,1.09650175,0.52838731,0.63709578,0.00000000
0.90345173,1.33546514,0.47675513,0.00000000,1.09223203,0.53145385,0.63718899,0.00000000
0.90945473,1.33053499,0.47089994,0.00000000,1.08102784,0.53132751,0.63337828,0.00000000
0.91545773,1.31749209,0.46229825,0.00000000,1.06311985,0.52797860,0.62570768,0.00000000
