energy_ev,total_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
5.58579290,2.80851283,3.09938378,1.32200981,0.18234176,0.56218333,0.23052814,0.08513284
5.59179590,2.77341486,3.07012287,1.31062247,0.17300861,0.56019096,0.22204864,0.08401376
5.59779890,2.73700613,3.03526178,1.29770490,0.16386144,0.55754578,0.21434079,0.08292222
5.60380190,2.69955205,2.99493468,1.28335001,0.15498226,0.55424581,0.20741876,0.08185148
5.60980490,2.66136574,2.94938111,1.26768957,0.14644561,0.55031232,0.20128385,0.08079530
5.61580790,2.62281784,2.89895658,1.25089711,0.13831856,0.54579275,0.19592794,0.07974872
5.62181091,2.58434242,2.84413860,1.23318893,0.13066081,0.54076239,0.19133681,0.07870876
5.62781391,2.54643827,2.78552787,1.21482283,0.12352477,0.53532463,0.18749328,0.07767492
5.63381691,2.50966528,2.72384385,1.19609473,0.11695573,0.52960980,0.18437982,0.07664953
5.63981991,2.47463574,2.65991488,1.17733301,0.11099200,0.52377245,0.18198063,0.07563786
5.64582291,2.44200088,2.59466295,1.15889085,0.10566495,0.51798735,0.18028314,0.07464814
5.65182591,2.41243328,2.52908346,1.14113679,0.10099916,0.51244432,0.17927875,0.07369123
5.65782891,2.38660586,2.46422098,1.12444395,0.09701247,0.50734201,0.17896296,0.07278024
5.66383192,2.36516874,2.40114170,1.10917834,0.09371605,0.50288106,0.17933484,0.07193001
5.66983492,2.34872504,2.34090388,1.09568684,0.09111453,0.49925700,0.18039599,0.07115641
5.67583792,2.33780692,2.28452756,1.08428542,0.08920615,0.49665300,0.18214905,0.07047566
5.68184092,2.33285343,2.23296474,1.07524809,0.08798297,0.49523307,0.18459594,0.06990360
5.68784392,2.33419101,2.18707134,1.06879733,0.08743120,0.49513592,0.18773591,0.06945495
5.69384692,2.34201804,2.14758217,1.06509623,0.08753155,0.49646964,0.19156357,0.06914269
5.69984992,2.35639407,2.11508975,1.06424283,0.08825973,0.49930764,0.19606708,0.06897746
5.70585293,2.37723440,2.09002799,1.06626702,0.08958699,0.50368592,0.20122656,0.06896714
5.71185593,2.40431017,2.07266114,1.07112996,0.09148071,0.50960162,0.20701283,0.06911650
5.71785893,2.43725403,2.06307832,1.07872608,0.09390508,0.51701314,0.21338662,0.06942705
5.72386193,2.47557089,2.06119370,1.08888760,0.09682173,0.52584155,0.22029819,0.06989696
5.72986493,2.51865334,2.06675215,1.10139118,0.10019035,0.53597330,0.22768751,0.07052119
5.73586793,2.56580067,2.07933974,1.11596638,0.10396936,0.54726410,0.23548486,0.07129165
5.74187094,2.61624062,2.09839875,1.13230558,0.10811635,0.55954358,0.24361195,0.07219752
5.74787394,2.66915276,2.12324607,1.15007458,0.11258856,0.57262075,0.25198334,0.07322563
5.75387694,2.72369227,2.15309444,1.16892367,0.11734322,0.58628982,0.26050826,0.07436088
5.75987994,2.77901303,2.18707532,1.18849836,0.12233769,0.60033624,0.26909258,0.07558669
5.76588294,2.83428909,2.22426272,1.20844945,0.12752961,0.61454261,0.27764092,0.07688540
5.77188594,2.88873339,2.26369679,1.22844188,0.13287683,0.62869437,0.28605876,0.07823877
5.77788894,2.94161328,2.30440663,1.24816208,0.13833727,0.64258490,0.29425441,0.07962828
5.78389195,2.99226213,2.34543138,1.26732343,0.14386876,0.65602004,0.30214088,0.08103547
5.78989495,3.04008684,2.38583914,1.28566987,0.14942869,0.66882172,0.30963735,0.08244223
5.79589795,3.08457119,2.42474308,1.30297735,0.15497378,0.68083073,0.31667040,0.08383090
5.80190095,3.12527516,2.46131473,1.31905346,0.16045978,0.69190854,0.32317480,0.08518445
5.80790395,3.16183068,2.49479395,1.33373516,0.16584121,0.70193810,0.32909391,0.08648646
5.81390695,3.19393433,2.52449601,1.34688514,0.17107128,0.71082380,0.33437971,0.08772114
