energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.07553777,5.10368887,0.05111409,0.60796707,0.97367467,0.52102272,0.09863201,2.26248782,1.85728834,0.99702264
-5.06953477,5.22928264,0.04898352,0.59963876,0.98316011,0.56869040,0.10357342,2.34037385,1.88449992,0.99604252
-5.06353177,5.36331084,0.04679326,0.59122717,0.99417728,0.61871461,0.10863094,2.42315729,1.91487876,0.99545576
-5.05752876,5.50463696,0.04456232,0.58279802,1.00674766,0.67062921,0.11372200,2.51016476,1.94845998,0.99529790
-5.05152576,5.65183995,0.04230984,0.57440535,1.02084513,0.72391192,0.11875556,2.60057463,1.98523695,0.99555883
-5.04552276,5.80322769,0.04005474,0.56608868,1.03639356,0.77799273,0.12363418,2.69342613,2.02514329,0.99618367
-5.03951976,5.95686534,0.03781524,0.55787097,1.05326709,0.83226483,0.12825654,2.78763621,2.06803808,0.99707593
-5.03351676,6.11061857,0.03560850,0.54975750,1.07129350,0.88609781,0.13252037,2.88202392,2.11369533,0.99810290
-5.02751376,6.26221078,0.03345033,0.54173574,1.09026045,0.93885290,0.13632563,2.97534183,2.16179846,0.99910312
-5.02151076,6.40929215,0.03135488,0.53377639,1.10992463,0.98989951,0.13957787,3.06631337,2.21194055,0.99989555
-5.01550775,6.54951811,0.02933444,0.52583528,1.13002320,1.03863272,0.14219149,3.15367470,2.26363018,1.00029009
-5.00950475,6.68063371,0.02739940,0.51785621,1.15028720,1.08449089,0.14409300,3.23621925,2.31630284,1.00009893
-5.00350175,6.80056004,0.02555815,0.50977457,1.17045616,1.12697271,0.14522388,3.31284305,2.36933732,0.99914812
-4.99749875,6.90747850,0.02381721,0.50152132,1.19029314,1.16565308,0.14554304,3.38258860,2.42207611,0.99728875
-4.99149575,6.99990883,0.02218131,0.49302729,1.20959939,1.20019700,0.14502874,3.44468512,2.47384867,0.99440722
-4.98549275,7.07677670,0.02065361,0.48422746,1.22822771,1.23037096,0.14367989,3.49858318,2.52399633,0.99043389
-4.97948974,7.13746746,0.01923599,0.47506495,1.24609372,1.25605134,0.14151659,3.54398181,2.57189737,0.98534977
-4.97348674,7.18186286,0.01792927,0.46549456,1.26318434,1.27722932,0.13858004,3.58084654,2.61699070,0.97919073
-4.96748374,7.21035870,0.01673354,0.45548556,1.27956267,1.29401219,0.13493163,3.60941733,2.65879697,0.97204912
-4.96148074,7.22386211,0.01564849,0.44502375,1.29536907,1.30662078,0.13065145,3.63020565,2.69693581,0.96407249
-4.95547774,7.22376810,0.01467364,0.43411259,1.31081799,1.31538322,0.12583612,3.64398056,2.73113812,0.95545969
-4.94947474,7.21191599,0.01380865,0.42277343,1.32619052,1.32072511,0.12059616,3.65174419,2.76125290,0.94645430
-4.94347174,7.19052744,0.01305348,0.41104484,1.34182297,1.32315630,0.11505295,3.65469731,2.78724793,0.93733584
-4.93746873,7.16212832,0.01240858,0.39898123,1.35809174,1.32325495,0.10933540,3.65419639,2.80920454,0.92840917
-4.93146573,7.12945753,0.01187498,0.38665074,1.37539511,1.32164900,0.10357654,3.65170362,2.82730646,0.91999253
-4.92546273,7.09536649,0.01145433,0.37413265,1.39413278,1.31899601,0.09791002,3.64873200,2.84182347,0.91240483
-4.91945973,7.06271295,0.01114886,0.36151448,1.41468406,1.31596160,0.09246680,3.64678735,2.85309061,0.90595274
-4.91345673,7.03425363,0.01096127,0.34888891,1.43738561,1.31319745,0.08737191,3.64730977,2.86148412,0.90091820
-4.90745373,7.01253933,0.01089466,0.33635067,1.46250998,1.31131936,0.08274162,3.65161648,2.86739524,0.89754677
-4.90145073,6.99981673,0.01095222,0.32399367,1.49024576,1.31088607,0.07868085,3.66084850,2.87120326,0.89603749
-4.89544772,6.99794036,0.01113709,0.31190822,1.52068049,1.31237945,0.07528098,3.67592287,2.87324928,0.89653435
-4.88944472,7.00829779,0.01145200,0.30017877,1.55378713,1.31618685,0.07261806,3.69749251,2.87381191,0.89911995
-4.88344172,7.03175075,0.01189903,0.28888192,1.58941476,1.32258600,0.07075142,3.72591487,2.87308622,0.90381132
-4.87743872,7.06859420,0.01247928,0.27808490,1.62728417,1.33173310,0.06972265,3.76123086,2.87116704,0.91055809
