energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-4.73336668,1.03473233,0.00291195,0.00000000,0.00159244,0.12037417,0.59404550,0.51693130,0.00057545,0.37835810
-4.72736368,1.11087769,0.00311363,0.00000000,0.00139413,0.12841903,0.65898008,0.55063376,0.00055954,0.41058577
-4.72136068,1.19456989,0.00335755,0.00000000,0.00123421,0.13794172,0.73014673,0.58585937,0.00055407,0.44667463
-4.71535768,1.28508508,0.00364241,0.00000000,0.00111011,0.14889886,0.80738792,0.62206026,0.00055837,0.48647688
-4.70935468,1.38159092,0.00396633,0.00000000,0.00101936,0.16122804,0.89046197,0.65865470,0.00057170,0.52979727
-4.70335168,1.48316460,0.00432687,0.00000000,0.00095971,0.17484880,0.97904269,0.69504227,0.00059324,0.57639575
-4.69734867,1.58881316,0.00472107,0.00000000,0.00092921,0.18966408,1.07272099,0.73061985,0.00062212,0.62599089
-4.69134567,1.69749573,0.00514547,0.00000000,0.00092632,0.20556203,1.17100847,0.76479805,0.00065742,0.67826429
-4.68534267,1.80814717,0.00559623,0.00000000,0.00094993,0.22241823,1.27334314,0.79701746,0.00069823,0.73286568
-4.67933967,1.91970252,0.00606917,0.00000000,0.00099944,0.24009828,1.37909732,0.82676405,0.00074363,0.78941897
-4.67333667,2.03112155,0.00655992,0.00000000,0.00107479,0.25846074,1.48758760,0.85358338,0.00079274,0.84752890
-4.66733367,2.14141275,0.00706397,0.00000000,0.00117652,0.27736029,1.59808670,0.87709282,0.00084470,0.90678834
-4.66133067,2.24965598,0.00757687,0.00000000,0.00130574,0.29665114,1.70983691,0.89699162,0.00089875,0.96678609
