energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-4.84142071,1.00790058,0.13536771,0.00000000,0.30189565,0.40328052,0.27433180,0.00000000
-4.83541771,1.02132336,0.13370730,0.00000000,0.30432240,0.40842171,0.28296295,0.00000000
-4.82941471,1.04182946,0.13312227,0.00000000,0.31029767,0.41716585,0.29294165,0.00000000
-4.82341171,1.06928890,0.13359586,0.00000000,0.31980020,0.42950889,0.30420595,0.00000000
-4.81740870,1.10349483,0.13509838,0.00000000,0.33275630,0.44540805,0.31668081,0.00000000
-4.81140570,1.14416321,0.13758819,0.00000000,0.34903895,0.46478095,0.33027697,0.00000000
-4.80540270,1.19093112,0.14101258,0.00000000,0.36846708,0.48750433,0.34488930,0.00000000
-4.79939970,1.24335411,0.14530850,0.00000000,0.39080536,0.51341258,0.36039498,0.00000000
-4.79339670,1.30090346,0.15040312,0.00000000,0.41576464,0.54229628,0.37665164,0.00000000
-4.78739370,1.36296382,0.15621439,0.00000000,0.44300335,0.57390108,0.39349572,0.00000000
-4.78139070,1.42883236,0.16265155,0.00000000,0.47213014,0.60792734,0.41074146,0.00000000
-4.77538769,1.49772018,0.16961580,0.00000000,0.50270805,0.64403083,0.42818064,0.00000000
-4.76938469,1.56875677,0.17700110,0.00000000,0.53426021,0.68182477,0.44558351,0.00000000
-4.76338169,1.64099825,0.18469514,0.00000000,0.56627741,0.72088355,0.46270092,0.00000000
-4.75737869,1.71343969,0.19258074,0.00000000,0.59822731,0.76074818,0.47926786,0.00000000
-4.75137569,1.78503166,0.20053741,0.00000000,0.62956524,0.80093363,0.49500853,0.00000000
-4.74537269,1.85470084,0.20844329,0.00000000,0.65974635,0.84093785,0.50964260,0.00000000
-4.73936968,1.92137427,0.21617730,0.00000000,0.68823869,0.88025236,0.52289281,0.00000000
-4.73336668,1.98400627,0.22362153,0.00000000,0.71453681,0.91837407,0.53449336,0.00000000
-4.72736368,2.04160718,0.23066373,0.00000000,0.73817527,0.95481786,0.54419890,0.00000000
-4.72136068,2.09327258,0.23719973,0.00000000,0.75874160,0.98912956,0.55179371,0.00000000
-4.71535768,2.13821183,0.24313592,0.00000000,0.77588800,1.02089871,0.55710043,0.00000000
-4.70935468,2.17577449,0.24839133,0.00000000,0.78934142,1.04977063,0.55998825,0.00000000
-4.70335168,2.20547341,0.25289959,0.00000000,0.79891140,1.07545741,0.56037974,0.00000000
-4.69734867,2.22700358,0.25661034,0.00000000,0.80449534,1.09774718,0.55825623,0.00000000
-4.69134567,2.24025564,0.25949030,0.00000000,0.80608117,1.11651164,0.55366132,0.00000000
-4.68534267,2.24532378,0.26152386,0.00000000,0.80374693,1.13171136,0.54670236,0.00000000
-4.67933967,2.24250746,0.26271312,0.00000000,0.79765779,1.14339885,0.53754974,0.00000000
-4.67333667,2.23230724,0.26307759,0.00000000,0.78806026,1.15171933,0.52643409,0.00000000
-4.66733367,2.21541479,0.26265336,0.00000000,0.77527420,1.15690923,0.51364144,0.00000000
-4.66133067,2.19269766,0.26149204,0.00000000,0.75968283,1.15929263,0.49950648,0.00000000
-4.65532766,2.16517952,0.25965928,0.00000000,0.74172136,1.15927559,0.48440429,0.00000000
-4.64932466,2.13401647,0.25723319,0.00000000,0.72186457,1.15733872,0.46874087,0.00000000
-4.64332166,2.10047042,0.25430257,0.00000000,0.70061388,1.15402811,0.45294265,0.00000000
-4.63731866,2.06588019,0.25096498,0.00000000,0.67848449,1.14994472,0.43744562,0.00000000
-4.63131566,2.03163098,0.24732482,0.00000000,0.65599271,1.14573234,0.42268408,0.00000000
-4.62531266,1.99912311,0.24349134,0.00000000,0.63364411,1.14206436,0.40907975,0.00000000
-4.61930965,1.96974029,0.23957657,0.00000000,0.61192248,1.13962929,0.39703111,0.00000000
-4.61330665,1.94481804,0.23569329,0.00000000,0.59127999,1.13911526,0.38690358,0.00000000
-4.60730365,1.92561269,0.23195287,0.00000000,0.57212841,1.14119354,0.37902046,0.00000000
-4.60130065,1.91327126,0.22846313,0.00000000,0.55483172,1.14650136,0.37365503,0.00000000
-4.59529765,1.90880273,0.22532607,0.00000000,0.53969983,1.15562426,0.37102377,0.00000000
-4.58929465,1.91305114,0.22263564,0.00000000,0.52698359,1.16907831,0.37128089,0.00000000
-4.58329165,1.92667103,0.22047543,0.00000000,0.51687100,1.18729279,0.37451424,0.00000000
-4.57728864,1.95010595,0.21891644,0.00000000,0.50948459,1.21059367,0.38074262,0.00000000
-4.57128564,1.98357076,0.21801495,0.00000000,0.50488008,1.23918889,0.38991469,0.00000000
-4.56528264,2.02703845,0.21781061,0.00000000,0.50304624,1.27315576,0.40190930,0.00000000
-4.55927964,2.08023253,0.21832483,0.00000000,0.50390609,1.31243161,0.41653752,0.00000000
-4.55327664,2.14262557,0.21955965,0.00000000,0.50731956,1.35680815,0.43354621,0.00000000
-4.54727364,2.21344484,0.22149702,0.00000000,0.51308756,1.40593032,0.45262320,0.00000000
-4.54127064,2.29168549,0.22409888,0.00000000,0.52095765,1.45930013,0.47340408,0.00000000
-4.53526763,2.37613157,0.22730788,0.00000000,0.53063122,1.51628588,0.49548039,0.00000000
-4.52926463,2.46538513,0.23104885,0.00000000,0.54177229,1.57613684,0.51840926,0.00000000
-4.52326163,2.55790276,0.23523111,0.00000000,0.55401763,1.63800338,0.54172412,0.00000000
-4.51725863,2.65203916,0.23975154,0.00000000,0.56698827,1.70096207,0.56494642,0.00000000
-4.51125563,2.74609653,0.24449829,0.00000000,0.58030185,1.76404523,0.58759798,0.00000000
-4.50525263,2.83837827,0.24935510,0.00000000,0.59358567,1.82627388,0.60921354,0.00000000
-4.49924962,2.92724543,0.25420607,0.00000000,0.60648990,1.88669318,0.62935339,0.00000000
-4.49324662,3.01117364,0.25894058,0.00000000,0.61870051,1.94440881,0.64761538,0.00000000
-4.48724362,3.08880860,0.26345830,0.00000000,0.62995135,1.99862304,0.66364608,0.00000000
-4.48124062,3.15901771,0.26767398,0.00000000,0.64003488,2.04866897,0.67715068,0.00000000
-4.47523762,3.22093572,0.27152180,0.00000000,0.64881098,2.09404143,0.68790117,0.00000000
-4.46923462,3.27400240,0.27495908,0.00000000,0.65621350,2.13442312,0.69574262,0.00000000
-4.46323162,3.31799046,0.27796916,0.00000000,0.66225399,2.16970489,0.70059717,0.00000000
-4.45722861,3.35302223,0.28056328,0.00000000,0.66702247,2.19999902,0.70246561,0.00000000
-4.45122561,3.37957428,0.28278136,0.00000000,0.67068502,2.22564476,0.70142655,0.00000000
-4.44522261,3.39846936,0.28469161,0.00000000,0.67347819,2.24720575,0.69763302,0.00000000
-4.43921961,3.41085573,0.28638893,0.00000000,0.67570039,2.26545924,0.69130669,0.00000000
-4.43321661,3.41817457,0.28799219,0.00000000,0.67770050,2.28137713,0.68273000,0.00000000
-4.42721361,3.42211632,0.28964050,0.00000000,0.67986409,2.29609978,0.67223625,0.00000000
-4.42121061,3.42456773,0.29148845,0.00000000,0.68259792,2.31090309,0.66019825,0.00000000
-4.41520760,3.42755142,0.29370078,0.00000000,0.68631312,2.32716032,0.64701577,0.00000000
-4.40920460,3.43316037,0.29644642,0.00000000,0.69140802,2.34629996,0.63310237,0.00000000
-4.40320160,3.44348966,0.29989235,0.00000000,0.69825106,2.36976112,0.61887199,0.00000000
-4.39719860,3.46056824,0.30419741,0.00000000,0.70716476,2.39894837,0.60472589,0.00000000
-4.39119560,3.48629332,0.30950634,0.00000000,0.71841129,2.43518754,0.59104038,0.00000000
-4.38519260,3.52236984,0.31594433,0.00000000,0.73218037,2.47968420,0.57815572,0.00000000
-4.37918959,3.57025726,0.32361226,0.00000000,0.74857984,2.53348651,0.56636673,0.00000000
-4.37318659,3.63112573,0.33258277,0.00000000,0.76762961,2.59745352,0.55591530,0.00000000
-4.36718359,3.70582302,0.34289748,0.00000000,0.78925883,2.67223026,0.54698509,0.00000000
-4.36118059,3.79485327,0.35456521,0.00000000,0.81330686,2.75823031,0.53969855,0.00000000
-4.35517759,3.89836804,0.36756142,0.00000000,0.83952753,2.85562620,0.53411637,0.00000000
-4.34917459,4.01616958,0.38182888,0.00000000,0.86759682,2.96434783,0.53023918,0.00000000
-4.34317159,4.14772556,0.39727933,0.00000000,0.89712337,3.08408853,0.52801147,0.00000000
-4.33716858,4.29219426,0.41379624,0.00000000,0.92766151,3.21431806,0.52732735,0.00000000
-4.33116558,4.44845847,0.43123839,0.00000000,0.95872610,3.35430171,0.52803798,0.00000000
-4.32516258,4.61516614,0.44944406,0.00000000,0.98980857,3.50312411,0.52996007,0.00000000
