energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
2.10405203,10.11151241,0.00442699,0.90359860,0.02919315,0.77055101,0.40124354,9.37617218
2.11005503,10.24133653,0.00433111,0.90155975,0.02865478,0.77692828,0.40523332,9.51790801
2.11605803,10.37758210,0.00423127,0.89757054,0.02811897,0.78254103,0.40853621,9.66909356
2.12206103,10.52146347,0.00413080,0.89181500,0.02760739,0.78753821,0.41121051,9.83064856
2.12806403,10.67392067,0.00403306,0.88451855,0.02714163,0.79207897,0.41333133,10.00315245
2.13406703,10.83559463,0.00394137,0.87594648,0.02674279,0.79633146,0.41499153,10.18682245
2.14007004,11.00681571,0.00385905,0.86640148,0.02643108,0.80047188,0.41630210,10.38150646
2.14607304,11.18760427,0.00378927,0.85622000,0.02622551,0.80468343,0.41739207,10.58668981
2.15207604,11.37768158,0.00373507,0.84576706,0.02614350,0.80915501,0.41840761,10.80151457
2.15807904,11.57648863,0.00369930,0.83542956,0.02620054,0.81407925,0.41951019,11.02480887
2.16408204,11.78321009,0.00368457,0.82560791,0.02640981,0.81964980,0.42087354,11.25512376
2.17008504,11.99680062,0.00369319,0.81670600,0.02678183,0.82605768,0.42267967,11.49077450
2.17608804,12.21601073,0.00372712,0.80911981,0.02732410,0.83348649,0.42511351,11.72988329
2.18209105,12.43940985,0.00378792,0.80322477,0.02804072,0.84210663,0.42835675,11.97042065
2.18809405,12.66540483,0.00387669,0.79936246,0.02893208,0.85206850,0.43258071,12.21024296
2.19409705,12.89225261,0.00399401,0.79782707,0.02999451,0.86349503,0.43793866,12.44712437
2.20010005,13.11806697,0.00413987,0.79885224,0.03122008,0.87647379,0.44455804,12.67878191
2.20610305,13.34081977,0.00431366,0.80259896,0.03259641,0.89104903,0.45253266,12.90289349
2.21210605,13.55833807,0.00451407,0.80914517,0.03410659,0.90721428,0.46191574,13.11710924
2.21810905,13.76829925,0.00473913,0.81847772,0.03572928,0.92490592,0.47271378,13.31905749
2.22411206,13.96822670,0.00498618,0.83048721,0.03743884,0.94399815,0.48488198,13.50634732
2.23011506,14.15548906,0.00525184,0.84496614,0.03920574,0.96430002,0.49832146,13.67656994
2.23611806,14.32730598,0.00553212,0.86161081,0.04099704,0.98555476,0.51287846,13.82730177
2.24212106,14.48076318,0.00582241,0.88002691,0.04277704,1.00744183,0.52834584,13.95611174
2.24812406,14.61283923,0.00611759,0.89973882,0.04450814,1.02958167,0.54446689,14.06057538
2.25412706,14.72044542,0.00641214,0.92020243,0.04615172,1.05154341,0.56094133,14.13829762
2.26013007,14.80047959,0.00670025,0.94082095,0.04766921,1.07285519,0.57743341,14.18694554
2.26613307,14.84989323,0.00697595,0.96096317,0.04902316,1.09301686,0.59358171,14.20429159
2.27213607,14.86577056,0.00723331,0.97998341,0.05017838,1.11151461,0.60901036,14.18826647
2.27813907,14.84541657,0.00746656,0.99724232,0.05110298,1.12783690,0.62334107,14.13702041
2.28414207,14.78645070,0.00767024,1.01212772,0.05176942,1.14149104,0.63620555,14.04898994
2.29014507,14.68690136,0.00783942,1.02407444,0.05215541,1.15201970,0.64725766,13.92296719
2.29614807,14.54529672,0.00796979,1.03258250,0.05224458,1.15901650,0.65618482,13.75816756
2.30215108,14.36074621,0.00805779,1.03723273,0.05202708,1.16214009,0.66271817,13.55429166
2.30815408,14.13300822,0.00810075,1.03769926,0.05149987,1.16112587,0.66664095,13.31157728
2.31415708,13.86253919,0.00809696,1.03375847,0.05066682,1.15579512,0.66779493,13.03083750
2.32016008,13.55052082,0.00804566,1.02529395,0.04953852,1.14606074,0.66608447,12.71348157
2.32616308,13.19886276,0.00794715,1.01229757,0.04813195,1.13192974,0.66147820,12.36151635
2.33216608,12.81017977,0.00780269,0.99486668,0.04646982,1.11350222,0.65400832,11.97752672
2.33816908,12.38774355,0.00761448,0.97319763,0.04457982,1.09096697,0.64376766,11.56463515
2.34417209,11.93541093,0.00738558,0.94757623,0.04249373,1.06459413,0.63090468,11.12644114
2.35017509,11.45753140,0.00711982,0.91836557,0.04024630,1.03472512,0.61561676,10.66694319
2.35617809,10.95883792,0.00682161,0.88599184,0.03787425,1.00176057,0.59814222,10.19044611
2.36218109,10.44432603,0.00649589,0.85092901,0.03541508,0.96614680,0.57875141,9.70145810
2.36818409,9.91912646,0.00614790,0.81368284,0.03290609,0.92836147,0.55773735,9.20458177
2.37418709,9.38837684,0.00578305,0.77477509,0.03038330,0.88889909,0.53540634,8.70440406
2.38019010,8.85709779,0.00540679,0.73472842,0.02788062,0.84825697,0.51206893,8.20538962
2.38619310,8.33007826,0.00502444,0.69405260,0.02542905,0.80692213,0.48803152,7.71178186
2.39219610,7.81177410,0.00464106,0.65323231,0.02305613,0.76535969,0.46358903,7.22751534
2.39819910,7.30622308,0.00426136,0.61271692,0.02078544,0.72400290,0.43901852,6.75614235
2.40420210,6.81697851,0.00388960,0.57291245,0.01863640,0.68324516,0.41457424,6.30077557
2.41020510,6.34706228,0.00352950,0.53417563,0.01662411,0.64343406,0.39048382,5.86404786
2.41620810,5.89893757,0.00318423,0.49681013,0.01475939,0.60486741,0.36694580,5.44808919
