energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-1.26963482,1.20234762,0.00084184,0.01308762,0.73625123,0.18784635,0.00416995,0.09928723,0.17628787,0.70750589
-1.26363182,1.27252616,0.00090213,0.01432809,0.75667890,0.19715564,0.00433422,0.10570148,0.18801917,0.75464377
-1.25762881,1.34241524,0.00096114,0.01563439,0.77567254,0.20631765,0.00450725,0.11219691,0.19965994,0.80182953
-1.25162581,1.41126921,0.00101800,0.01699445,0.79303433,0.21522743,0.00468875,0.11870753,0.21106688,0.84856749
-1.24562281,1.47832192,0.00107184,0.01839527,0.80855553,0.22377845,0.00487818,0.12516348,0.22209290,0.89435128
-1.23961981,1.54279929,0.00112180,0.01982294,0.82202078,0.23186452,0.00507469,0.13149208,0.23259034,0.93867184
-1.23361681,1.60393311,0.00116703,0.02126277,0.83321398,0.23938205,0.00527711,0.13761900,0.24241441,0.98102584
-1.22761381,1.66097541,0.00120677,0.02269942,0.84192505,0.24623237,0.00548392,0.14346966,0.25142667,1.02092412
-1.22161081,1.71321299,0.00124032,0.02411704,0.84795753,0.25232416,0.00569323,0.14897057,0.25949847,1.05789989
-1.21560780,1.75998161,0.00126709,0.02549948,0.85113646,0.25757575,0.00590280,0.15405087,0.26651411,1.09151664
-1.20960480,1.80067943,0.00128662,0.02683045,0.85131595,0.26191739,0.00611005,0.15864374,0.27237381,1.12137535
-1.20360180,1.83477922,0.00129858,0.02809381,0.84838632,0.26529322,0.00631214,0.16268781,0.27699614,1.14712103
-1.19759880,1.86183905,0.00130277,0.02927379,0.84228004,0.26766301,0.00650595,0.16612848,0.28031993,1.16844842
-1.19159580,1.88151127,0.00129915,0.03035526,0.83297642,0.26900349,0.00668822,0.16891912,0.28230569,1.18510684
-1.18559280,1.89354955,0.00128785,0.03132403,0.82050462,0.26930938,0.00685562,0.17102210,0.28293629,1.19690411
-1.17958979,1.89781397,0.00126911,0.03216715,0.80494488,0.26859391,0.00700479,0.17240961,0.28221714,1.20370965
-1.17358679,1.89427412,0.00124331,0.03287322,0.78642796,0.26688902,0.00713252,0.17306443,0.28017572,1.20545675
-1.16758379,1.88301026,0.00121097,0.03343264,0.76513280,0.26424503,0.00723578,0.17298030,0.27686062,1.20214397
-1.16158079,1.86421257,0.00117270,0.03383797,0.74128257,0.26073005,0.00731187,0.17216226,0.27234001,1.19383583
-1.15557779,1.83817857,0.00112917,0.03408409,0.71513931,0.25642881,0.00735850,0.17062668,0.26669981,1.18066262
-1.14957479,1.80530878,0.00108114,0.03416851,0.68699755,0.25144131,0.00737389,0.16840106,0.26004151,1.16281941
-1.14357179,1.76610064,0.00102939,0.03409143,0.65717705,0.24588099,0.00735681,0.16552370,0.25247969,1.14056411
-1.13756878,1.72114070,0.00097473,0.03385593,0.62601512,0.23987265,0.00730669,0.16204303,0.24413944,1.11421457
-1.13156578,1.67109518,0.00091796,0.03346791,0.59385883,0.23355002,0.00722364,0.15801677,0.23515364,1.08414457
-1.12556278,1.61669879,0.00085985,0.03293609,0.56105729,0.22705308,0.00710844,0.15351087,0.22566024,1.05077868
-1.11955978,1.55874198,0.00080115,0.03227180,0.52795439,0.22052516,0.00696258,0.14859823,0.21579951,1.01458587
-1.11355678,1.49805671,0.00074253,0.03148880,0.49488209,0.21410978,0.00678817,0.14335716,0.20571137,0.97607189
-1.10755378,1.43550084,0.00068463,0.03060288,0.46215449,0.20794741,0.00658793,0.13786976,0.19553281,0.93577052
-1.10155078,1.37194142,0.00062800,0.02963151,0.43006268,0.20217208,0.00636510,0.13222004,0.18539545,0.89423370
-1.09554777,1.30823738,0.00057312,0.02859333,0.39887057,0.19690802,0.00612333,0.12649205,0.17542323,0.85202094
-1.08954477,1.24522180,0.00052039,0.02750765,0.36881160,0.19226640,0.00586656,0.12076787,0.16573035,0.80968803
-1.08354177,1.18368453,0.00047015,0.02639387,0.34008637,0.18834230,0.00559890,0.11512565,0.15641935,0.76777571
-1.07753877,1.12435567,0.00042265,0.02527096,0.31286119,0.18521190,0.00532454,0.10963778,0.14757961,0.72679841
-1.07153577,1.06789050,0.00037808,0.02415686,0.28726748,0.18293032,0.00504755,0.10436916,0.13928601,0.68723376
-1.06553277,1.01485658,0.00033656,0.02306808,0.26340194,0.18152986,0.00477181,0.09937569,0.13159802,0.64951308
-1.05952976,0.96572358,0.00029817,0.02201917,0.24132753,0.18101910,0.00450087,0.09470317,0.12455921,0.61401343
-1.05352676,0.92085628,0.00026292,0.02102248,0.22107513,0.18138268,0.00423790,0.09038641,0.11819708,0.58105148
-1.04752376,0.88051124,0.00023079,0.02008784,0.20264585,0.18258205,0.00398555,0.08644888,0.11252343,0.55087951
-1.04152076,0.84483722,0.00020174,0.01922250,0.18601394,0.18455709,0.00374594,0.08290272,0.10753509,0.52368370
-1.03551776,0.81387948,0.00017568,0.01843112,0.17113016,0.18722861,0.00352064,0.07974921,0.10321511,0.49958470
-1.02951476,0.78758777,0.00015253,0.01771588,0.15792571,0.19050175,0.00331064,0.07697969,0.09953438,0.47864051
-1.02351176,0.76582756,0.00013219,0.01707673,0.14631636,0.19427005,0.00311639,0.07457685,0.09645350,0.46085131
-1.01750875,0.74839414,0.00011455,0.01651172,0.13620693,0.19842018,0.00293782,0.07251637,0.09392502,0.44616612
-1.01150575,0.73502871,0.00009953,0.01601745,0.12749589,0.20283702,0.00277445,0.07076886,0.09189583,0.43449060
-1.00550275,0.72543573,0.00008705,0.01558949,0.12007991,0.20740896,0.00262540,0.06930193,0.09030965,0.42569587
-0.99949975,0.71930066,0.00007708,0.01522299,0.11385831,0.21203310,0.00248952,0.06808241,0.08910950,0.41962745
-0.99349675,0.71630711,0.00006959,0.01491314,0.10873729,0.21662017,0.00236546,0.06707848,0.08824007,0.41611417
-0.98749375,0.71615258,0.00006460,0.01465570,0.10463362,0.22109889,0.00225178,0.06626170,0.08764988,0.41497622
-0.98149075,0.71856204,0.00006221,0.01444750,0.10147790,0.22541950,0.00214702,0.06560889,0.08729310,0.41603230
