energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-4.81140570,1.30401002,0.00000324,0.28838066,0.23867297,0.30644187,0.00020966,0.51514855,0.57629679,0.30242245
-4.80540270,1.27271867,0.00000340,0.26577109,0.23765269,0.31349842,0.00020452,0.52537890,0.54869797,0.28409975
-4.79939970,1.24441522,0.00000368,0.24530326,0.23632617,0.31933758,0.00020395,0.53384026,0.52348965,0.26836835
-4.79339670,1.21885120,0.00000408,0.22684220,0.23467191,0.32383051,0.00020824,0.54032500,0.50040490,0.25534969
-4.78739370,1.19582918,0.00000462,0.21024658,0.23268436,0.32688588,0.00021768,0.54468567,0.47919567,0.24514860
-4.78139070,1.17521934,0.00000531,0.19537479,0.23037644,0.32845397,0.00023256,0.54684297,0.45964278,0.23785416
-4.77538769,1.15697138,0.00000615,0.18209017,0.22778151,0.32852935,0.00025317,0.54679154,0.44156349,0.23353996
-4.76938469,1.14112125,0.00000715,0.17026508,0.22495431,0.32715207,0.00027980,0.54460334,0.42481651,0.23226348
-4.76338169,1.12779197,0.00000832,0.15978382,0.22197109,0.32440734,0.00031268,0.54042825,0.40930436,0.23406459
-4.75737869,1.11718866,0.00000967,0.15054432,0.21892867,0.32042340,0.00035202,0.53449181,0.39497311,0.23896307
-4.75137569,1.10958776,0.00001120,0.14245878,0.21594240,0.31536793,0.00039793,0.52709011,0.38180977,0.24695518
-4.74537269,1.10532086,0.00001291,0.13545326,0.21314319,0.30944285,0.00045047,0.51858194,0.36983752,0.25800951
-4.73936968,1.10475402,0.00001481,0.12946638,0.21067354,0.30287784,0.00050958,0.50937831,0.35910905,0.27206223
-4.73336668,1.10826340,0.00001689,0.12444730,0.20868279,0.29592273,0.00057507,0.49992983,0.34969864,0.28901210
-4.72736368,1.11620849,0.00001914,0.12035319,0.20732170,0.28883916,0.00064663,0.49071227,0.34169315,0.30871556
-4.72136068,1.12890424,0.00002155,0.11714634,0.20673664,0.28189162,0.00072380,0.48221079,0.33518259,0.33098227
-4.71535768,1.14659357,0.00002410,0.11479121,0.20706347,0.27533847,0.00080594,0.47490345,0.33025073,0.35557164
-4.70935468,1.16942161,0.00002678,0.11325142,0.20842161,0.26942306,0.00089228,0.46924461,0.32696603,0.38219055
-4.70335168,1.19741309,0.00002954,0.11248711,0.21090828,0.26436549,0.00098186,0.46564870,0.32537358,0.41049289
-4.69734867,1.23045423,0.00003237,0.11245261,0.21459333,0.26035509,0.00107357,0.46447508,0.32548821,0.44008096
