energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-4.80540270,5.63699199,0.07092433,0.90050886,3.46811222,1.97788100,0.14965290,2.91738902,0.26200761,0.12803830
-4.79939970,5.56207223,0.06773395,0.88730525,3.43704356,1.95244274,0.14340688,2.89426489,0.25761870,0.12591508
-4.79339670,5.47679420,0.06460063,0.87142870,3.39915918,1.92226148,0.13713839,2.86618704,0.25303167,0.12360629
-4.78739370,5.38217437,0.06155867,0.85304770,3.35495240,1.88774894,0.13091123,2.83354609,0.24829300,0.12112679
-4.78139070,5.27930049,0.05863723,0.83236871,3.30496255,1.84938445,0.12478264,2.79676660,0.24344344,0.11849084
-4.77538769,5.16931886,0.05586024,0.80963186,3.24977158,1.80770541,0.11880283,2.75630420,0.23851809,0.11571226
-4.76938469,5.05342334,0.05324653,0.78510595,3.19000191,1.76329691,0.11301470,2.71264395,0.23354674,0.11280471
-4.76338169,4.93284595,0.05081016,0.75908307,3.12631533,1.71678090,0.10745390,2.66629943,0.22855457,0.10978204
-4.75737869,4.80884890,0.04856090,0.73187283,3.05941238,1.66880505,0.10214912,2.61781243,0.22356304,0.10665873
-4.75137569,4.68271745,0.04650476,0.70379656,2.99003192,1.62003185,0.09712254,2.56775265,0.21859088,0.10345026
-4.74537269,4.55575335,0.04464470,0.67518145,2.91895025,1.57112792,0.09239043,2.51671717,0.21365512,0.10017354
-4.73936968,4.42926832,0.04298128,0.64635499,2.84697931,1.52275398,0.08796396,2.46532930,0.20877203,0.09684716
-4.73336668,4.30457708,0.04151332,0.61763958,2.77496364,1.47555552,0.08384992,2.41423638,0.20395796,0.09349166
-4.72736368,4.18298974,0.04023857,0.58934772,2.70377564,1.43015433,0.08005156,2.36410635,0.19922997,0.09012959
-4.72136068,4.06580303,0.03915423,0.56177751,2.63430904,1.38714105,0.07656944,2.31562292,0.19460627,0.08678546
-4.71535768,3.95429027,0.03825740,0.53520887,2.56747037,1.34706860,0.07340208,2.26947919,0.19010637,0.08348559
-4.70935468,3.84969009,0.03754541,0.50990022,2.50416850,1.31044663,0.07054671,2.22636976,0.18575106,0.08025778
-4.70335168,3.75319378,0.03701604,0.48608581,2.44530256,1.27773690,0.06799978,2.18698158,0.18156219,0.07713090
-4.69734867,3.66593154,0.03666755,0.46397357,2.39174824,1.24934941,0.06575737,2.15198352,0.17756225,0.07413436
-4.69134567,3.58895787,0.03649867,0.44374358,2.34434318,1.22563937,0.06381553,2.12201530,0.17377387,0.07129751
-4.68534267,3.52323636,0.03650841,0.42554692,2.30387164,1.20690472,0.06217041,2.09767578,0.17021922,0.06864899
-4.67933967,3.46962447,0.03669579,0.40950509,2.27104911,1.19338423,0.06081831,2.07951135,0.16691944,0.06621612
-4.67333667,3.42885845,0.03705949,0.39570971,2.24650730,1.18525601,0.05975556,2.06800456,0.16389412,0.06402418
-4.66733367,3.40153917,0.03759751,0.38422263,2.23077999,1.18263642,0.05897834,2.06356355,0.16116078,0.06209589
