energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
3.65882941,3.93416691,1.31435821,0.00000000,4.93034530,0.02080758,0.18399311,0.85628056
3.66483242,4.03110136,1.31823567,0.00000000,5.06670594,0.02140363,0.18862231,0.87609553
3.67083542,4.11282265,1.31553582,0.00000000,5.18058019,0.02192294,0.19257922,0.89411731
3.67683842,4.17789107,1.30624327,0.00000000,5.26978833,0.02235747,0.19579267,0.90992271
3.68284142,4.22522814,1.29051641,0.00000000,5.33265524,0.02270081,0.19820640,0.92314637
3.68884442,4.25414797,1.26867954,0.00000000,5.36805836,0.02294845,0.19978077,0.93349381
3.69484742,4.26437581,1.24120953,0.00000000,5.37545773,0.02309783,0.20049388,0.94075191
3.70085043,4.25605366,1.20871803,0.00000000,5.35490725,0.02314846,0.20034225,0.94479657
3.70685343,4.22973288,1.17193002,0.00000000,5.30704694,0.02310188,0.19934086,0.94559746
3.71285643,4.18635470,1.13165977,0.00000000,5.23307714,0.02296160,0.19752276,0.94321962
3.71885943,4.12721976,1.08878528,0.00000000,5.13471607,0.02273302,0.19493805,0.93782219
3.72486243,4.05394795,1.04422233,0.00000000,5.01414275,0.02242322,0.19165262,0.92965413
3.73086543,3.96843070,0.99889891,0.00000000,4.87392803,0.02204078,0.18774634,0.91904749
3.73686843,3.87277720,0.95373110,0.00000000,4.71695665,0.02159552,0.18331107,0.90640822
3.74287144,3.76925682,0.90960100,0.00000000,4.54634345,0.02109825,0.17844840,0.89220509
3.74887444,3.66023954,0.86733716,0.00000000,4.36534699,0.02056047,0.17326722,0.87695689
3.75487744,3.54813619,0.82769801,0.00000000,4.17728356,0.01999409,0.16788123,0.86121846
3.76088044,3.43534010,0.79135837,0.00000000,3.98544454,0.01941112,0.16240642,0.84556574
3.76688344,3.32417165,0.75889911,0.00000000,3.79301938,0.01882341,0.15695852,0.83058035
3.77288644,3.21682682,0.73079985,0.00000000,3.60302635,0.01824237,0.15165060,0.81683393
3.77888944,3.11533063,0.70743454,0.00000000,3.41825251,0.01767872,0.14659076,0.80487257
3.78489245,3.02149624,0.68906969,0.00000000,3.24120402,0.01714228,0.14187990,0.79520168
3.79089545,2.93689025,0.67586493,0.00000000,3.07406724,0.01664175,0.13760978,0.78827165
3.79689845,2.86280451,0.66787570,0.00000000,2.91868094,0.01618459,0.13386117,0.78446445
3.80290145,2.80023466,0.66505781,0.00000000,2.77651926,0.01577683,0.13070233,0.78408166
3.80890445,2.74986578,0.66727363,0.00000000,2.64868495,0.01542303,0.12818769,0.78733422
3.81490745,2.71206509,0.67429985,0.00000000,2.53591230,0.01512619,0.12635685,0.79433408
3.82091046,2.68688195,0.68583659,0.00000000,2.43857865,0.01488774,0.12523382,0.80508835
3.82691346,2.67405513,0.70151780,0.00000000,2.35672378,0.01470756,0.12482674,0.81949600
3.83291646,2.67302739,0.72092296,0.00000000,2.29007595,0.01458403,0.12512781,0.83734762
3.83891946,2.68296727,0.74358979,0.00000000,2.23808377,0.01451409,0.12611366,0.85832818
3.84492246,2.70279787,0.76902809,0.00000000,2.19995268,0.01449345,0.12774611,0.88202328
3.85092546,2.73123207,0.79673425,0.00000000,2.17468508,0.01451666,0.12997332,0.90792858
3.85692846,2.76681371,0.82620640,0.00000000,2.16112311,0.01457736,0.13273122,0.93546248
3.86293147,2.80796365,0.85695969,0.00000000,2.15799281,0.01466846,0.13594536,0.96398177
3.86893447,2.85302953,0.88854129,0.00000000,2.16394875,0.01478241,0.13953299,0.99279986
3.87493747,2.90033780,0.92054458,0.00000000,2.17761777,0.01491142,0.14340538,1.02120690
3.88094047,2.94824633,0.95262198,0.00000000,2.19764078,0.01504774,0.14747023,1.04849130
3.88694347,2.99519555,0.98449570,0.00000000,2.22271135,0.01518385,0.15163423,1.07396171
3.89294647,3.03975633,1.01596587,0.00000000,2.25160992,0.01531279,0.15580547,1.09696861
3.89894947,3.08067252,1.04691535,0.00000000,2.28323268,0.01542827,0.15989580,1.11692466
3.90495248,3.11689632,1.07731092,0.00000000,2.31661398,0.01552492,0.16382291,1.13332294
3.91095548,3.14761496,1.10720036,0.00000000,2.35094184,0.01559838,0.16751213,1.14575221
3.91695848,3.17226731,1.13670523,0.00000000,2.38556586,0.01564544,0.17089790,1.15390867
3.92296148,3.19054987,1.16600966,0.00000000,2.41999760,0.01566406,0.17392476,1.15760362
3.92896448,3.20241176,1.19534516,0.00000000,2.45390356,0.01565335,0.17654795,1.15676678
3.93496748,3.20803907,1.22497220,0.00000000,2.48709143,0.01561358,0.17873362,1.15144524
3.94097049,3.20782958,1.25515937,0.00000000,2.51949052,0.01554602,0.18045854,1.14179817
3.94697349,3.20235925,1.28616099,0.00000000,2.55112772,0.01545284,0.18170956,1.12808772
3.95297649,3.19234243,1.31819455,0.00000000,2.58210044,0.01533694,0.18248272,1.11066662
3.95897949,3.17858802,1.35141912,0.00000000,2.61254826,0.01520175,0.18278217,1.08996337
3.96498249,3.16195415,1.38591608,0.00000000,2.64262514,0.01505106,0.18261898,1.06646564
3.97098549,3.14330389,1.42167353,0.00000000,2.67247375,0.01488881,0.18200992,1.04070295
3.97698849,3.12346436,1.45857537,0.00000000,2.70220366,0.01471890,0.18097623,1.01322946
3.98299150,3.10319162,1.49639607,0.00000000,2.73187462,0.01454503,0.17954261,0.98460759
3.98899450,3.08314288,1.53480162,0.00000000,2.76148590,0.01437056,0.17773631,0.95539339
3.99499750,3.06385764,1.57335714,0.00000000,2.79097236,0.01419841,0.17558648,0.92612398
4.00100050,3.04574817,1.61154072,0.00000000,2.82020721,0.01403097,0.17312369,0.89730763
4.00700350,3.02909969,1.64876334,0.00000000,2.84901124,0.01387013,0.17037982,0.86941658
4.01300650,3.01407958,1.68439360,0.00000000,2.87716772,0.01371720,0.16738801,0.84288271
4.01900950,3.00075465,1.71778639,0.00000000,2.90444176,0.01357304,0.16418295,0.81809571
4.02501251,2.98911481,1.74831366,0.00000000,2.93060273,0.01343806,0.16080120,0.79540359
4.03101551,2.97910123,1.77539585,0.00000000,2.95544792,0.01331237,0.15728164,0.77511504
4.03701851,2.97063688,1.79853194,0.00000000,2.97882579,0.01319582,0.15366599,0.75750303
4.04302151,2.96365692,1.81732665,0.00000000,3.00065686,0.01308819,0.14999921,0.74280907
4.04902451,2.95813686,1.83151282,0.00000000,3.02095063,0.01298923,0.14632992,0.73124760
4.05502751,2.95411630,1.84096785,0.00000000,3.03981713,0.01289880,0.14271060,0.72300983
4.06103052,2.95171643,1.84572298,0.00000000,3.05747177,0.01281693,0.13919762,0.71826658
4.06703352,2.95114999,1.84596475,0.00000000,3.07423299,0.01274391,0.13585112,0.71716975
4.07303652,2.95272270,1.84202854,0.00000000,3.09051226,0.01268026,0.13273453,0.71985193
4.07903952,2.95682584,1.83438430,0.00000000,3.10679659,0.01262679,0.12991396,0.72642429
4.08504252,2.96392028,1.82361522,0.00000000,3.12362432,0.01258454,0.12745724,0.73697245
4.09104552,2.97451259,1.81039058,0.00000000,3.14155511,0.01255473,0.12543272,0.75155074
4.09704852,2.98912455,1.79543404,0.00000000,3.16113580,0.01253867,0.12390791,0.77017484
4.10305153,3.00825783,1.77948929,0.00000000,3.18286366,0.01253769,0.12294778,0.79281357
4.10905453,3.03235578,1.76328488,0.00000000,3.20714933,0.01255296,0.12261303,0.81938004
4.11505753,3.06176464,1.74750010,0.00000000,3.23428130,0.01258544,0.12295817,0.84972298
4.12106053,3.09669651,1.73273388,0.00000000,3.26439420,0.01263571,0.12402956,0.88361886
4.12706353,3.13719648,1.71947830,0.00000000,3.29744283,0.01270389,0.12586344,0.92076549
4.13306653,3.18311592,1.70809816,0.00000000,3.33318363,0.01278953,0.12848413,0.96077776
4.13906953,3.23409394,1.69881760,0.00000000,3.37116504,0.01289155,0.13190230,1.00318615
4.14507254,3.28954847,1.69171449,0.00000000,3.41072770,0.01300821,0.13611354,1.04743847
4.15107554,3.34867779,1.68672272,0.00000000,3.45101496,0.01313707,0.14109728,1.09290517
4.15707854,3.41047319,1.68364212,0.00000000,3.49099366,0.01327509,0.14681607,1.13888848
