energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-2.74637319,2.43678505,0.00122367,0.05111756,0.30775873,0.86563428,0.00480497,0.09436786,1.25654619,1.06567577
-2.74037019,2.38635136,0.00128263,0.04986290,0.29849251,0.84363255,0.00467854,0.09119143,1.23693734,1.04722081
-2.73436718,2.32611135,0.00134624,0.04837038,0.28810894,0.81888320,0.00454700,0.08778321,1.21143678,1.02391059
-2.72836418,2.25687591,0.00141468,0.04666184,0.27674009,0.79162585,0.00441355,0.08417869,1.18043549,0.99613238
-2.72236118,2.17965391,0.00148812,0.04476344,0.26453428,0.76217850,0.00428177,0.08042036,1.14442558,0.96435606
-2.71635818,2.09562303,0.00156670,0.04270497,0.25165235,0.73092756,0.00415559,0.07655658,1.10398562,0.92912122
-2.71035518,2.00609637,0.00165047,0.04051913,0.23826362,0.69831577,0.00403922,0.07264036,1.05976368,0.89102263
-2.70435218,1.91248595,0.00173939,0.03824073,0.22454175,0.66482876,0.00393708,0.06872807,1.01245885,0.85069455
-2.69834917,1.81626493,0.00183328,0.03590580,0.21066047,0.63098075,0.00385375,0.06487819,0.96280191,0.80879466
-2.69234617,1.71892960,0.00193182,0.03355081,0.19678965,0.59730004,0.00379388,0.06115009,0.91153597,0.76598806
-2.68634317,1.62196276,0.00203453,0.03121177,0.18309144,0.56431480,0.00376209,0.05760283,0.85939776,0.72293185
-2.68034017,1.52679961,0.00214076,0.02892348,0.16971695,0.53253962,0.00376297,0.05429407,0.80710026,0.68026090
-2.67433717,1.43479694,0.00224967,0.02671882,0.15680334,0.50246334,0.00380091,0.05127912,0.75531712,0.63857502
-2.66833417,1.34720663,0.00236026,0.02462814,0.14447153,0.47453840,0.00388010,0.04861001,0.70466932,0.59842791
-2.66233117,1.26515363,0.00247139,0.02267870,0.13282448,0.44917187,0.00400440,0.04633476,0.65571432,0.56031809
-2.65632816,1.18961885,0.00258178,0.02089429,0.12194611,0.42671843,0.00417726,0.04449667,0.60893780,0.52468172
-2.65032516,1.12142685,0.00269007,0.01929493,0.11190082,0.40747512,0.00440164,0.04313380,0.56474808,0.49188757
-2.64432216,1.06123813,0.00279482,0.01789666,0.10273362,0.39167799,0.00467991,0.04227841,0.52347308,0.46223375
-2.63831916,1.00954566,0.00289460,0.01671146,0.09447074,0.37950036,0.00501377,0.04195657,0.48535954,0.43594628
-2.63231616,0.96667530,0.00298798,0.01574730,0.08712074,0.37105264,0.00540412,0.04218775,0.45057448,0.41317924
-2.62631316,0.93278947,0.00307358,0.01500819,0.08067597,0.36638350,0.00585099,0.04298448,0.41920839,0.39401621
-2.62031016,0.90789372,0.00315014,0.01449440,0.07511435,0.36548220,0.00635345,0.04435202,0.39128000,0.37847301
-2.61430715,0.89184567,0.00321652,0.01420273,0.07040131,0.36828199,0.00690952,0.04628806,0.36674220,0.36650127
-2.60830415,0.88436604,0.00327176,0.01412680,0.06649197,0.37466431,0.00751613,0.04878254,0.34548903,0.35799291
-2.60230115,0.88505138,0.00331504,0.01425746,0.06333324,0.38446392,0.00816907,0.05181738,0.32736325,0.35278522
-2.59629815,0.89338833,0.00334578,0.01458324,0.06086606,0.39747475,0.00886298,0.05536647,0.31216442,0.35066654
-2.59029515,0.90876932,0.00336358,0.01509080,0.05902755,0.41345651,0.00959141,0.05939565,0.29965730,0.35138241
-2.58429215,0.93050963,0.00336825,0.01576554,0.05775304,0.43214208,0.01034687,0.06386292,0.28958029,0.35464203
-2.57828914,0.95786556,0.00335979,0.01659210,0.05697805,0.45324561,0.01112097,0.06871880,0.28165391,0.36012523
-2.57228614,0.99005394,0.00333839,0.01755504,0.05664015,0.47647140,0.01190455,0.07390694,0.27558906,0.36748962
-2.56628314,1.02627258,0.00330442,0.01863944,0.05668062,0.50152344,0.01268794,0.07936494,0.27109514,0.37637804
-2.56028014,1.06572154,0.00325840,0.01983159,0.05704600,0.52811549,0.01346119,0.08502550,0.26788758,0.38642625
-2.55427714,1.10762492,0.00320096,0.02111961,0.05768944,0.55598146,0.01421438,0.09081776,0.26569508,0.39727061
-2.54827414,1.15125264,0.00313289,0.02249407,0.05857189,0.58488599,0.01493791,0.09666891,0.26426608,0.40855587
-2.54227114,1.19594172,0.00305502,0.02394859,0.05966302,0.61463458,0.01562286,0.10250603,0.26337447,0.41994272
-2.53626813,1.24111630,0.00296830,0.02548029,0.06094199,0.64508315,0.01626135,0.10825807,0.26282455,0.43111513
-2.53026513,1.28630563,0.00287372,0.02709020,0.06239788,0.67614619,0.01684680,0.11385792,0.26245477,0.44178717
-2.52426213,1.33115928,0.00277230,0.02878341,0.06402986,0.70780334,0.01737428,0.11924447,0.26214056,0.45170917
-2.51825913,1.37545853,0.00266512,0.03056919,0.06584704,0.74010348,0.01784071,0.12436462,0.26179576,0.46067308
-2.51225613,1.41912344,0.00255325,0.03246075,0.06786796,0.77316617,0.01824507,0.12917509,0.26137290,0.46851677
-2.50625313,1.46221465,0.00243780,0.03447491,0.07011971,0.80717972,0.01858850,0.13364389,0.26086210,0.47512723
