energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-1.76788394,2.95017286,1.11336315,0.00000000,0.05833843,0.51093195,1.21153143,0.00423659
-1.76188094,3.05705069,1.15032240,0.00000000,0.06296292,0.51824032,1.23690429,0.00434622
-1.75587794,3.16769238,1.18764934,0.00000000,0.06760310,0.52775350,1.26275054,0.00446366
-1.74987494,3.28081095,1.22490678,0.00000000,0.07220601,0.53930635,1.28874556,0.00458709
-1.74387194,3.39493423,1.26161131,0.00000000,0.07671835,0.55266640,1.31451062,0.00471438
-1.73786893,3.50844472,1.29724617,0.00000000,0.08108821,0.56754438,1.33962551,0.00484315
-1.73186593,3.61962605,1.33127586,0.00000000,0.08526685,0.58360707,1.36364296,0.00497086
-1.72586293,3.72671439,1.36316183,0.00000000,0.08921064,0.60049177,1.38610446,0.00509485
-1.71985993,3.82795284,1.39237860,0.00000000,0.09288291,0.61782217,1.40655655,0.00521249
-1.71385693,3.92164674,1.41842968,0.00000000,0.09625576,0.63522478,1.42456692,0.00532121
-1.70785393,4.00621797,1.44086257,0.00000000,0.09931178,0.65234557,1.43973973,0.00541861
-1.70185093,4.08025615,1.45928239,0.00000000,0.10204556,0.66886607,1.45172929,0.00550252
-1.69584792,4.14256512,1.47336357,0.00000000,0.10446503,0.68451857,1.46025173,0.00557112
-1.68984492,4.19220298,1.48285926,0.00000000,0.10659253,0.69909978,1.46509428,0.00562296
-1.68384192,4.22851457,1.48760821,0.00000000,0.10846562,0.71248257,1.46612174,0.00565699
-1.67783892,4.25115543,1.48753895,0.00000000,0.11013767,0.72462546,1.46328016,0.00567264
-1.67183592,4.26010655,1.48267130,0.00000000,0.11167808,0.73557949,1.45659766,0.00566982
-1.66583292,4.25567981,1.47311526,0.00000000,0.11317229,0.74549230,1.44618252,0.00564888
-1.65982991,4.23851400,1.45906746,0.00000000,0.11472151,0.75460924,1.43221884,0.00561067
-1.65382691,4.20956197,1.44080550,0.00000000,0.11644219,0.76327163,1.41496000,0.00555645
-1.64782391,4.17006941,1.41868033,0.00000000,0.11846519,0.77191198,1.39472040,0.00548787
-1.64182091,4.12154612,1.39310724,0.00000000,0.12093475,0.78104647,1.37186587,0.00540691
-1.63581791,4.06573087,1.36455563,0.00000000,0.12400714,0.79126478,1.34680312,0.00531583
-1.62981491,4.00455078,1.33353801,0.00000000,0.12784899,0.80321755,1.31996884,0.00521711
-1.62381191,3.94007664,1.30059864,0.00000000,0.13263529,0.81760172,1.29181862,0.00511334
-1.61780890,3.87447519,1.26630203,0.00000000,0.13854701,0.83514410,1.26281621,0.00500718
-1.61180590,3.80995964,1.23122160,0.00000000,0.14576830,0.85658355,1.23342336,0.00490127
-1.60580290,3.74873960,1.19592887,0.00000000,0.15448310,0.88265203,1.20409047,0.00479817
-1.59979990,3.69297137,1.16098326,0.00000000,0.16487134,0.91405499,1.17524832,0.00470027
-1.59379690,3.64470978,1.12692271,0.00000000,0.17710448,0.95145147,1.14730085,0.00460976
-1.58779390,3.60586226,1.09425519,0.00000000,0.19134056,0.99543424,1.12061911,0.00452858
-1.58179090,3.57814610,1.06345129,0.00000000,0.20771865,1.04651040,1.09553650,0.00445831
-1.57578789,3.56304945,1.03493773,0.00000000,0.22635292,1.10508286,1.07234503,0.00440024
-1.56978489,3.56179690,1.00909202,0.00000000,0.24732636,1.17143299,1.05129272,0.00435526
-1.56378189,3.57531986,0.98623795,0.00000000,0.27068437,1.24570493,1.03258197,0.00432389
-1.55777889,3.60423252,0.96664218,0.00000000,0.29642843,1.32789196,1.01636876,0.00430627
-1.55177589,3.64881365,0.95051158,0.00000000,0.32451016,1.41782526,1.00276258,0.00430215
-1.54577289,3.70899462,0.93799144,0.00000000,0.35482616,1.51516557,0.99182704,0.00431096
