energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
3.61680840,2.78999974,0.00962735,0.09505977,1.86480222,0.00000000,0.03128805,0.14018688,0.45222072,1.78626153
3.62281141,2.79646689,0.00990464,0.09438532,1.88853517,0.00000000,0.03012286,0.14056692,0.44913176,1.78468087
3.62881441,2.79317802,0.01012615,0.09326020,1.90579592,0.00000000,0.02883587,0.14038098,0.44461858,1.77686972
3.63481741,2.78039378,0.01028727,0.09169452,1.91653725,0.00000000,0.02744799,0.13964728,0.43876377,1.76313921
3.64082041,2.75851160,0.01038447,0.08970665,1.92079676,0.00000000,0.02598171,0.13839292,0.43165793,1.74389371
3.64682341,2.72805366,0.01041544,0.08732254,1.91869518,0.00000000,0.02446034,0.13665290,0.42339764,1.71961870
3.65282641,2.68965292,0.01037912,0.08457505,1.91043337,0.00000000,0.02290740,0.13446907,0.41408375,1.69086693
3.65882941,2.64403768,0.01027583,0.08150314,1.89628821,0.00000000,0.02134597,0.13188897,0.40382029,1.65824348
3.66483242,2.59201525,0.01010723,0.07815098,1.87660721,0.00000000,0.01979823,0.12896475,0.39271380,1.62239022
3.67083542,2.53445497,0.00987629,0.07456708,1.85180202,0.00000000,0.01828506,0.12575212,0.38087317,1.58397018
3.67683842,2.47227133,0.00958726,0.07080337,1.82234058,0.00000000,0.01682580,0.12230939,0.36840979,1.54365243
3.68284142,2.40640733,0.00924548,0.06691435,1.78873811,0.00000000,0.01543806,0.11869659,0.35543795,1.50209792
3.68884442,2.33781866,0.00885725,0.06295617,1.75154703,0.00000000,0.01413774,0.11497485,0.34207535,1.45994668
3.69484742,2.26745900,0.00842969,0.05898592,1.71134576,0.00000000,0.01293905,0.11120579,0.32844356,1.41780694
3.70085043,2.19626677,0.00797045,0.05506088,1.66872688,0.00000000,0.01185470,0.10745121,0.31466842,1.37624619
3.70685343,2.12515358,0.00748757,0.05123789,1.62428476,0.00000000,0.01089609,0.10377284,0.30088009,1.33578465
3.71285643,2.05499464,0.00698923,0.04757279,1.57860314,0.00000000,0.01007352,0.10023226,0.28721286,1.29689123
3.71885943,1.98662128,0.00648353,0.04412002,1.53224314,0.00000000,0.00939652,0.09689091,0.27380459,1.25998177
3.72486243,1.92081565,0.00597828,0.04093219,1.48573204,0.00000000,0.00887404,0.09381019,0.26079580,1.22541984
3.73086543,1.85830743,0.00548088,0.03805982,1.43955350,0.00000000,0.00851470,0.09105150,0.24832834,1.19351953
3.73686843,1.79977270,0.00499811,0.03555110,1.39413950,0.00000000,0.00832693,0.08867635,0.23654384,1.16455019
3.74287144,1.74583434,0.00453602,0.03345171,1.34986449,0.00000000,0.00831906,0.08674627,0.22558190,1.13874258
3.74887444,1.69706396,0.00409987,0.03180460,1.30704201,0.00000000,0.00849936,0.08532267,0.21557799,1.11629598
3.75487744,1.65398464,0.00369406,0.03064984,1.26592382,0.00000000,0.00887592,0.08446644,0.20666142,1.09738572
3.76088044,1.61707400,0.00332207,0.03002437,1.22670167,0.00000000,0.00945649,0.08423733,0.19895311,1.08217058
3.76688344,1.58676714,0.00298653,0.02996174,1.18951142,0.00000000,0.01024820,0.08469312,0.19256341,1.07079945
3.77288644,1.56345870,0.00268919,0.03049168,1.15443921,0.00000000,0.01125721,0.08588848,0.18759003,1.06341668
