energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
1.50375188,2.24517220,0.43829906,0.00045998,1.62123130,0.77423823,0.11967090,0.88467697
1.50975488,2.45104902,0.47365948,0.00050701,1.75881075,0.84815112,0.13448225,0.95506463
1.51575788,2.67240347,0.51065976,0.00055786,1.90313545,0.92938741,0.15090435,1.02845905
1.52176088,2.90714287,0.54886524,0.00061199,2.05263444,1.01726650,0.16886651,1.10409616
1.52776388,3.15295231,0.58782435,0.00066876,2.20562117,1.11101304,0.18827437,1.18118772
1.53376688,3.40730037,0.62707221,0.00072748,2.36030713,1.20975399,0.20900836,1.25892817
1.53976988,3.66745213,0.66613484,0.00078735,2.51481947,1.31251848,0.23092280,1.33650209
1.54577289,3.93049064,0.70453421,0.00084755,2.66722309,1.41824124,0.25384593,1.41309228
1.55177589,4.19334770,0.74179395,0.00090718,2.81554727,1.52576992,0.27758074,1.48788872
1.55777889,4.45284420,0.77744589,0.00096531,2.95781651,1.63387698,0.30190686,1.56009826
1.56378189,4.70573986,0.81103712,0.00102100,3.09208549,1.74127609,0.32658356,1.62895507
1.56978489,4.94879178,0.84213771,0.00107333,3.21647728,1.84664314,0.35135366,1.69373193
1.57578789,5.17882058,0.87034861,0.00112138,3.32922413,1.94864145,0.37594848,1.75375214
1.58179090,5.39278229,0.89530988,0.00116433,3.42870953,2.04595075,0.40009365,1.80840192
1.58779390,5.58784410,0.91670872,0.00120139,3.51351041,2.13729900,0.42351557,1.85714321
1.59379690,5.76146114,0.93428719,0.00123191,3.58243796,2.22149606,0.44594848,1.89952639
1.59979990,5.91145149,0.94784933,0.00125535,3.63457545,2.29746807,0.46714162,1.93520279
1.60580290,6.03606659,0.95726736,0.00127131,3.66931154,2.36429109,0.48686660,1.96393635
1.61180590,6.13405363,0.96248671,0.00127957,3.68636740,2.42122265,0.50492433,1.98561405
1.61780890,6.20470733,0.96352958,0.00128003,3.68581640,2.46772969,0.52115146,2.00025467
1.62381191,6.24790820,0.96049687,0.00127282,3.66809497,2.50351162,0.53542595,2.00801519
1.62981491,6.26414518,0.95356823,0.00125819,3.63400384,2.52851710,0.54767154,2.00919442
1.63581791,6.25452089,0.94300023,0.00123659,3.58469891,2.54295372,0.55786088,2.00423343
1.64182091,6.22073856,0.92912242,0.00120859,3.52167184,2.54728956,0.56601720,1.99371241
1.64782391,6.16507024,0.91233157,0.00117493,3.44672024,2.54224642,0.57221422,1.97834358
1.65382691,6.09030694,0.89308397,0.00113645,3.36190851,2.52878443,0.57657450,1.95896027
1.65982991,5.99969179,0.87188614,0.00109405,3.26952013,2.50807840,0.57926601,1.93650208
1.66583292,5.89683834,0.84928416,0.00104875,3.17200298,2.48148652,0.58049712,1.91199631
1.67183592,5.78563653,0.82585192,0.00100157,3.07190943,2.45051235,0.58051013,1.88653619
1.67783892,5.67014952,0.80217881,0.00095354,2.97183319,2.41676138,0.57957349,1.86125632
