energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.06353177,1.63526911,0.00068948,0.32890980,0.33895044,0.12347090,0.32402575,0.84496997,0.00153898,0.29818349
-5.05752876,1.65533207,0.00069846,0.31738950,0.35487531,0.13302542,0.31955260,0.84693580,0.00155394,0.32192821
-5.05152576,1.67716070,0.00070420,0.30671924,0.37243936,0.14356258,0.31696386,0.84705802,0.00156044,0.34831193
-5.04552276,1.70014712,0.00070646,0.29676112,0.39151585,0.15505704,0.31612202,0.84500768,0.00155821,0.37725088
-5.03951976,1.72374878,0.00070508,0.28739741,0.41196750,0.16747215,0.31689509,0.84052752,0.00154714,0.40862983
-5.03351676,1.74749513,0.00069997,0.27853286,0.43364740,0.18075893,0.31915832,0.83343751,0.00152731,0.44230071
-5.02751376,1.77099015,0.00069112,0.27009539,0.45639987,0.19485526,0.32279477,0.82363734,0.00149898,0.47808176
-5.02151076,1.79391107,0.00067860,0.26203553,0.48006111,0.20968532,0.32769488,0.81110615,0.00146256,0.51575740
-5.01550775,1.81600388,0.00066255,0.25432457,0.50445994,0.22515937,0.33375514,0.79589960,0.00141862,0.55507891
-5.00950475,1.83707629,0.00064317,0.24695183,0.52941843,0.24117397,0.34087629,0.77814454,0.00136786,0.59576605
-5.00350175,1.85698872,0.00062076,0.23992124,0.55475265,0.25761261,0.34896104,0.75803175,0.00131108,0.63750947
-4.99749875,1.87564417,0.00059562,0.23324752,0.58027354,0.27434671,0.35791171,0.73580697,0.00124916,0.67997415
-4.99149575,1.89297759,0.00056813,0.22695217,0.60578780,0.29123725,0.36762785,0.71176087,0.00118305,0.72280359
-4.98549275,1.90894529,0.00053868,0.22105955,0.63109898,0.30813660,0.37800418,0.68621813,0.00111373,0.76562476
-4.97948974,1.92351515,0.00050771,0.21559319,0.65600870,0.32489093,0.38892879,0.65952639,0.00104216,0.80805370
-4.97348674,1.93665780,0.00047562,0.21057262,0.68031792,0.34134275,0.40028194,0.63204513,0.00096933,0.84970150
-4.96748374,1.94833936,0.00044287,0.20601065,0.70382844,0.35733384,0.41193537,0.60413506,0.00089615,0.89018063
-4.96148074,1.95851571,0.00040985,0.20191134,0.72634438,0.37270822,0.42375218,0.57614828,0.00082348,0.92911130
-4.95547774,1.96712861,0.00037697,0.19826868,0.74767389,0.38731519,0.43558739,0.54841934,0.00075212,0.96612776
-4.94947474,1.97410359,0.00034458,0.19506583,0.76763085,0.40101238,0.44728913,0.52125760,0.00068276,1.00088427
-4.94347174,1.97934951,0.00031303,0.19227523,0.78603672,0.41366853,0.45870030,0.49494079,0.00061603,1.03306074
-4.93746873,1.98275973,0.00028259,0.18985908,0.80272243,0.42516617,0.46966083,0.46970998,0.00055242,1.06236772
-4.93146573,1.98421459,0.00025351,0.18777053,0.81753040,0.43540390,0.48001036,0.44576596,0.00049234,1.08855074
-4.92546273,1.98358511,0.00022599,0.18595524,0.83031661,0.44429827,0.48959124,0.42326693,0.00043610,1.11139396
-4.91945973,1.98073744,0.00020018,0.18435327,0.84095263,0.45178525,0.49825176,0.40232752,0.00038390,1.13072292
-4.91345673,1.97553796,0.00017620,0.18290121,0.84932782,0.45782120,0.50584953,0.38301902,0.00033585,1.14640649
-4.90745373,1.96785865,0.00015409,0.18153443,0.85535133,0.46238332,0.51225482,0.36537067,0.00029199,1.15835798
