energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-5.19559780,3.79558501,1.03314444,2.20118378,0.00078850,0.06874330,0.20926854,0.95061114,0.01300820,0.45856649
-5.18959480,3.89275117,1.08944633,2.29742119,0.00083581,0.06997817,0.20702735,0.94627812,0.01378880,0.44811551
-5.18359180,3.98940080,1.14566573,2.39585012,0.00088768,0.07108952,0.20469554,0.94053947,0.01454608,0.43667313
-5.17758879,4.08551096,1.20137276,2.49620211,0.00094454,0.07204912,0.20229900,0.93370707,0.01527038,0.42440016
-5.17158579,4.18102442,1.25613553,2.59818051,0.00100676,0.07283007,0.19986050,0.92607323,0.01595226,0.41147187
-5.16558279,4.27585118,1.30953257,2.70146731,0.00107461,0.07340771,0.19739915,0.91790306,0.01658279,0.39807349
-5.15957979,4.36987267,1.36116519,2.80573074,0.00114824,0.07376064,0.19493006,0.90942875,0.01715384,0.38439582
-5.15357679,4.46294791,1.41066918,2.91063331,0.00122765,0.07387165,0.19246446,0.90084581,0.01765837,0.37063073
-5.14757379,4.55492106,1.45772538,3.01583951,0.00131269,0.07372858,0.19000992,0.89231120,0.01809063,0.35696700
-5.14157079,4.64562923,1.50206842,3.12102258,0.00140303,0.07332494,0.18757096,0.88394339,0.01844643,0.34358638
-5.13556778,4.73491010,1.54349349,3.22587000,0.00149813,0.07266044,0.18514976,0.87582392,0.01872327,0.33066012
-5.12956478,4.82260828,1.58186061,3.33008719,0.00159728,0.07174123,0.18274706,0.86800042,0.01892043,0.31834587
-5.12356178,4.90858017,1.61709640,3.43339925,0.00169959,0.07057992,0.18036310,0.86049063,0.01903906,0.30678510
-5.11755878,4.99269673,1.64919329,3.53555066,0.00180395,0.06919534,0.17799859,0.85328722,0.01908210,0.29610102
-5.11155578,5.07484409,1.67820631,3.63630318,0.00190912,0.06761210,0.17565562,0.84636299,0.01905421,0.28639697
-5.10555278,5.15492209,1.70424764,3.73543208,0.00201370,0.06585986,0.17333847,0.83967618,0.01896166,0.27775529
-5.09954977,5.23284093,1.72747929,3.83272119,0.00211620,0.06397245,0.17105430,0.83317568,0.01881207,0.27023668
-5.09354677,5.30851640,1.74810428,3.92795733,0.00221505,0.06198681,0.16881364,0.82680584,0.01861420,0.26387990
-5.08754377,5.38186415,1.76635679,4.02092460,0.00230866,0.05994183,0.16663068,0.82051067,0.01837763,0.25870198
-5.08154077,5.45279360,1.78249156,4.11139910,0.00239549,0.05787715,0.16452339,0.81423742,0.01811248,0.25469867
-5.07553777,5.52120205,1.79677322,4.19914462,0.00247406,0.05583187,0.16251336,0.80793929,0.01782906,0.25184528
-5.06953477,5.58696950,1.80946563,4.28390972,0.00254301,0.05384342,0.16062553,0.80157742,0.01753752,0.25009782
-5.06353177,5.64995461,1.82082183,4.36542643,0.00260119,0.05194640,0.15888762,0.79512194,0.01724758,0.24939438
-5.05752876,5.70999212,1.83107470,4.44341091,0.00264767,0.05017161,0.15732952,0.78855241,0.01696815,0.24965680
-5.05152576,5.76689187,1.84042869,4.51756588,0.00268176,0.04854526,0.15598244,0.78185741,0.01670712,0.25079253
-5.04552276,5.82043966,1.84905271,4.58758488,0.00270309,0.04708828,0.15487803,0.77503364,0.01647106,0.25269671
-5.03951976,5.87039971,1.85707433,4.65315816,0.00271161,0.04581595,0.15404738,0.76808460,0.01626508,0.25525441
-5.03351676,5.91651866,1.86457549,4.71397973,0.00270756,0.04473763,0.15352005,0.76101878,0.01609263,0.25834307
-5.02751376,5.95853095,1.87158971,4.76975535,0.00269152,0.04385678,0.15332303,0.75384792,0.01595548,0.26183497
-5.02151076,5.99616533,1.87810084,4.82021097,0.00266436,0.04317118,0.15347985,0.74658497,0.01585360,0.26559987
-5.01550775,6.02915204,1.88404349,4.86510117,0.00262722,0.04267325,0.15400962,0.73924237,0.01578526,0.26950761
-5.00950475,6.05723068,1.88930506,4.90421730,0.00258148,0.04235065,0.15492636,0.73183043,0.01574708,0.27343072
-5.00350175,6.08015809,1.89372939,4.93739477,0.00252868,0.04218692,0.15623827,0.72435603,0.01573418,0.27724697
-4.99749875,6.09771630,1.89712201,4.96451926,0.00247050,0.04216232,0.15794731,0.71682172,0.01574037,0.28084175
-4.99149575,6.10972003,1.89925680,4.98553168,0.00240868,0.04225463,0.16004883,0.70922527,0.01575837,0.28411026
-4.98549275,6.11602355,1.89988401,5.00043140,0.00234497,0.04244007,0.16253145,0.70155957,0.01578013,0.28695947
-4.97948974,6.11652673,1.89873936,5.00927794,0.00228105,0.04269418,0.16537701,0.69381304,0.01579707,0.28930967
-4.97348674,6.11117991,1.89555405,5.01219084,0.00221847,0.04299268,0.16856080,0.68597027,0.01580044,0.29109580
-4.96748374,6.09998753,1.89006513,5.00934783,0.00215863,0.04331225,0.17205180,0.67801304,0.01578165,0.29226817
-4.96148074,6.08301038,1.88202621,5.00098149,0.00210271,0.04363123,0.17581312,0.66992145,0.01573254,0.29279292
-4.95547774,6.06036629,1.87121777,4.98737434,0.00205161,0.04393021,0.17980258,0.66167522,0.01564574,0.29265192
-4.94947474,6.03222941,1.85745689,4.96885290,0.00200600,0.04419246,0.18397333,0.65325493,0.01551488,0.29184231
-4.94347174,5.99882807,1.84060600,4.94578085,0.00196622,0.04440422,0.18827452,0.64464316,0.01533486,0.29037552
-4.93746873,5.96044141,1.82058009,4.91855169,0.00193234,0.04455489,0.19265215,0.63582548,0.01510201,0.28827607
-4.93146573,5.91739503,1.79735244,4.88758131,0.00190414,0.04463706,0.19704986,0.62679132,0.01481420,0.28557996
-4.92546273,5.87005601,1.77095824,4.85330091,0.00188115,0.04464637,0.20140988,0.61753447,0.01447091,0.28233289
-4.91945973,5.81882754,1.74149637,4.81615048,0.00186268,0.04458128,0.20567394,0.60805350,0.01407323,0.27858836
-4.91345673,5.76414363,1.70912899,4.77657329,0.00184783,0.04444283,0.20978431,0.59835195,0.01362380,0.27440570
-4.90745373,5.70646416,1.67407914,4.73501157,0.00183556,0.04423418,0.21368484,0.58843846,0.01312667,0.26984819
-4.90145073,5.64627051,1.63662647,4.69190338,0.00182475,0.04396022,0.21732213,0.57832673,0.01258715,0.26498129
-4.89544772,5.58406183,1.59710124,4.64768072,0.00181422,0.04362716,0.22064660,0.56803567,0.01201160,0.25987107
-4.88944472,5.52035216,1.55587697,4.60276864,0.00180279,0.04324208,0.22361374,0.55758948,0.01140718,0.25458295
-4.88344172,5.45566792,1.51336186,4.55758505,0.00178936,0.04281250,0.22618526,0.54701799,0.01078160,0.24918065
-4.87743872,5.39054575,1.46998944,4.51254069,0.00177288,0.04234611,0.22833020,0.53635705,0.01014288,0.24372548
-4.87143572,5.32553017,1.42620864,4.46803879,0.00175247,0.04185039,0.23002599,0.52564909,0.00949902,0.23827595
-4.86543272,5.26117041,1.38247368,4.42447388,0.00172741,0.04133243,0.23125935,0.51494387,0.00885786,0.23288750
-4.85942971,5.19801618,1.33923391,4.38222915,0.00169714,0.04079874,0.23202704,0.50429916,0.00822676,0.22761253
-4.85342671,5.13661160,1.29692396,4.34167186,0.00166131,0.04025515,0.23233630,0.49378143,0.00761247,0.22250050
-4.84742371,5.07748699,1.25595430,4.30314668,0.00161979,0.03970678,0.23220502,0.48346635,0.00702099,0.21759805
-4.84142071,5.02114847,1.21670251,4.26696669,0.00157264,0.03915797,0.23166162,0.47343898,0.00645741,0.21294917
-4.83541771,4.96806506,1.17950529,4.23340228,0.00152009,0.03861238,0.23074446,0.46379364,0.00592587,0.20859515
-4.82941471,4.91865387,1.14465148,4.20266841,0.00146257,0.03807297,0.22950102,0.45463311,0.00542954,0.20457448
-4.82341171,4.87326372,1.11237613,4.17491077,0.00140063,0.03754207,0.22798654,0.44606733,0.00497061,0.20092253
-4.81740870,4.83215810,1.08285582,4.15019186,0.00133498,0.03702144,0.22626248,0.43821143,0.00455034,0.19767102
-4.81140570,4.79549840,1.05620532,4.12847800,0.00126637,0.03651230,0.22439457,0.43118306,0.00416912,0.19484730
-4.80540270,4.76332874,1.03247576,4.10962837,0.00119566,0.03601535,0.22245072,0.42509913,0.00382655,0.19247354
-4.79939970,4.73556338,1.01165432,4.09338733,0.00112370,0.03553082,0.22049874,0.42007196,0.00352158,0.19056571
-4.79339670,4.71197817,0.99366564,4.07938096,0.00105136,0.03505848,0.21860403,0.41620508,0.00325261,0.18913261
-4.78739370,4.69220691,0.97837487,4.06711879,0.00097948,0.03459763,0.21682734,0.41358873,0.00301758,0.18817500
-4.78139070,4.67574353,0.96559241,4.05600116,0.00090888,0.03414713,0.21522266,0.41229537,0.00281414,0.18768475
-4.77538769,4.66195069,0.95508034,4.04533262,0.00084029,0.03370547,0.21383539,0.41237534,0.00263976,0.18764436
-4.76938469,4.65007471,0.94656022,4.03434112,0.00077438,0.03327073,0.21270078,0.41385295,0.00249180,0.18802673
-4.76338169,4.63926697,0.93972229,4.02220246,0.00071174,0.03284076,0.21184287,0.41672330,0.00236767,0.18879530
-4.75737869,4.62861075,0.93423561,4.00806916,0.00065291,0.03241321,0.21127380,0.42094986,0.00226486,0.18990464
-4.75137569,4.61715280,0.92975894,3.99110251,0.00059831,0.03198571,0.21099359,0.42646323,0.00218109,0.19130150
-4.74537269,4.60393825,0.92595193,3.97050627,0.00054835,0.03155602,0.21099045,0.43316109,0.00211428,0.19292624
