energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-4.75737869,0.37797704,0.00037812,0.06569741,0.05570655,0.08844122,0.08763692,0.12618077,0.13994140,0.00000000
-4.75137569,0.34640852,0.00043517,0.05508131,0.04779819,0.08782624,0.07518360,0.11614060,0.12647605,0.00000000
-4.74537269,0.32273308,0.00049850,0.04590926,0.04109506,0.08890989,0.06460111,0.10875371,0.11595988,0.00000000
-4.73936968,0.30640303,0.00056799,0.03805748,0.03550406,0.09160240,0.05574651,0.10383480,0.10819275,0.00000000
-4.73336668,0.29682185,0.00064339,0.03139794,0.03092822,0.09579434,0.04846920,0.10118249,0.10295939,0.00000000
-4.72736368,0.29335792,0.00072427,0.02580239,0.02726975,0.10135776,0.04261580,0.10058374,0.10003512,0.00000000
-4.72136068,0.29535624,0.00081002,0.02114560,0.02443258,0.10814734,0.03803434,0.10181755,0.09919058,0.00000000
-4.71535768,0.30214824,0.00089987,0.01730797,0.02232443,0.11600169,0.03457752,0.10465810,0.10019566,0.00000000
-4.70935468,0.31306029,0.00099287,0.01417747,0.02085840,0.12474485,0.03210532,0.10887750,0.10282276,0.00000000
-4.70335168,0.32742108,0.00108791,0.01165099,0.01995409,0.13418820,0.03048681,0.11424812,0.10684934,0.00000000
-4.69734867,0.34456833,0.00118369,0.00963509,0.01953845,0.14413280,0.02960146,0.12054486,0.11206011,0.00000000
-4.69134567,0.36385532,0.00127884,0.00804641,0.01954619,0.15437224,0.02933982,0.12754726,0.11824878,0.00000000
-4.68534267,0.38465727,0.00137185,0.00681166,0.01992010,0.16469599,0.02960392,0.13504175,0.12521958,0.00000000
-4.67933967,0.40637799,0.00146117,0.00586738,0.02061104,0.17489332,0.03030716,0.14282388,0.13278861,0.00000000
-4.67333667,0.42845673,0.00154520,0.00515944,0.02157791,0.18475757,0.03137414,0.15070078,0.14078509,0.00000000
-4.66733367,0.45037523,0.00162240,0.00464255,0.02278752,0.19409083,0.03274024,0.15849360,0.14905238,0.00000000
-4.66133067,0.47166489,0.00169127,0.00427957,0.02421438,0.20270869,0.03435108,0.16604006,0.15744904,0.00000000
