energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-4.76938469,7.16815289,1.50681140,4.89717524,0.04953511,0.11602758,0.89236455,0.00000000,1.58105612,0.00000000
-4.76338169,7.32204635,1.52328913,4.99701299,0.04981416,0.11736342,0.89862295,0.00000000,1.61987164,0.00000000
-4.75737869,7.46731998,1.53728914,5.09090715,0.05005781,0.11869135,0.90284039,0.00000000,1.65641115,0.00000000
-4.75137569,7.60270238,1.54882350,5.17789988,0.05025344,0.12006648,0.90508488,0.00000000,1.69035976,0.00000000
-4.74537269,7.72729476,1.55802753,5.25727755,0.05039202,0.12155441,0.90549136,0.00000000,1.72149061,0.00000000
-4.73936968,7.84054677,1.56514988,5.32855212,0.05046804,0.12322851,0.90425362,0.00000000,1.74966506,0.00000000
-4.73336668,7.94221741,1.57053755,5.39143334,0.05047923,0.12516671,0.90161366,0.00000000,1.77482897,0.00000000
-4.72736368,8.03232357,1.57461645,5.44579373,0.05042629,0.12744786,0.89784910,0.00000000,1.79700550,0.00000000
-4.72136068,8.11107950,1.57786812,5.49162862,0.05031245,0.13014788,0.89325903,0.00000000,1.81628477,0.00000000
-4.71535768,8.17883069,1.58080385,5.52901390,0.05014302,0.13333577,0.88814914,0.00000000,1.83281103,0.00000000
-4.70935468,8.23598603,1.58393702,5.55806401,0.04992491,0.13706961,0.88281681,0.00000000,1.84676798,0.00000000
-4.70335168,8.28295190,1.58775497,5.57889246,0.04966610,0.14139281,0.87753667,0.00000000,1.85836303,0.00000000
-4.69734867,8.32007188,1.59269166,5.59157747,0.04937515,0.14633070,0.87254748,0.00000000,1.86781137,0.00000000
-4.69134567,8.34757508,1.59910214,5.59613418,0.04906069,0.15188763,0.86804084,0.00000000,1.87532050,0.00000000
-4.68534267,8.36553590,1.60724020,5.59249521,0.04873097,0.15804473,0.86415212,0.00000000,1.88107614,0.00000000
-4.67933967,8.37384690,1.61724007,5.58050026,0.04839349,0.16475846,0.86095413,0.00000000,1.88522998,0.00000000
-4.67333667,8.37220619,1.62910310,5.55989525,0.04805455,0.17196005,0.85845366,0.00000000,1.88788995,0.00000000
-4.66733367,8.36011947,1.64269019,5.53034068,0.04771904,0.17955591,0.85659108,0.00000000,1.88911330,0.00000000
