energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-3.72486243,0.57739157,0.00005403,0.05842749,0.17719595,0.14676176,0.04096941,0.28450684,0.00096423,0.03804378
-3.71885943,0.61944775,0.00006321,0.06268445,0.19222868,0.15790323,0.04682919,0.30423180,0.00109356,0.04068766
-3.71285643,0.66193893,0.00007347,0.06698386,0.20778549,0.16925934,0.05327651,0.32397141,0.00123521,0.04333528
-3.70685343,0.70466827,0.00008483,0.07130446,0.22381322,0.18079441,0.06031566,0.34361505,0.00138936,0.04597295
-3.70085043,0.74744196,0.00009728,0.07562491,0.24024889,0.19247476,0.06793959,0.36305590,0.00155597,0.04858771
-3.69484742,0.79006893,0.00011078,0.07992373,0.25701808,0.20426898,0.07612829,0.38219093,0.00173479,0.05116736
-3.68884442,0.83236007,0.00012529,0.08417907,0.27403353,0.21614816,0.08484751,0.40092065,0.00192530,0.05370044
-3.68284142,0.87412723,0.00014071,0.08836858,0.29119382,0.22808608,0.09404778,0.41914846,0.00212672,0.05617620
-3.67683842,0.91518225,0.00015695,0.09246918,0.30838258,0.24005955,0.10366401,0.43677996,0.00233802,0.05858456
-3.67083542,0.95533654,0.00017386,0.09645694,0.32546813,0.25204888,0.11361568,0.45372238,0.00255790,0.06091604
-3.66483242,0.99440153,0.00019128,0.10030703,0.34230398,0.26403860,0.12380762,0.46988422,0.00278482,0.06316169
-3.65882941,1.03219042,0.00020902,0.10399380,0.35873020,0.27601856,0.13413154,0.48517551,0.00301703,0.06531319
-3.65282641,1.06852144,0.00022687,0.10749105,0.37457573,0.28798523,0.14446822,0.49950856,0.00325265,0.06736285
-3.64682341,1.10322277,0.00024462,0.11077241,0.38966184,0.29994346,0.15469042,0.51279965,0.00348966,0.06930383
-3.64082041,1.13613932,0.00026205,0.11381204,0.40380651,0.31190848,0.16466632,0.52497149,0.00372604,0.07113034
-3.63481741,1.16714090,0.00027891,0.11658537,0.41682974,0.32390798,0.17426343,0.53595652,0.00395981,0.07283801
-3.62881441,1.19613166,0.00029500,0.11907006,0.42855965,0.33598433,0.18335290,0.54570095,0.00418910,0.07442423
-3.62281141,1.22306023,0.00031011,0.12124707,0.43883898,0.34819657,0.19181386,0.55416933,0.00441226,0.07588860
-3.61680840,1.24792985,0.00032406,0.12310173,0.44753188,0.36062201,0.19953778,0.56134943,0.00462790,0.07723333
-3.61080540,1.27080776,0.00033670,0.12462477,0.45453042,0.37335718,0.20643250,0.56725704,0.00483496,0.07846358
-3.60480240,1.29183303,0.00034791,0.12581329,0.45976064,0.38651803,0.21242582,0.57194045,0.00503279,0.07958782
-3.59879940,1.31122200,0.00035763,0.12667149,0.46318764,0.40023898,0.21746838,0.57548409,0.00522115,0.08061792
-3.59279640,1.32927072,0.00036582,0.12721110,0.46481951,0.41467085,0.22153570,0.57801111,0.00540022,0.08156918
-3.58679340,1.34635369,0.00037253,0.12745161,0.46470966,0.42997753,0.22462926,0.57968449,0.00557063,0.08246010
-3.58079040,1.36291864,0.00037780,0.12741995,0.46295751,0.44633134,0.22677659,0.58070652,0.00573338,0.08331203
-3.57478739,1.37947712,0.00038178,0.12714996,0.45970727,0.46390733,0.22803024,0.58131634,0.00588983,0.08414849
