energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.40570285,3.60154313,0.50874233,0.00000000,4.02879919,2.53270910,0.33433859,0.00000000
-5.39969985,3.44145315,0.48117874,0.00000000,3.87483488,2.41103894,0.33077328,0.00000000
-5.39369685,3.30021858,0.45663955,0.00000000,3.73951533,2.30332925,0.32853508,0.00000000
-5.38769385,3.17801919,0.43510588,0.00000000,3.62312098,2.20967702,0.32768699,0.00000000
-5.38169085,3.07473119,0.41650629,0.00000000,3.52549918,2.12997739,0.32826493,0.00000000
-5.37568784,2.98995297,0.40072188,0.00000000,3.44608858,2.06394278,0.33027860,0.00000000
-5.36968484,2.92303687,0.38759221,0.00000000,3.38395466,2.01112527,0.33371335,0.00000000
-5.36368184,2.87312562,0.37692176,0.00000000,3.33783482,1.97094154,0.33853282,0.00000000
-5.35767884,2.83919196,0.36848706,0.00000000,3.30619111,1.94269940,0.34468216,0.00000000
-5.35167584,2.82007990,0.36204384,0.00000000,3.28726813,1.92562496,0.35209162,0.00000000
-5.34567284,2.81454597,0.35733436,0.00000000,3.27915410,1.91888941,0.36068016,0.00000000
-5.33966983,2.82129885,0.35409442,0.00000000,3.27984240,1.92163443,0.37035891,0.00000000
-5.33366683,2.83903601,0.35206014,0.00000000,3.28729172,1.93299542,0.38103432,0.00000000
-5.32766383,2.86647624,0.35097410,0.00000000,3.29948256,1.95212184,0.39261072,0.00000000
-5.32166083,2.90238706,0.35059091,0.00000000,3.31446875,1.97819408,0.40499237,0.00000000
-5.31565783,2.94560666,0.35068203,0.00000000,3.33042246,2.01043671,0.41808471,0.00000000
-5.30965483,2.99506020,0.35103979,0.00000000,3.34567204,2.04812799,0.43179516,0.00000000
-5.30365183,3.04977055,0.35148064,0.00000000,3.35873204,2.09060595,0.44603314,0.00000000
-5.29764882,3.10886417,0.35184765,0.00000000,3.36832552,2.13727127,0.46070984,0.00000000
-5.29164582,3.17157275,0.35201225,0.00000000,3.37339869,2.18758773,0.47573754,0.00000000
-5.28564282,3.23723166,0.35187530,0.00000000,3.37312857,2.24108082,0.49102890,0.00000000
-5.27963982,3.30527615,0.35136756,0.00000000,3.36692416,2.29733517,0.50649616,0.00000000
-5.27363682,3.37523627,0.35044967,0.00000000,3.35442217,2.35599157,0.52205067,0.00000000
-5.26763382,3.44673147,0.34911155,0.00000000,3.33547792,2.41674416,0.53760260,0.00000000
-5.26163082,3.51946551,0.34737156,0.00000000,3.31015260,2.47933810,0.55306113,0.00000000
-5.25562781,3.59322215,0.34527512,0.00000000,3.27869746,2.54356825,0.56833504,0.00000000
-5.24962481,3.66786191,0.34289311,0.00000000,3.24153588,2.60927859,0.58333376,0.00000000
-5.24362181,3.74331968,0.34031995,0.00000000,3.19924389,2.67636259,0.59796878,0.00000000
-5.23761881,3.81960313,0.33767137,0.00000000,3.15252979,2.74476394,0.61215533,0.00000000
-5.23161581,3.89679126,0.33508189,0.00000000,3.10221338,2.81447731,0.62581425,0.00000000
-5.22561281,3.97503250,0.33270210,0.00000000,3.04920514,2.88554866,0.63887380,0.00000000
-5.21960980,4.05454186,0.33069561,0.00000000,2.99448578,2.95807439,0.65127137,0.00000000
-5.21360680,4.13559629,0.32923593,0.00000000,2.93908642,3.03219887,0.66295481,0.00000000
-5.20760380,4.21852793,0.32850302,0.00000000,2.88406970,3.10810987,0.67388333,0.00000000
-5.20160080,4.30371461,0.32867982,0.00000000,2.83051191,3.18603169,0.68402783,0.00000000
-5.19559780,4.39156769,0.32994867,0.00000000,2.77948642,3.26621556,0.69337060,0.00000000
-5.18959480,4.48251701,0.33248776,0.00000000,2.73204842,3.34892770,0.70190440,0.00000000
-5.18359180,4.57699338,0.33646762,0.00000000,2.68922107,3.43443507,0.70963086,0.00000000
-5.17758879,4.67540904,0.34204767,0.00000000,2.65198295,3.52298930,0.71655837,0.00000000
-5.17158579,4.77813663,0.34937303,0.00000000,2.62125676,3.61480940,0.72269967,0.00000000
