energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
1.79789895,4.54978549,0.00927522,0.16035153,0.00425938,0.00000000,1.77035865,2.48580551,1.27139787,0.00000000
1.80390195,4.54999825,0.00940565,0.16390580,0.00416344,0.00000000,1.75164677,2.46173690,1.27071135,0.00000000
1.80990495,4.54825794,0.00955797,0.16726492,0.00407187,0.00000000,1.73216013,2.43748080,1.26862651,0.00000000
1.81590795,4.54486377,0.00973183,0.17039407,0.00398547,0.00000000,1.71214530,2.41347581,1.26516931,0.00000000
1.82191096,4.54011128,0.00992639,0.17326172,0.00390491,0.00000000,1.69185334,2.39014748,1.26036161,0.00000000
1.82791396,4.53428215,0.01014039,0.17583999,0.00383075,0.00000000,1.67153539,2.36789736,1.25422254,0.00000000
1.83391696,4.52763292,0.01037210,0.17810493,0.00376343,0.00000000,1.65143730,2.34709110,1.24677030,0.00000000
1.83991996,4.52038277,0.01061940,0.18003652,0.00370324,0.00000000,1.63179336,2.32804598,1.23802412,0.00000000
1.84592296,4.51270086,0.01087980,0.18161868,0.00365032,0.00000000,1.61281914,2.31101828,1.22800619,0.00000000
1.85192596,4.50469367,0.01115052,0.18283904,0.00360466,0.00000000,1.59470378,2.29619083,1.21674319,0.00000000
1.85792896,4.49639297,0.01142851,0.18368875,0.00356608,0.00000000,1.57760205,2.28366166,1.20426740,0.00000000
1.86393197,4.48774535,0.01171052,0.18416215,0.00353423,0.00000000,1.56162646,2.27343418,1.19061712,0.00000000
1.86993497,4.47860396,0.01199316,0.18425652,0.00350862,0.00000000,1.54684012,2.26540982,1.17583641,0.00000000
1.87593797,4.46872334,0.01227295,0.18397182,0.00348856,0.00000000,1.53325065,2.25938383,1.15997420,0.00000000
1.88194097,4.45775815,0.01254641,0.18331052,0.00347325,0.00000000,1.52080581,2.25504465,1.14308288,0.00000000
1.88794397,4.44526631,0.01281004,0.18227742,0.00346174,0.00000000,1.50939120,2.25197769,1.12521643,0.00000000
1.89394697,4.43071693,0.01306041,0.18087963,0.00345296,0.00000000,1.49883037,2.24967334,1.10642847,0.00000000
1.89994997,4.41350328,0.01329418,0.17912659,0.00344577,0.00000000,1.48888773,2.24753961,1.08677033,0.00000000
1.90595298,4.39296054,0.01350815,0.17703016,0.00343896,0.00000000,1.47927409,2.24491895,1.06628944,0.00000000
1.91195598,4.36838799,0.01369926,0.17460474,0.00343129,0.00000000,1.46965505,2.24110880,1.04502827,0.00000000
1.91795898,4.33907496,0.01386461,0.17186742,0.00342156,0.00000000,1.45966181,2.23538523,1.02302393,0.00000000
1.92396198,4.30432946,0.01400150,0.16883816,0.00340859,0.00000000,1.44890401,2.22702859,1.00030858,0.00000000
1.92996498,4.26350856,0.01410745,0.16553990,0.00339131,0.00000000,1.43698428,2.21535024,0.97691078,0.00000000
1.93596798,4.21604899,0.01418019,0.16199867,0.00336878,0.00000000,1.42351366,2.19971908,0.95285753,0.00000000
1.94197099,4.16149690,0.01421775,0.15824359,0.00334021,0.00000000,1.40812735,2.17958682,0.92817721,0.00000000
1.94797399,4.09953514,0.01421841,0.15430689,0.00330500,0.00000000,1.39050003,2.15451069,0.90290292,0.00000000
1.95397699,4.03000709,0.01418081,0.15022370,0.00326279,0.00000000,1.37036008,2.12417283,0.87707633,0.00000000
