energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-5.05152576,4.92523811,0.54796290,3.86442849,0.02086993,0.08460687,0.75621329,0.00000000
-5.04552276,5.05217168,0.54304617,3.98979574,0.02192898,0.08483186,0.76061605,0.00000000
-5.03951976,5.16871293,0.53687353,4.10643719,0.02292873,0.08494627,0.76370254,0.00000000
-5.03351676,5.27352070,0.52952130,4.21298947,0.02385596,0.08494771,0.76543470,0.00000000
-5.02751376,5.36529211,0.52106767,4.30814865,0.02469789,0.08483171,0.76576446,0.00000000
-5.02151076,5.44279543,0.51158937,4.39070607,0.02544248,0.08459158,0.76463334,0.00000000
-5.01550775,5.50490837,0.50115948,4.45958712,0.02607870,0.08421837,0.76197363,0.00000000
-5.00950475,5.55066059,0.48984654,4.51389136,0.02659673,0.08370125,0.75771116,0.00000000
-5.00350175,5.57927824,0.47771469,4.55293250,0.02698831,0.08302795,0.75176938,0.00000000
-4.99749875,5.59022878,0.46482473,4.57627641,0.02724683,0.08218554,0.74407450,0.00000000
-4.99149575,5.58326340,0.45123596,4.58377546,0.02736761,0.08116121,0.73456130,0.00000000
-4.98549275,5.55845493,0.43700845,4.57559729,0.02734799,0.07994319,0.72317919,0.00000000
-4.97948974,5.51622887,0.42220550,4.55224645,0.02718742,0.07852172,0.70989822,0.00000000
-4.97348674,5.45738556,0.40689611,4.51457747,0.02688752,0.07688989,0.69471445,0.00000000
-4.96748374,5.38311169,0.39115712,4.46379813,0.02645204,0.07504446,0.67765456,0.00000000
-4.96148074,5.29498005,0.37507484,4.40146234,0.02588684,0.07298652,0.65877920,0.00000000
-4.95547774,5.19493656,0.35874614,4.32945192,0.02519976,0.07072193,0.63818506,0.00000000
-4.94947474,5.08527453,0.34227872,4.24994767,0.02440041,0.06826164,0.61600536,0.00000000
-4.94347174,4.96859632,0.32579066,4.16538992,0.02350003,0.06562177,0.59240889,0.00000000
-4.93746873,4.84776348,0.30940920,4.07842961,0.02251122,0.06282342,0.56759750,0.00000000
-4.93146573,4.72583664,0.29326890,3.99187120,0.02144762,0.05989243,0.54180236,0.00000000
-4.92546273,4.60600714,0.27750913,3.90860899,0.02032371,0.05685884,0.51527897,0.00000000
-4.91945973,4.49152253,0.26227124,3.83155889,0.01915441,0.05375628,0.48830135,0.00000000
-4.91345673,4.38560862,0.24769545,3.76358785,0.01795484,0.05062124,0.46115557,0.00000000
-4.90745373,4.29139061,0.23391759,3.70744315,0.01673997,0.04749229,0.43413303,0.00000000
-4.90145073,4.21181620,0.22106606,3.66568404,0.01552440,0.04440928,0.40752369,0.00000000
-4.89544772,4.14958320,0.20925892,3.64061790,0.01432206,0.04141253,0.38160952,0.00000000
-4.88944472,4.10707423,0.19860146,3.63424322,0.01314602,0.03854203,0.35665854,0.00000000
-4.88344172,4.08630050,0.18918421,3.64820101,0.01200831,0.03583681,0.33291944,0.00000000
-4.87743872,4.08885652,0.18108155,3.68373642,0.01091976,0.03333426,0.31061719,0.00000000
-4.87143572,4.11588694,0.17435088,3.74167141,0.00988996,0.03106960,0.28994945,0.00000000
-4.86543272,4.16806615,0.16903247,3.82238933,0.00892713,0.02907549,0.27108403,0.00000000
-4.85942971,4.24559086,0.16514970,3.92583126,0.00803818,0.02738159,0.25415731,0.00000000
-4.85342671,4.34818510,0.16270997,4.05150385,0.00722868,0.02601431,0.23927354,0.00000000
-4.84742371,4.47511675,0.16170581,4.19849785,0.00650296,0.02499659,0.22650496,0.00000000
-4.84142071,4.62522422,0.16211630,4.36551579,0.00586413,0.02434770,0.21589257,0.00000000
-4.83541771,4.79695138,0.16390867,4.55090755,0.00531417,0.02408303,0.20744742,0.00000000
-4.82941471,4.98838898,0.16703975,4.75271163,0.00485407,0.02421402,0.20115235,0.00000000
-4.82341171,5.19732026,0.17145738,4.96870045,0.00448386,0.02474793,0.19696385,0.00000000
-4.81740870,5.42126892,0.17710155,5.19642764,0.00420274,0.02568769,0.19481415,0.00000000
-4.81140570,5.65754752,0.18390519,5.43327568,0.00400912,0.02703173,0.19461316,0.00000000
-4.80540270,5.90330486,0.19179463,5.67650221,0.00390070,0.02877378,0.19625051,0.00000000
-4.79939970,6.15557103,0.20068961,5.92328413,0.00387453,0.03090267,0.19959730,0.00000000
-4.79339670,6.41129968,0.21050304,6.17075854,0.00392700,0.03340217,0.20450784,0.00000000
-4.78739370,6.66740704,0.22114033,6.41606023,0.00405392,0.03625086,0.21082127,0.00000000
-4.78139070,6.92080798,0.23249871,6.65635596,0.00425046,0.03942204,0.21836307,0.00000000
-4.77538769,7.16844972,0.24446633,6.88887575,0.00451126,0.04288376,0.22694668,0.00000000
-4.76938469,7.40734380,0.25692155,7.11094198,0.00483036,0.04659896,0.23637522,0.00000000
-4.76338169,7.63459759,0.26973245,7.31999724,0.00520128,0.05052575,0.24644338,0.00000000
-4.75737869,7.84744605,0.28275679,7.51363157,0.00561706,0.05461788,0.25693968,0.00000000
-4.75137569,8.04328480,0.29584243,7.68961027,0.00607033,0.05882533,0.26764907,0.00000000
-4.74537269,8.21970500,0.30882859,7.84590248,0.00655343,0.06309514,0.27835591,0.00000000
-4.73936968,8.37453043,0.32154769,7.98071120,0.00705854,0.06737243,0.28884756,0.00000000
-4.73336668,8.50585654,0.33382817,8.09250439,0.00757788,0.07160155,0.29891821,0.00000000
-4.72736368,8.61209090,0.34549797,8.18004699,0.00810387,0.07572743,0.30837327,0.00000000
-4.72136068,8.69199402,0.35638891,8.24243269,0.00862944,0.07969698,0.31703398,0.00000000
-4.71535768,8.74471908,0.36634157,8.27911459,0.00914826,0.08346067,0.32474229,0.00000000
-4.70935468,8.76984889,0.37521074,8.28993298,0.00965502,0.08697400,0.33136579,0.00000000
-4.70335168,8.76742797,0.38287119,8.27513875,0.01014577,0.09019905,0.33680253,0.00000000
-4.69734867,8.73798789,0.38922341,8.23541064,0.01061813,0.09310588,0.34098564,0.00000000
-4.69134567,8.68256390,0.39419929,8.17186476,0.01107165,0.09567380,0.34388749,0.00000000
-4.68534267,8.60270093,0.39776725,8.08605479,0.01150800,0.09789243,0.34552329,0.00000000
-4.67933967,8.50044787,0.39993682,7.97996180,0.01193115,0.09976245,0.34595388,0.00000000
-4.67333667,8.37833894,0.40076213,7.85597295,0.01234755,0.10129614,0.34528775,0.00000000
-4.66733367,8.23936174,0.40034440,7.71684871,0.01276617,0.10251753,0.34368193,0.00000000
-4.66133067,8.08691220,0.39883307,7.56567890,0.01319849,0.10346218,0.34134183,0.00000000
-4.65532766,7.92473703,0.39642547,7.40582816,0.01365840,0.10417663,0.33851997,0.00000000
-4.64932466,7.75686486,0.39336499,7.24087216,0.01416203,0.10471753,0.33551341,0.00000000
-4.64332166,7.58752781,0.38993765,7.07452618,0.01472745,0.10515034,0.33266003,0.00000000
-4.63731866,7.42107545,0.38646719,6.91056781,0.01537430,0.10554784,0.33033350,0.00000000
-4.63131566,7.26188357,0.38330862,6.75275628,0.01612332,0.10598832,0.32893722,0.00000000
-4.62531266,7.11426018,0.38084039,6.60475050,0.01699582,0.10655358,0.32889694,0.00000000
-4.61930965,6.98235136,0.37945541,6.47002825,0.01801306,0.10732679,0.33065252,0.00000000
-4.61330665,6.87004935,0.37955098,6.35180880,0.01919557,0.10839025,0.33464856,0.00000000
-4.60730365,6.78090529,0.38151798,6.25298105,0.02056245,0.10982310,0.34132438,0.00000000
-4.60130065,6.71804861,0.38572953,6.17603890,0.02213059,0.11169909,0.35110321,0.00000000
-4.59529765,6.68411497,0.39252935,6.12302560,0.02391398,0.11408442,0.36438095,0.00000000
-4.58929465,6.68118412,0.40222031,6.09548798,0.02592292,0.11703566,0.38151475,0.00000000
-4.58329165,6.71072896,0.41505329,6.09444161,0.02816339,0.12059793,0.40281145,0.00000000
-4.57728864,6.77357649,0.43121686,6.12034721,0.03063644,0.12480324,0.42851642,0.00000000
-4.57128564,6.86988144,0.45082803,6.17309858,0.03333764,0.12966905,0.45880303,0.00000000
-4.56528264,6.99911261,0.47392453,6.25202193,0.03625675,0.13519723,0.49376294,0.00000000
-4.55927964,7.16005226,0.50045880,6.35588622,0.03937744,0.14137320,0.53339783,0.00000000
-4.55327664,7.35080848,0.53029420,6.48292427,0.04267731,0.14816550,0.57761273,0.00000000
-4.54727364,7.56884024,0.56320356,6.63086376,0.04612799,0.15552570,0.62621135,0.00000000
-4.54127064,7.81099499,0.59887029,6.79696778,0.04969552,0.16338869,0.67889369,0.00000000
-4.53526763,8.07355844,0.63689232,6.97808400,0.05334094,0.17167339,0.73525628,0.00000000
-4.52926463,8.35231588,0.67678881,7.17070193,0.05702105,0.18028384,0.79479507,0.00000000
-4.52326163,8.64262457,0.71800957,7.37101735,0.06068945,0.18911075,0.85691127,0.00000000
-4.51725863,8.93949634,0.75994708,7.57500316,0.06429769,0.19803344,0.92091997,0.00000000
-4.51125563,9.23768931,0.80195086,7.77848574,0.06779657,0.20692213,0.98606155,0.00000000
-4.50525263,9.53180743,0.84334370,7.97722565,0.07113759,0.21564062,1.05151559,0.00000000
-4.49924962,9.81640635,0.88343929,8.16700159,0.07427438,0.22404932,1.11641711,0.00000000
-4.49324662,10.08610351,0.92156074,8.34369609,0.07716419,0.23200839,1.17987445,0.00000000
-4.48724362,10.33569036,0.95705918,8.50338143,0.07976919,0.23938116,1.24098862,0.00000000
-4.48124062,10.56024411,0.98933192,8.64240387,0.08205778,0.24603756,1.29887326,0.00000000
-4.47523762,10.75523634,1.01783930,8.75746434,0.08400558,0.25185748,1.35267478,0.00000000
-4.46923462,10.91663548,1.04211974,8.84569351,0.08559622,0.25673407,1.40159204,0.00000000
-4.46323162,11.04100043,1.06180226,8.90471912,0.08682180,0.26057668,1.44489483,0.00000000
-4.45722861,11.12556225,1.07661603,8.93272350,0.08768313,0.26331345,1.48194075,0.00000000
-4.45122561,11.16829167,1.08639659,8.92848953,0.08818945,0.26489349,1.51218985,0.00000000
-4.44522261,11.16794971,1.09108855,8.89143330,0.08835802,0.26528842,1.53521670,0.00000000
-4.43921961,11.12412009,1.09074465,8.82162212,0.08821325,0.26449334,1.55071943,0.00000000
-4.43321661,11.03722184,1.08552137,8.71977722,0.08778563,0.26252714,1.55852564,0.00000000
-4.42721361,10.90850160,1.07567137,8.58726048,0.08711042,0.25943209,1.55859511,0.00000000
-4.42121061,10.74000576,1.06153307,8.42604559,0.08622615,0.25527283,1.55101906,0.00000000
-4.41520760,10.53453296,1.04351806,8.23867401,0.08517316,0.25013470,1.53601641,0.00000000
-4.40920460,10.29556846,1.02209686,8.02819708,0.08399191,0.24412150,1.51392702,0.00000000
-4.40320160,10.02720216,0.99778364,7.79810575,0.08272162,0.23735277,1.48520228,0.00000000
-4.39719860,9.73403277,0.97112073,7.55224992,0.08139878,0.22996079,1.45039339,0.00000000
-4.39119560,9.42106087,0.94266333,7.29474974,0.08005606,0.22208713,1.41013784,0.00000000
-4.38519260,9.09357399,0.91296523,7.02990118,0.07872133,0.21387926,1.36514434,0.00000000
-4.37918959,8.75702677,0.88256576,6.76207864,0.07741702,0.20548698,1.31617690,0.00000000
-4.37318659,8.41691964,0.85197862,6.49563703,0.07615970,0.19705903,1.26403831,0.00000000
-4.36718359,8.07867904,0.82168256,6.23481592,0.07495997,0.18873984,1.20955368,0.00000000
-4.36118059,7.74754223,0.79211421,5.98364811,0.07382266,0.18066659,1.15355422,0.00000000
-4.35517759,7.42844942,0.76366303,5.74587480,0.07274719,0.17296659,1.09686187,0.00000000
-4.34917459,7.12594574,0.73666818,5.52486913,0.07172817,0.16575509,1.04027495,0.00000000
-4.34317159,6.84409497,0.71141732,5.32356993,0.07075615,0.15913352,0.98455518,0.00000000
-4.33716858,6.58640688,0.68814684,5.14442676,0.06981846,0.15318822,0.93041628,0.00000000
-4.33116558,6.35577939,0.66704347,4.98935740,0.06890013,0.14798954,0.87851419,0.00000000
-4.32516258,6.15445649,0.64824679,4.85971839,0.06798475,0.14359151,0.82943921,0.00000000
