energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
4.06703352,4.52317743,0.19435299,0.86016741,0.65423890,0.33452476,2.30975984,1.32997577,1.86176724,0.00000000
4.07303652,4.49523363,0.19613583,0.85602478,0.66598980,0.32964673,2.30790049,1.32147127,1.85483192,0.00000000
4.07903952,4.46191988,0.19762798,0.84929731,0.67774749,0.32483677,2.30243526,1.31120764,1.84642239,0.00000000
4.08504252,4.42290425,0.19880235,0.83995602,0.68930030,0.32008243,2.29315450,1.29912277,1.83627190,0.00000000
4.09104552,4.37797197,0.19963373,0.82804156,0.70043077,0.31536848,2.27991689,1.28519199,1.82414108,0.00000000
4.09704852,4.32703421,0.20009911,0.81366319,0.71091897,0.31067803,2.26265440,1.26942951,1.80982446,0.00000000
4.10305153,4.27013111,0.20017796,0.79699517,0.72054616,0.30599361,2.24137380,1.25188812,1.79315545,0.00000000
4.10905453,4.20742944,0.19985252,0.77827069,0.72909868,0.30129802,2.21615516,1.23265718,1.77400968,0.00000000
4.11505753,4.13921538,0.19910805,0.75777382,0.73637201,0.29657506,2.18714737,1.21185928,1.75230701,0.00000000
4.12106053,4.06588348,0.19793306,0.73582978,0.74217514,0.29181017,2.15456122,1.18964584,1.72801227,0.00000000
4.12706353,3.98792277,0.19631963,0.71279409,0.74633492,0.28699082,2.11866064,1.16619188,1.70113506,0.00000000
4.13306653,3.90590115,0.19426368,0.68904119,0.74870043,0.28210700,2.07975267,1.14169063,1.67172891,0.00000000
4.13906953,3.82044913,0.19176525,0.66495292,0.74914727,0.27715146,2.03817690,1.11634801,1.63988985,0.00000000
4.14507254,3.73224401,0.18882885,0.64090755,0.74758150,0.27212005,1.99429496,1.09037760,1.60575473,0.00000000
4.15107554,3.64199507,0.18546374,0.61726959,0.74394307,0.26701197,1.94848055,1.06399611,1.56949928,0.00000000
4.15707854,3.55043055,0.18168422,0.59438102,0.73820873,0.26182999,1.90111066,1.03741970,1.53133600,0.00000000
4.16308154,3.45828656,0.17750981,0.57255389,0.73039399,0.25658073,1.85255814,1.01086112,1.49151185,0.00000000
4.16908454,3.36629813,0.17296545,0.55206474,0.72055415,0.25127478,1.80318585,0.98452776,1.45030560,0.00000000
4.17508754,3.27519212,0.16808144,0.53315074,0.70878427,0.24592689,1.75334252,0.95862035,1.40802489,0.00000000
4.18109055,3.18568175,0.16289341,0.51600753,0.69521787,0.24055596,1.70336032,0.93333248,1.36500266,0.00000000
4.18709355,3.09846238,0.15744204,0.50078874,0.68002449,0.23518503,1.65355380,0.90885044,1.32159309,0.00000000
4.19309655,3.01420798,0.15177265,0.48760683,0.66340600,0.22984107,1.60422021,0.88535333,1.27816671,0.00000000
4.19909955,2.93356779,0.14593472,0.47653524,0.64559183,0.22455464,1.55564083,0.86301330,1.23510496,0.00000000
4.20510255,2.85716297,0.13998115,0.46761136,0.62683333,0.21935943,1.50808301,0.84199555,1.19279389,0.00000000
4.21110555,2.78558278,0.13396748,0.46084022,0.60739725,0.21429164,1.46180267,0.82245819,1.15161744,0.00000000
4.21710855,2.71938022,0.12795104,0.45619862,0.58755891,0.20938921,1.41704702,0.80455171,1.11195025,0.00000000
4.22311156,2.65906715,0.12198992,0.45363934,0.56759504,0.20469099,1.37405717,0.78841798,1.07415029,0.00000000
