energy_ev,total_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-4.78139070,0.94751131,0.40161240,0.24472208,0.30573264,0.06445122,0.00000052,0.06138709,0.00000052,0.69235426
-4.77538769,0.96918172,0.41505874,0.24645036,0.31816898,0.06563039,0.00000069,0.06390575,0.00000037,0.70988568
-4.76938469,0.98850221,0.42742381,0.24761158,0.32990775,0.06662348,0.00000093,0.06631726,0.00000027,0.72564547
-4.76338169,1.00535783,0.43859893,0.24822221,0.34080643,0.06744863,0.00000123,0.06858889,0.00000020,0.73952518
-4.75737869,1.01965639,0.44848764,0.24830139,0.35072447,0.06813124,0.00000162,0.07068702,0.00000016,0.75143284
-4.75137569,1.03132871,0.45700672,0.24786985,0.35952572,0.06870379,0.00000213,0.07257769,0.00000015,0.76129330
-4.74537269,1.04032993,0.46408754,0.24694939,0.36708126,0.06920562,0.00000277,0.07422738,0.00000014,0.76904925
-4.73936968,1.04664176,0.46967756,0.24556265,0.37327278,0.06968258,0.00000357,0.07560382,0.00000016,0.77466285
-4.73336668,1.05027554,0.47374200,0.24373337,0.37799617,0.07018664,0.00000458,0.07667701,0.00000018,0.77811788
-4.72736368,1.05127580,0.47626561,0.24148696,0.38116520,0.07077542,0.00000582,0.07742018,0.00000022,0.77942215
-4.72136068,1.04972384,0.47725420,0.23885117,0.38271519,0.07151157,0.00000735,0.07781081,0.00000027,0.77860994
-4.71535768,1.04574091,0.47673597,0.23585704,0.38260634,0.07246202,0.00000922,0.07783160,0.00000034,0.77574417
-4.70935468,1.03949045,0.47476229,0.23253961,0.38082652,0.07369711,0.00001149,0.07747126,0.00000042,0.77091790
-4.70335168,1.03117899,0.47140787,0.22893860,0.37739327,0.07528942,0.00001420,0.07672520,0.00000052,0.76425490
-4.69734867,1.02105506,0.46677006,0.22509876,0.37235500,0.07731244,0.00001743,0.07559596,0.00000063,0.75590894
-4.69134567,1.00940606,0.46096727,0.22106977,0.36579094,0.07983899,0.00002123,0.07409344,0.00000077,0.74606171
-4.68534267,0.99655276,0.45413634,0.21690576,0.35781000,0.08293929,0.00002569,0.07223482,0.00000093,0.73491915
