energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-5.05752876,5.80159672,0.02293987,0.36028270,1.43022201,0.50182238,1.99373928,2.78213221,1.90214941,0.00000000
-5.05152576,6.01611301,0.02355110,0.36334836,1.48936110,0.52485219,2.05407065,2.87592885,1.99409429,0.00000000
-5.04552276,6.22918959,0.02416900,0.36594152,1.54671972,0.54829590,2.11241824,2.96970043,2.08588727,0.00000000
-5.03951976,6.43888348,0.02478395,0.36805128,1.60147022,0.57194039,2.16794321,3.06279154,2.17649929,0.00000000
-5.03351676,6.64333708,0.02538706,0.36968183,1.65283291,0.59557100,2.21986941,3.15458176,2.26491932,0.00000000
-5.02751376,6.84083265,0.02597053,0.37085203,1.70010067,0.61897746,2.26750675,3.24450525,2.35018207,0.00000000
-5.02151076,7.02984317,0.02652788,0.37159462,1.74266183,0.64195963,2.31027249,3.33206912,2.43139464,0.00000000
-5.01550775,7.20907727,0.02705422,0.37195490,1.78002027,0.66433274,2.34770952,3.41686963,2.50776061,0.00000000
-5.00950475,7.37751625,0.02754641,0.37198916,1.81181171,0.68593195,2.37950094,3.49860546,2.57860072,0.00000000
-5.00350175,7.53444131,0.02800310,0.37176281,1.83781536,0.70661614,2.40548025,3.57708740,2.64336930,0.00000000
-4.99749875,7.67944980,0.02842474,0.37134832,1.85796044,0.72627064,2.42563669,3.65224387,2.70166557,0.00000000
-4.99149575,7.81245981,0.02881350,0.37082311,1.87232698,0.74480892,2.44011567,3.72412193,2.75323974,0.00000000
-4.98549275,7.93370290,0.02917305,0.37026737,1.88114120,0.76217318,2.44921416,3.79288374,2.79799346,0.00000000
-4.97948974,8.04370540,0.02950829,0.36976208,1.88476539,0.77833390,2.45337120,3.85879848,2.83597511,0.00000000
-4.97348674,8.14325939,0.02982505,0.36938709,1.88368299,0.79328840,2.45315422,3.92223001,2.86737016,0.00000000
-4.96748374,8.23338460,0.03012974,0.36921947,1.87847958,0.80705854,2.44924137,3.98362090,2.89248730,0.00000000
-4.96148074,8.31528330,0.03042886,0.36933213,1.86982061,0.81968770,2.44240089,4.04347327,2.91174128,0.00000000
-4.95547774,8.39029018,0.03072871,0.36979263,1.85842710,0.83123738,2.43346815,4.10232743,2.92563331,0.00000000
-4.94947474,8.45981945,0.03103492,0.37066233,1.84505029,0.84178332,2.42332122,4.16073904,2.93473019,0.00000000
-4.94347174,8.52531147,0.03135214,0.37199569,1.83044648,0.85141167,2.41285585,4.21925570,2.93964303,0.00000000
-4.93746873,8.58818112,0.03168372,0.37383989,1.81535305,0.86021522,2.40296061,4.27839395,2.94100666,0.00000000
-4.93146573,8.64976960,0.03203153,0.37623443,1.80046656,0.86828979,2.39449297,4.33861737,2.93946048,0.00000000
-4.92546273,8.71130157,0.03239576,0.37921098,1.78642389,0.87573109,2.38825690,4.40031667,2.93563137,0.00000000
-4.91945973,8.77384862,0.03277495,0.38279322,1.77378674,0.88263206,2.38498250,4.46379233,2.93011929,0.00000000
-4.91345673,8.83830001,0.03316596,0.38699664,1.76303001,0.88908065,2.38530820,4.52924028,2.92348560,0.00000000
-4.90745373,8.90534122,0.03356411,0.39182840,1.75453424,0.89515822,2.38976560,4.59674111,2.91624437,0.00000000
-4.90145073,8.97544012,0.03396343,0.39728712,1.74858183,0.90093840,2.39876737,4.66625291,2.90885650,0.00000000
-4.89544772,9.04884082,0.03435684,0.40336258,1.74535706,0.90648647,2.41259824,4.73760795,2.90172630,0.00000000
-4.88944472,9.12556448,0.03473655,0.41003548,1.74494932,0.91185910,2.43140910,4.81051315,2.89520036,0.00000000
-4.88344172,9.20541656,0.03509431,0.41727714,1.74735923,0.91710440,2.45521438,4.88455424,2.88956810,0.00000000
-4.87743872,9.28799954,0.03542183,0.42504931,1.75250688,0.92226221,2.48389244,4.95920342,2.88506367,0.00000000
