energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
0.80140070,4.10031601,-2.24266058,0.73740815,-0.30747028,1.71441476,-1.51855833,0.03322877,-0.03147234,0.83792908,-0.12768163,0.12086854,-0.01372025,0.57165218,-0.23113542,0.89335357,-0.43525492,0.00372595,-0.00232765
0.80740370,4.16865119,-2.25788176,0.73924344,-0.30608928,1.74965464,-1.52208102,0.03365350,-0.03252413,0.86896763,-0.12618375,0.12061388,-0.01395278,0.56642683,-0.22865029,0.90801672,-0.44773025,0.00377275,-0.00242755
0.81340670,4.23255909,-2.28024595,0.73965675,-0.30536426,1.78320427,-1.53105383,0.03387622,-0.03366029,0.90013201,-0.12449218,0.11981811,-0.01427475,0.56058897,-0.22714937,0.91950162,-0.46159320,0.00382024,-0.00253212
0.81940970,4.29090375,-2.30903656,0.73849222,-0.30524049,1.81451470,-1.54488563,0.03389395,-0.03487344,0.93099669,-0.12264978,0.11848926,-0.01469066,0.55412789,-0.22663875,0.92761454,-0.47670872,0.00386715,-0.00264036
0.82541271,4.34244319,-2.34357564,0.73559590,-0.30566518,1.84298612,-1.56300569,0.03370765,-0.03615724,0.96108478,-0.12070591,0.11664202,-0.01520570,0.54702327,-0.22712211,0.93219781,-0.49295945,0.00391203,-0.00275137
0.83141571,4.38586191,-2.38325170,0.73082358,-0.30659098,1.86798260,-1.58488561,0.03332216,-0.03750694,0.98987817,-0.11871503,0.11429745,-0.01582605,0.53924693,-0.22860088,0.93313492,-0.51025055,0.00395331,-0.00286432
0.83741871,4.41980961,-2.42754271,0.72404849,-0.30797870,1.88884979,-1.61005827,0.03274610,-0.03891983,1.01683009,-0.11673509,0.11148251,-0.01655908,0.53076517,-0.23107409,0.93035510,-0.52851307,0.00398934,-0.00297853
0.84342171,4.44294457,-2.47603323,0.71516855,-0.30979939,1.90493496,-1.63813279,0.03199165,-0.04039562,1.04137964,-0.11482582,0.10822964,-0.01741346,0.52154141,-0.23453800,0.92383716,-0.54770557,0.00401843,-0.00309346
0.84942471,4.45398024,-2.52842488,0.70411284,-0.31203546,1.91560849,-1.66880499,0.03107417,-0.04193666,1.06296798,-0.11304690,0.10457620,-0.01839919,0.51153915,-0.23898539,0.91361244,-0.56781397,0.00403896,-0.00320875
0.85542771,4.45173292,-2.58453939,0.69084692,-0.31468091,1.92028614,-1.70186267,0.03001184,-0.04354805,1.08105526,-0.11145609,0.10056385,-0.01952758,0.50072521,-0.24440473,0.89976675,-0.58884943,0.00404938,-0.00332417
0.86143072,4.43516887,-2.64431402,0.67537678,-0.31774049,1.91845100,-1.73718561,0.02882517,-0.04523748,1.09513791,-0.11010743,0.09623788,-0.02081100,0.48907291,-0.25077907,0.88244106,-0.61084444,0.00404834,-0.00343967
0.86743372,4.40344853,-2.70778908,0.65775135,-0.32122796,1.90967427,-1.77473982,0.02753647,-0.04701504,1.10476548,-0.10904952,0.09164650,-0.02226257,0.47656521,-0.25808484,0.86183099,-0.63384706,0.00403465,-0.00355533
0.87343672,4.35596610,-2.77508811,0.63806328,-0.32516347,1.89363390,-1.81456638,0.02616931,-0.04889265,1.10955631,-0.10832387,0.08684005,-0.02389569,0.46319772,-0.26629062,0.83818490,-0.65791360,0.00400741,-0.00367134
0.87943972,4.29238255,-2.84639102,0.61644823,-0.32957018,1.87013029,-1.85676513,0.02474799,-0.05088346,1.10921135,-0.10796348,0.08187014,-0.02572346,0.44898116,-0.27535576,0.81180071,-0.68310003,0.00396601,-0.00378793
0.88544272,4.21265054,-2.92190158,0.59308248,-0.33447031,1.83909822,-1.90147370,0.02329695,-0.05300093,1.10352565,-0.10799162,0.07678885,-0.02775793,0.43394354,-0.28522911,0.78302142,-0.70945244,0.00391016,-0.00390539
0.89144572,4.11703006,-3.00181036,0.56817918,-0.33988090,1.80061450,-1.94884296,0.02184032,-0.05525787,1.09239684,-0.10842083,0.07164778,-0.03000931,0.41813152,-0.29584778,0.75222938,-0.73699702,0.00383988,-0.00402395
0.89744872,4.00609390,-3.08625494,0.54198335,-0.34580941,1.75490089,-1.99900978,0.02040137,-0.05766532,1.07583036,-0.10925220,0.06649726,-0.03248508,0.40161121,-0.30713608,0.71983962,-0.76573003,0.00375559,-0.00414379
0.90345173,3.88072249,-3.17527935,0.51476588,-0.35224958,1.70232220,-2.05206853,0.01900215,-0.06023133,1.05394109,-0.11047495,0.06138545,-0.03518907,0.38446814,-0.31900462,0.68629211,-0.79560836,0.00365798,-0.00426495
