energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Na_s_up,S_s_up,S_p_up
-5.18959480,4.11417004,0.04028553,0.23344853,2.30834806,1.46854704,0.09761878,0.08244535,1.95109215
-5.18359180,4.10216622,0.04021887,0.21935599,2.28619131,1.47243670,0.09077382,0.08083298,1.95201705
-5.17758879,4.09096622,0.04007795,0.20815732,2.27377310,1.47706728,0.08427332,0.07918487,1.94985904
-5.17158579,4.08013062,0.03985894,0.19989091,2.27193568,1.48215282,0.07816365,0.07748736,1.94432688
-5.16558279,4.06950425,0.03955956,0.19460760,2.28177832,1.48751403,0.07247888,0.07572861,1.93525319
-5.15957979,4.05924291,0.03917931,0.19237213,2.30464157,1.49309134,0.06724141,0.07389933,1.92260891
-5.15357679,4.04982479,0.03871961,0.19326297,2.34207629,1.49895199,0.06246304,0.07199351,1.90651192
-5.14757379,4.04204457,0.03818379,0.19737060,2.39579744,1.50529013,0.05814624,0.07000886,1.88722893
-5.14157079,4.03698945,0.03757704,0.20479394,2.46762295,1.51241980,0.05428561,0.06794720,1.86517025
-5.13556778,4.03599710,0.03690623,0.21563501,2.55939910,1.52076055,0.05086936,0.06581454,1.84087735
-5.12956478,4.04059655,0.03617964,0.22999189,2.67291424,1.53081624,0.04788078,0.06362097,1.81500337
-5.12356178,4.05243406,0.03540661,0.24795008,2.80980349,1.54314778,0.04529953,0.06138033,1.78828756
-5.11755878,4.07318696,0.03459713,0.26957270,2.97144774,1.55834081,0.04310280,0.05910973,1.76152445
-5.11155578,4.10446911,0.03376145,0.29488977,3.15887058,1.57696994,0.04126629,0.05682880,1.73552942
-5.10555278,4.14773240,0.03290958,0.32388708,3.37263758,1.59956114,0.03976486,0.05455895,1.71110214
-5.09954977,4.20416899,0.03205096,0.35649524,3.61276222,1.62655405,0.03857305,0.05232245,1.68898971
-5.09354677,4.27461940,0.03119401,0.39257945,3.87862332,1.65826630,0.03766537,0.05014156,1.66985144
-5.08754377,4.35949111,0.03034589,0.43193060,4.16889824,1.69486160,0.03701640,0.04803763,1.65422697
-5.08154077,4.45869253,0.02951221,0.47425835,4.48151641,1.73632342,0.03660075,0.04603040,1.64250951
-5.07553777,4.57158610,0.02869693,0.51918674,4.81363661,1.78243584,0.03639295,0.04413726,1.63492554
-5.06953477,4.69696384,0.02790229,0.56625281,5.16165139,1.83277271,0.03636730,0.04237284,1.63152224
-5.06353177,4.83304763,0.02712885,0.61490872,5.52122026,1.88669621,0.03649770,0.04074867,1.63216318
-5.05752876,4.97751520,0.02637560,0.66452739,5.88733292,1.94336502,0.03675750,0.03927313,1.63653280
-5.05152576,5.12755174,0.02564016,0.71441205,6.25440193,2.00175229,0.03711947,0.03795151,1.64414950
-5.04552276,5.27992574,0.02491899,0.76380933,6.61638323,2.06067277,0.03755583,0.03678636,1.65438672
-5.03951976,5.43108631,0.02420775,0.81192576,6.96692130,2.11881825,0.03803839,0.03577792,1.66650113
