energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-4.72736368,1.52087096,0.04313629,0.03679622,0.56858449,0.54704148,0.21223012,0.20695782,0.02508438,0.72933753
-4.72136068,1.50675924,0.04539687,0.03512701,0.55761965,0.54318236,0.20848765,0.20883686,0.02516869,0.70803417
-4.71535768,1.49334782,0.04757527,0.03343994,0.54789476,0.53970852,0.20429458,0.21042977,0.02519811,0.68777171
-4.70935468,1.48086515,0.04964479,0.03175949,0.53960849,0.53666785,0.19972100,0.21172858,0.02517356,0.66884848
-4.70335168,1.46957438,0.05157889,0.03011024,0.53294068,0.53412729,0.19484400,0.21273481,0.02509923,0.65157319
-4.69734867,1.45975917,0.05335192,0.02851633,0.52804558,0.53216710,0.18974548,0.21345878,0.02498227,0.63625306
-4.69134567,1.45170880,0.05493982,0.02700087,0.52504602,0.53087468,0.18450982,0.21391862,0.02483247,0.62318176
-4.68534267,1.44570328,0.05632097,0.02558542,0.52402859,0.53033817,0.17922174,0.21413913,0.02466174,0.61262756
-4.67933967,1.44199925,0.05747694,0.02428953,0.52504014,0.53064027,0.17396421,0.21415051,0.02448357,0.60482226
-4.67333667,1.44081729,0.05839335,0.02313030,0.52808572,0.53185262,0.16881669,0.21398706,0.02431236,0.59995142
-4.66733367,1.44233121,0.05906052,0.02212207,0.53312813,0.53403085,0.16385355,0.21368588,0.02416278,0.59814630
