energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
3.26863432,2.22969811,0.04668536,0.10860476,0.10519320,0.18323797,0.39498743,1.11863801,0.28326557,0.55005238
3.27463732,2.27545807,0.04743722,0.11192209,0.10642895,0.18786933,0.39981860,1.14838596,0.29081798,0.55174133
3.28064032,2.31685332,0.04788427,0.11509881,0.10698777,0.19232869,0.40339907,1.17608991,0.29837416,0.55346455
3.28664332,2.35270284,0.04801457,0.11806935,0.10685612,0.19650003,0.40554602,1.20115436,0.30576909,0.55485613
3.29264632,2.38201632,0.04782315,0.12077528,0.10603679,0.20027797,0.40611915,1.22306382,0.31285292,0.55560163
3.29864932,2.40401071,0.04731214,0.12316612,0.10454880,0.20356954,0.40502294,1.24139172,0.31949203,0.55544359
3.30465233,2.41811956,0.04649067,0.12519985,0.10242681,0.20629555,0.40220744,1.25580605,0.32556961,0.55418483
3.31065533,2.42399512,0.04537445,0.12684314,0.09971993,0.20839142,0.39766763,1.26607191,0.33098589,0.55168973
3.31665833,2.42150387,0.04398526,0.12807140,0.09649004,0.20980767,0.39144142,1.27205113,0.33565804,0.54788343
3.32266133,2.41071608,0.04235016,0.12886859,0.09280978,0.21051002,0.38360657,1.27369928,0.33951995,0.54274947
3.32866433,2.39189051,0.04050063,0.12922684,0.08876012,0.21047912,0.37427660,1.27106036,0.34252190,0.53632583
3.33466733,2.36545530,0.03847151,0.12914599,0.08442778,0.20971011,0.36359616,1.26425982,0.34463034,0.52869992
3.34067034,2.33198613,0.03629998,0.12863293,0.07990257,0.20821191,0.35173594,1.25349615,0.34582764,0.52000280
3.34667334,2.29218285,0.03402447,0.12770100,0.07527464,0.20600648,0.33888743,1.23903168,0.34611196,0.51040288
3.35267634,2.24684560,0.03168358,0.12636923,0.07063200,0.20312788,0.32525786,1.22118280,0.34549732,0.50009944
3.35867934,2.19685130,0.02931514,0.12466167,0.06605805,0.19962139,0.31106534,1.20031016,0.34401352,0.48931634
3.36468234,2.14313123,0.02695529,0.12260664,0.06162960,0.19554256,0.29653457,1.17680892,0.34170620,0.47829601
3.37068534,2.08665031,0.02463777,0.12023611,0.05741510,0.19095624,0.28189302,1.15109943,0.33863673,0.46729389
3.37668834,2.02838832,0.02239332,0.11758500,0.05347335,0.18593563,0.26736778,1.12361840,0.33488186,0.45657358
3.38269135,1.96932343,0.02024928,0.11469055,0.04985257,0.18056128,0.25318305,1.09481060,0.33053309,0.44640256
3.38869435,1.91041781,0.01822927,0.11159174,0.04658994,0.17492004,0.23955814,1.06512127,0.32569566,0.43704861
3.39469735,1.85260539,0.01635317,0.10832870,0.04371153,0.16910391,0.22670607,1.03498903,0.32048707,0.42877684
3.40070035,1.79678161,0.01463709,0.10494211,0.04123261,0.16320879,0.21483244,1.00483953,0.31503506,0.42184722
3.40670335,1.74379469,0.01309359,0.10147272,0.03915830,0.15733319,0.20413471,0.97507959,0.30947519,0.41651252
