energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
1.47373687,0.59952997,0.02111472,0.02745242,0.21222444,0.08148819,0.01421292,0.10768694,0.24949118,0.32305306
1.47973987,0.59545125,0.02113690,0.02454349,0.20277293,0.07641574,0.01341033,0.10605291,0.27162973,0.32770698
1.48574287,0.60246062,0.02149332,0.02217865,0.19615636,0.07257768,0.01286380,0.10612858,0.30022722,0.33876205
1.49174587,0.62108110,0.02220501,0.02032842,0.19254861,0.06999591,0.01257512,0.10802964,0.33560377,0.35660346
1.49774887,0.65176253,0.02328786,0.01896732,0.19208797,0.06868510,0.01254534,0.11185390,0.37804054,0.38157395
1.50375188,0.69486211,0.02475196,0.01807381,0.19487413,0.06865178,0.01277463,0.11767847,0.42776232,0.41396024
1.50975488,0.75062423,0.02660095,0.01763026,0.20096554,0.06989371,0.01326209,0.12555690,0.48491910,0.45397861
1.51575788,0.81916012,0.02883139,0.01762285,0.21037711,0.07239915,0.01400551,0.13551647,0.54956750,0.50176018
1.52176088,0.90042807,0.03143227,0.01804147,0.22307835,0.07614629,0.01500120,0.14755561,0.62165272,0.55733630
1.52776388,0.99421509,0.03438458,0.01887955,0.23899196,0.08110280,0.01624372,0.16164165,0.70099207,0.62062466
1.53376688,1.10012097,0.03766105,0.02013402,0.25799294,0.08722555,0.01772571,0.17770891,0.78726094,0.69141676
1.53976988,1.21754569,0.04122610,0.02180513,0.27990840,0.09446045,0.01943767,0.19565742,0.87998236,0.76936756
1.54577289,1.34568136,0.04503597,0.02389632,0.30451816,0.10274257,0.02136783,0.21535220,0.97852080,0.85398794
1.55177589,1.48350946,0.04903917,0.02641402,0.33155625,0.11199650,0.02350208,0.23662347,1.08208122,0.94464082
1.55777889,1.62980434,0.05317710,0.02936742,0.36071350,0.12213689,0.02582391,0.25926775,1.18971389,1.04054145
1.56378189,1.78314353,0.05738510,0.03276817,0.39164123,0.13306938,0.02831446,0.28305001,1.30032541,1.14076252
1.56978489,1.94192514,0.06159363,0.03662991,0.42395612,0.14469167,0.03095269,0.30770685,1.41269597,1.24424435
