energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-0.08704352,0.38062254,0.16616101,0.03032450,0.00258946,0.04006911,0.00581037,0.14141886,0.03806186,0.17620310
-0.08104052,0.41486183,0.18527526,0.03292502,0.00309789,0.04315368,0.00670631,0.15469617,0.04244955,0.19062322
-0.07503752,0.44983858,0.20573138,0.03554604,0.00367959,0.04617268,0.00770668,0.16836220,0.04717531,0.20507164
-0.06903452,0.48533759,0.22752136,0.03816406,0.00433922,0.04908445,0.00881684,0.18233709,0.05225207,0.21943864
-0.06303152,0.52114859,0.25062245,0.04075558,0.00508045,0.05184779,0.01004096,0.19653779,0.05769317,0.23362746
-0.05702851,0.55707338,0.27499502,0.04329764,0.00590572,0.05442324,0.01138168,0.21087970,0.06351228,0.24755983
-0.05102551,0.59293224,0.30058013,0.04576850,0.00681592,0.05677417,0.01283977,0.22527821,0.06972315,0.26118110
-0.04502251,0.62856942,0.32729715,0.04814811,0.00781014,0.05886791,0.01441379,0.23965000,0.07633926,0.27446457
-0.03901951,0.66385728,0.35504126,0.05041859,0.00888537,0.06067671,0.01609979,0.25391408,0.08337333,0.28741483
-0.03301651,0.69869877,0.38368120,0.05256461,0.01003638,0.06217849,0.01789101,0.26799245,0.09083661,0.30006971
-0.02701351,0.73302802,0.41305733,0.05457354,0.01125549,0.06335751,0.01977770,0.28181047,0.09873815,0.31250068
-0.02101051,0.76680906,0.44298026,0.05643558,0.01253255,0.06420463,0.02174699,0.29529685,0.10708376,0.32481151
-0.01500750,0.80003253,0.47323031,0.05814373,0.01385492,0.06471748,0.02378282,0.30838336,0.11587508,0.33713512
-0.00900450,0.83271053,0.50355778,0.05969356,0.01520757,0.06490025,0.02586606,0.32100428,0.12510837,0.34962863
-0.00300150,0.86486997,0.53368451,0.06108300,0.01657330,0.06476338,0.02797468,0.33309576,0.13477342,0.36246659
0.00300150,0.89654457,0.56330663,0.06231190,0.01793305,0.06432290,0.03008407,0.34459505,0.14485239,0.37583284
0.00900450,0.92776606,0.59209860,0.06338164,0.01926628,0.06359969,0.03216752,0.35543984,0.15531873,0.38991102
0.01500750,0.95855496,0.61971866,0.06429467,0.02055147,0.06261856,0.03419672,0.36556773,0.16613621,0.40487427
0.02101051,0.98891154,0.64581546,0.06505400,0.02176672,0.06140725,0.03614248,0.37491589,0.17725810,0.42087450
0.02701351,1.01880735,0.67003574,0.06566282,0.02289029,0.05999540,0.03797540,0.38342106,0.18862657,0.43803177
0.03301651,1.04817785,0.69203289,0.06612408,0.02390133,0.05841356,0.03966673,0.39101986,0.20017232,0.45642418
0.03901951,1.07691665,0.71147600,0.06644017,0.02478047,0.05669215,0.04118910,0.39764939,0.21181452,0.47607895
0.04502251,1.10487155,0.72805902,0.06661275,0.02551048,0.05486070,0.04251739,0.40324822,0.22346104,0.49696506
