energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
4.28914457,3.80995876,0.42178197,0.62514000,0.44728400,0.01661419,2.03995399,0.11101577,0.30604780,0.70695006
4.29514757,3.93362351,0.42503537,0.65107226,0.47257204,0.01690252,2.13277383,0.11323061,0.31353478,0.73056835
4.30115058,4.04375758,0.42535599,0.67555800,0.49818463,0.01710230,2.22133904,0.11498588,0.31960901,0.75140910
4.30715358,4.13933157,0.42273959,0.69832341,0.52380039,0.01721295,2.30478496,0.11627741,0.32416993,0.76931477
4.31315658,4.21961546,0.41724515,0.71912244,0.54909519,0.01723589,2.38235890,0.11710928,0.32714737,0.78418621
4.31915958,4.28418384,0.40899277,0.73773895,0.57374611,0.01717443,2.45343407,0.11749307,0.32850206,0.79598330
4.32516258,4.33291284,0.39815931,0.75398828,0.59743576,0.01703369,2.51752079,0.11744686,0.32822531,0.80472386
4.33116558,4.36596941,0.38497224,0.76771841,0.61985715,0.01682038,2.57427471,0.11699412,0.32633779,0.81048094
4.33716858,4.38379398,0.36970183,0.77881074,0.64071897,0.01654256,2.62350170,0.11616263,0.32288761,0.81337884
4.34317159,4.38707731,0.35265211,0.78718059,0.65975112,0.01620943,2.66515932,0.11498331,0.31794778,0.81358782
4.34917459,4.37673279,0.33415106,0.79277744,0.67671038,0.01583103,2.69935444,0.11348918,0.31161318,0.81131797
4.35517759,4.35386493,0.31454033,0.79558503,0.69138589,0.01541790,2.72633696,0.11171437,0.30399731,0.80681233
4.36118059,4.31973520,0.29416505,0.79562109,0.70360417,0.01498084,2.74648940,0.10969333,0.29522873,0.80033956
4.36718359,4.27572593,0.27336419,0.79293683,0.71323344,0.01453060,2.76031235,0.10746013,0.28544758,0.79218627
4.37318659,4.22330285,0.25246162,0.78761599,0.72018689,0.01407760,2.76840583,0.10504795,0.27480209,0.78264935
4.37918959,4.16397721,0.23175839,0.77977337,0.72442461,0.01363166,2.77144683,0.10248864,0.26344528,0.77202827
4.38519260,4.09926756,0.21152638,0.76955279,0.72595410,0.01320185,2.77016342,0.09981248,0.25153188,0.76061755
4.39119560,4.03066219,0.19200346,0.75712433,0.72482904,0.01279621,2.76530609,0.09704801,0.23921550,0.74869962
4.39719860,3.95958244,0.17339020,0.74268087,0.72114648,0.01242168,2.75761728,0.09422181,0.22664612,0.73653801
4.40320160,3.88734782,0.15584823,0.72643397,0.71504238,0.01208391,2.74780008,0.09135850,0.21396787,0.72437106
4.40920460,3.81514345,0.13950004,0.70860903,0.70668574,0.01178722,2.73648747,0.08848059,0.20131708,0.71240640
4.41520760,3.74399097,0.12443018,0.68944007,0.69627152,0.01153453,2.72421351,0.08560842,0.18882068,0.70081603
4.42121061,3.67472367,0.11068760,0.66916413,0.68401280,0.01132736,2.71138790,0.08276002,0.17659480,0.68973258
4.42721361,3.60796706,0.09828908,0.64801565,0.67013251,0.01116581,2.69827551,0.07995103,0.16474366,0.67924651
4.43321661,3.54412582,0.08722328,0.62622109,0.65485525,0.01104865,2.68498199,0.07719452,0.15335875,0.66940464
4.43921961,3.48337814,0.07745538,0.60399402,0.63839952,0.01097336,2.67144681,0.07450095,0.14251813,0.66021016
4.44522261,3.42567810,0.06893207,0.58153103,0.62097097,0.01093627,2.65744431,0.07187803,0.13228614,0.65162408
4.45122561,3.37076681,0.06158661,0.55900868,0.60275688,0.01093266,2.64259329,0.06933078,0.12271325,0.64356837
4.45722861,3.31819212,0.05534380,0.53658165,0.58392222,0.01095693,2.62637509,0.06686153,0.11383619,0.63593068
4.46323162,3.26733697,0.05012483,0.51438232,0.56460742,0.01100277,2.60815942,0.06447010,0.10567838,0.62857056
4.46923462,3.21745533,0.04585177,0.49252164,0.54492801,0.01106338,2.58723727,0.06215409,0.09825060,0.62132716
4.47523762,3.16771486,0.04245157,0.47109145,0.52497593,0.01113166,2.56285913,0.05990922,0.09155196,0.61402802
4.48124062,3.11724437,0.03985973,0.45016792,0.50482250,0.01120047,2.53427696,0.05772983,0.08557112,0.60649878
4.48724362,3.06518443,0.03802329,0.42981608,0.48452267,0.01126280,2.50078770,0.05560946,0.08028772,0.59857327
4.49324662,3.01073875,0.03690338,0.41009499,0.46412029,0.01131206,2.46177623,0.05354145,0.07567410,0.59010384
4.49924962,2.95322410,0.03647716,0.39106332,0.44365399,0.01134225,2.41675558,0.05151961,0.07169713,0.58097109
4.50525263,2.89211642,0.03673913,0.37278498,0.42316329,0.01134820,2.36540221,0.04953891,0.06832011,0.57109296
4.51125563,2.82709091,0.03770193,0.35533436,0.40269452,0.01132573,2.30758473,0.04759610,0.06550483,0.56043243
4.51725863,2.75805425,0.03939652,0.33880103,0.38230621,0.01127181,2.24338449,0.04569025,0.06321349,0.54900370
4.52326163,2.68516726,0.04187176,0.32329330,0.36207368,0.01118468,2.17310713,0.04382326,0.06141058,0.53687628
4.52926463,2.60885706,0.04519337,0.30894076,0.34209250,0.01106391,2.09728447,0.04200014,0.06006454,0.52417704
4.53526763,2.52981797,0.04944240,0.29589526,0.32248078,0.01091047,2.01666690,0.04022923,0.05914918,0.51108989
