energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-2.15207604,5.56938401,0.01937564,0.20959527,0.30490723,4.54907518,0.24420537,0.36253073,0.32368789,0.00000000
-2.14607304,5.46465719,0.01902945,0.20555253,0.30162863,4.43364644,0.24523982,0.37052041,0.31673864,0.00000000
-2.14007004,5.37653427,0.01885764,0.20200562,0.29972992,4.33176895,0.24667154,0.37947542,0.31166059,0.00000000
-2.13406703,5.30522681,0.01886927,0.19894829,0.29920359,4.24412513,0.24843782,0.38914509,0.30848406,0.00000000
-2.12806403,5.25052691,0.01907365,0.19635148,0.30003020,4.17103689,0.25045945,0.39926088,0.30721450,0.00000000
-2.12206103,5.21185915,0.01947983,0.19416595,0.30217960,4.11249669,0.25264441,0.40954695,0.30783300,0.00000000
-2.11605803,5.18834390,0.02009619,0.19232584,0.30561246,4.06820887,0.25489227,0.41973089,0.31029725,0.00000000
-2.11005503,5.17886783,0.02092990,0.19075269,0.31028185,4.03763841,0.25709910,0.42955407,0.31454281,0.00000000
-2.10405203,5.18215748,0.02198642,0.18935993,0.31613477,4.02006380,0.25916241,0.43878098,0.32048468,0.00000000
-2.09804902,5.19685109,0.02326899,0.18805741,0.32311350,4.01463059,0.26098613,0.44720726,0.32801899,0.00000000
-2.09204602,5.22156499,0.02477814,0.18675584,0.33115662,4.02040249,0.26248510,0.45466587,0.33702481,0.00000000
-2.08604302,5.25495052,0.02651126,0.18537080,0.34019966,4.03640708,0.26358901,0.46103128,0.34736595,0.00000000
-2.08004002,5.29573899,0.02846228,0.18382631,0.35017525,4.06167364,0.26424544,0.46622134,0.35889284,0.00000000
-2.07403702,5.34277254,0.03062142,0.18205756,0.36101289,4.09526165,0.26442195,0.47019690,0.37144429,0.00000000
-2.06803402,5.39502012,0.03297502,0.18001296,0.37263820,4.13627879,0.26410702,0.47295926,0.38484939,0.00000000
-2.06203102,5.45157896,0.03550556,0.17765529,0.38497184,4.18388845,0.26330985,0.47454550,0.39892935,0.00000000
-2.05602801,5.51166246,0.03819175,0.17496198,0.39792825,4.23730734,0.26205911,0.47502235,0.41349945,0.00000000
-2.05002501,5.57457709,0.04100884,0.17192465,0.41141420,4.29579459,0.26040067,0.47447866,0.42837115,0.00000000
-2.04402201,5.63969078,0.04392897,0.16854793,0.42532755,4.35863428,0.25839445,0.47301715,0.44335434,0.00000000
-2.03801901,5.70639646,0.04692170,0.16484774,0.43955620,4.42511364,0.25611072,0.47074601,0.45825982,0.00000000
-2.03201601,5.77407418,0.04995464,0.16084918,0.45397745,4.49449963,0.25362592,0.46777073,0.47290190,0.00000000
-2.02601301,5.84205548,0.05299416,0.15658420,0.46845795,4.56601626,0.25101840,0.46418673,0.48710127,0.00000000
-2.02001001,5.90959309,0.05600614,0.15208915,0.48285432,4.63882525,0.24836425,0.46007323,0.50068786,0.00000000
-2.01400700,5.97583885,0.05895678,0.14740253,0.49701443,4.71201198,0.24573344,0.45548870,0.51350376,0.00000000
-2.00800400,6.03983176,0.06181340,0.14256287,0.51077942,4.78457832,0.24318651,0.45046811,0.52540604,0.00000000
-2.00200100,6.10049739,0.06454511,0.13760703,0.52398636,4.85544338,0.24077196,0.44502211,0.53626926,0.00000000
-1.99599800,6.15665908,0.06712356,0.13256888,0.53647143,4.92345265,0.23852447,0.43913806,0.54598763,0.00000000
-1.98999500,6.20706029,0.06952342,0.12747838,0.54807355,4.98739527,0.23646387,0.43278290,0.55447667,0.00000000
-1.98399200,6.25039709,0.07172283,0.12236121,0.55863817,5.04602875,0.23459513,0.42590754,0.56167418,0.00000000
-1.97798899,6.28535877,0.07370364,0.11723876,0.56802112,5.09811004,0.23290899,0.41845242,0.56754053,0.00000000
-1.97198599,6.31067446,0.07545156,0.11212846,0.57609229,5.14243128,0.23138348,0.41035393,0.57205826,0.00000000
-1.96598299,6.32516315,0.07695603,0.10704447,0.58273898,5.17785866,0.22998593,0.40155116,0.57523090,0.00000000
-1.95997999,6.32778453,0.07821012,0.10199851,0.58786877,5.20337254,0.22867553,0.39199268,0.57708118,0.00000000
-1.95397699,6.31768834,0.07921011,0.09700084,0.59141179,5.21810704,0.22740618,0.38164279,0.57764877,0.00000000
