energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
1.31165583,3.90296883,0.64124809,0.14182813,0.05745714,1.79474858,0.89811780,0.13969798,0.07621566,1.38285913
1.31765883,3.87143956,0.63113169,0.14283990,0.05690824,1.76641264,0.88477854,0.13848071,0.07548755,1.38728038
1.32366183,3.83180578,0.61761147,0.14383220,0.05595982,1.73546170,0.86913619,0.13712079,0.07422949,1.39112554
1.32966483,3.78578387,0.60096112,0.14482776,0.05463204,1.70298734,0.85167165,0.13568611,0.07246822,1.39476522
1.33566783,3.73505445,0.58150534,0.14584003,0.05295275,1.67003150,0.83286547,0.13423882,0.07024068,1.39849292
1.34167084,3.68120392,0.55960954,0.14687237,0.05095651,1.63755297,0.81318207,0.13283321,0.06759271,1.40251200
1.34767384,3.62567274,0.53566856,0.14791775,0.04868339,1.60639839,0.79305531,0.13151391,0.06457746,1.40692721
1.35367684,3.56971253,0.51009482,0.14895895,0.04617767,1.57727888,0.77287615,0.13031470,0.06125367,1.41174119
1.35967984,3.51435358,0.48330649,0.14996925,0.04348637,1.55075302,0.75298267,0.12925768,0.05768372,1.41685595
1.36568284,3.46038387,0.45571617,0.15091371,0.04065784,1.52721660,0.73365298,0.12835315,0.05393173,1.42207935
1.37168584,3.40833972,0.42772043,0.15175071,0.03774031,1.50689912,0.71510092,0.12759989,0.05006169,1.42713588
1.37768884,3.35850796,0.39969062,0.15243393,0.03478056,1.48986668,0.69747467,0.12698594,0.04613565,1.43168146
1.38369185,3.31093843,0.37196530,0.15291451,0.03182276,1.47603078,0.68085809,0.12648982,0.04221219,1.43532093
1.38969485,3.26546571,0.34484429,0.15314331,0.02890740,1.46516205,0.66527446,0.12608202,0.03834502,1.43762763
1.39569785,3.22173800,0.31858460,0.15307319,0.02607055,1.45690806,0.65069225,0.12572674,0.03458200,1.43816372
1.40170085,3.17925130,0.29339823,0.15266113,0.02334325,1.45081394,0.63703246,0.12538375,0.03096430,1.43650026
1.40770385,3.13738672,0.26945158,0.15187008,0.02075117,1.44634486,0.62417710,0.12501031,0.02752596,1.43223600
1.41370685,3.09544880,0.24686651,0.15067056,0.01831444,1.44290918,0.61197815,0.12456296,0.02429370,1.42501403
1.41970985,3.05270308,0.22572270,0.14904182,0.01604778,1.43988147,0.60026683,0.12399925,0.02128702,1.41453549
1.42571286,3.00841109,0.20606112,0.14697256,0.01396066,1.43662444,0.58886243,0.12327918,0.01851851,1.40056995
