energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-2.72836418,1.06647980,0.00022989,0.01515645,0.08349415,0.00000000,0.10913534,0.10109498,0.82275799,0.60764467
-2.72236118,1.09957210,0.00024233,0.01587609,0.08495124,0.00000000,0.11109396,0.10067720,0.85087170,0.63294123
-2.71635818,1.13496814,0.00025369,0.01675400,0.08685213,0.00000000,0.11314570,0.10099202,0.88028079,0.65872040
-2.71035518,1.17215404,0.00026375,0.01779842,0.08916064,0.00000000,0.11520833,0.10201209,0.91057639,0.68465901
-2.70435218,1.21064084,0.00027235,0.01901735,0.09184493,0.00000000,0.11720499,0.10370591,0.94137411,0.71045597
-2.69834917,1.24998383,0.00027935,0.02041838,0.09487814,0.00000000,0.11906687,0.10603962,0.97232981,0.73584347
-2.69234617,1.28979781,0.00028463,0.02200835,0.09823873,0.00000000,0.12073554,0.10897838,1.00315203,0.76059587
-2.68634317,1.32976734,0.00028815,0.02379301,0.10191040,0.00000000,0.12216463,0.11248717,1.03361031,0.78453587
-2.68034017,1.36965156,0.00028987,0.02577645,0.10588171,0.00000000,0.12332110,0.11653122,1.06353909,0.80753763
-2.67433717,1.40928335,0.00028984,0.02796062,0.11014524,0.00000000,0.12418574,0.12107589,1.09283701,0.82952662
-2.66833417,1.44856303,0.00028814,0.03034463,0.11469640,0.00000000,0.12475309,0.12608603,1.12146173,0.85047645
-2.66233117,1.48744729,0.00028490,0.03292414,0.11953196,0.00000000,0.12503071,0.13152516,1.14942079,0.87040274
-2.65632816,1.52593411,0.00028031,0.03569077,0.12464829,0.00000000,0.12503792,0.13735422,1.17675914,0.88935470
-2.65032516,1.56404488,0.00027457,0.03863151,0.13003955,0.00000000,0.12480404,0.14353035,1.20354425,0.90740484
-2.64432216,1.60180511,0.00026796,0.04172831,0.13569588,0.00000000,0.12436634,0.15000558,1.22985000,0.92463765
-2.63831916,1.63922509,0.00026077,0.04495781,0.14160168,0.00000000,0.12376765,0.15672579,1.25574021,0.94113802
-2.63231616,1.67628189,0.00025331,0.04829124,0.14773420,0.00000000,0.12305395,0.16362991,1.28125335,0.95698005
