energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
1.70185093,1.15831499,0.01795860,0.03668141,0.87783303,0.91125507,0.01903715,0.16855553,0.12273544,0.00131476
1.70785393,1.14597221,0.01817528,0.03593748,0.86570156,0.89108577,0.02013206,0.16535164,0.12449893,0.00131288
1.71385693,1.13665100,0.01837394,0.03545511,0.85729985,0.87258751,0.02119762,0.16292486,0.12632503,0.00131472
1.71985993,1.12994550,0.01854038,0.03521652,0.85233060,0.85557630,0.02221316,0.16123762,0.12812479,0.00132002
1.72586293,1.12541048,0.01866142,0.03520134,0.85044430,0.83984406,0.02315898,0.16023994,0.12981329,0.00132843
1.73186593,1.12257934,0.01872531,0.03538736,0.85125176,0.82516991,0.02401708,0.15987126,0.13131264,0.00133955
1.73786893,1.12098207,0.01872209,0.03575137,0.85433713,0.81133111,0.02477170,0.16006257,0.13255480,0.00135289
1.74387194,1.12016276,0.01864388,0.03626997,0.85927123,0.79811360,0.02540998,0.16073858,0.13348400,0.00136793
1.74987494,1.11969629,0.01848509,0.03692035,0.86562495,0.78532191,0.02592241,0.16182023,0.13405875,0.00138411
1.75587794,1.11920370,0.01824260,0.03768101,0.87298245,0.77278806,0.02630324,0.16322714,0.13425333,0.00140086
1.76188094,1.11836592,0.01791580,0.03853236,0.88095388,0.76037950,0.02655076,0.16488028,0.13405877,0.00141762
1.76788394,1.11693536,0.01750662,0.03945733,0.88918721,0.74800573,0.02666736,0.16670458,0.13348317,0.00143385
1.77388694,1.11474515,0.01701940,0.04044172,0.89737881,0.73562355,0.02665957,0.16863146,0.13255151,0.00144908
1.77988994,1.11171556,0.01646078,0.04147450,0.90528241,0.72324064,0.02653779,0.17060121,0.13130478,0.00146289
1.78589295,1.10785741,0.01583943,0.04254790,0.91271597,0.71091751,0.02631600,0.17256510,0.12979865,0.00147495
1.79189595,1.10327213,0.01516580,0.04365737,0.91956624,0.69876755,0.02601125,0.17448713,0.12810147,0.00148503
1.79789895,1.09814854,0.01445176,0.04480136,0.92579045,0.68695511,0.02564306,0.17634526,0.12629201,0.00149302
