energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
3.25062531,1.88391322,0.02041461,0.07250697,0.24978255,0.11023453,0.05235261,0.22705791,0.62107826,1.36789200
3.25662831,1.82185058,0.02009263,0.07300142,0.25230497,0.10761023,0.05319002,0.22274086,0.58129450,1.31337143
3.26263132,1.76355747,0.01987108,0.07346175,0.25606846,0.10511630,0.05418293,0.21884078,0.54177063,1.26186413
3.26863432,1.70961731,0.01974707,0.07388652,0.26096582,0.10277680,0.05531192,0.21545908,0.50291909,1.21384424
3.27463732,1.66047195,0.01971473,0.07426993,0.26685400,0.10060822,0.05655225,0.21268457,0.46511608,1.16968169
3.28064032,1.61641696,0.01976531,0.07460183,0.27355717,0.09861955,0.05787472,0.21059215,0.42869479,1.12963808
3.28664332,1.57760275,0.01988746,0.07486811,0.28087100,0.09681256,0.05924661,0.20924201,0.39394039,1.09386666
3.29264632,1.54404142,0.02006752,0.07505132,0.28856809,0.09518248,0.06063297,0.20867945,0.36108688,1.06241625
3.29864932,1.51561887,0.02028990,0.07513159,0.29640444,0.09371892,0.06199796,0.20893502,0.33031590,1.03523909
3.30465233,1.49211150,0.02053759,0.07508778,0.30412679,0.09240704,0.06330633,0.21002513,0.30175731,1.01220192
3.31065533,1.47320649,0.02079264,0.07489878,0.31148057,0.09122882,0.06452493,0.21195297,0.27549155,0.99309982
3.31665833,1.45852451,0.02103681,0.07454487,0.31821819,0.09016447,0.06562412,0.21470959,0.25155335,0.97767191
3.32266133,1.44764351,0.02125208,0.07400908,0.32410737,0.08919381,0.06657911,0.21827503,0.22993666,0.96561807
3.32866433,1.44012231,0.02142132,0.07327845,0.32893911,0.08829753,0.06737109,0.22261947,0.21060040,0.95661586
3.33466733,1.43552270,0.02152883,0.07234517,0.33253498,0.08745838,0.06798808,0.22770432,0.19347461,0.95033649
3.34067034,1.43342897,0.02156085,0.07120741,0.33475350,0.08666209,0.06842550,0.23348309,0.17846676,0.94645935
3.34667334,1.43346380,0.02150604,0.06987000,0.33549511,0.08589809,0.06868635,0.23990213,0.16546789,0.94468419
3.35267634,1.43529997,0.02135581,0.06834462,0.33470573,0.08515993,0.06878104,0.24690125,0.15435818,0.94474044
3.35867934,1.43866743,0.02110458,0.06664983,0.33237855,0.08444544,0.06872686,0.25441412,0.14501191,0.94639347
3.36468234,1.44335577,0.02074993,0.06481068,0.32855410,0.08375662,0.06854708,0.26236868,0.13730151,0.94944756
3.37068534,1.44921210,0.02029258,0.06285803,0.32331851,0.08309932,0.06826972,0.27068758,0.13110074,0.95374574
3.37668834,1.45613518,0.01973629,0.06082763,0.31680007,0.08248273,0.06792611,0.27928861,0.12628685,0.95916676
3.38269135,1.46406618,0.01908766,0.05875897,0.30916427,0.08191864,0.06754921,0.28808544,0.12274197,0.96561962
3.38869435,1.47297721,0.01835579,0.05669399,0.30060755,0.08142076,0.06717189,0.29698845,0.12035359,0.97303637
3.39469735,1.48285858,0.01755187,0.05467564,0.29134999,0.08100384,0.06682515,0.30590603,0.11901453,0.98136369
3.40070035,1.49370574,0.01668871,0.05274656,0.28162735,0.08068290,0.06653644,0.31474596,0.11862242,0.99055417
3.40670335,1.50550698,0.01578025,0.05094762,0.27168282,0.08047251,0.06632815,0.32341731,0.11907893,1.00055776
3.41270635,1.51823273,0.01484105,0.04931671,0.26175871,0.08038607,0.06621636,0.33183236,0.12028907,1.01131433
3.41870935,1.53182732,0.01388575,0.04788759,0.25208861,0.08043529,0.06620988,0.33990886,0.12216047,1.02274773
3.42471236,1.54620353,0.01292863,0.04668897,0.24289016,0.08062977,0.06630964,0.34757223,0.12460314,1.03476183
3.43071536,1.56124058,0.01198317,0.04574380,0.23435879,0.08097664,0.06650855,0.35475775,0.12752960,1.04723897
3.43671836,1.57678543,0.01106167,0.04506880,0.22666265,0.08148043,0.06679171,0.36141254,0.13085550,1.06004081
3.44272136,1.59265744,0.01017502,0.04467419,0.21993874,0.08214293,0.06713699,0.36749725,0.13450091,1.07301183
