energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-5.05752876,2.76301986,0.33525533,2.13203131,0.01813419,0.00018121,0.01621318,0.23184677
-5.05152576,2.71489477,0.32885488,2.09505197,0.01783934,0.00017895,0.01601487,0.22802508
-5.04552276,2.64985697,0.32035038,2.04495528,0.01746243,0.00017556,0.01575001,0.22287416
-5.03951976,2.56947867,0.30992626,1.98294085,0.01701920,0.00017113,0.01543336,0.21654132
-5.03351676,2.47564765,0.29780330,1.91045199,0.01652767,0.00016577,0.01508194,0.20920135
-5.02751376,2.37050879,0.28423143,1.82913078,0.01600767,0.00015962,0.01471463,0.20105155
-5.02151076,2.25639839,0.26948188,1.74076755,0.01548040,0.00015284,0.01435170,0.19230599
-5.01550775,2.13577405,0.25383883,1.64724696,0.01496782,0.00014559,0.01401433,0.18318942
-5.00950475,2.01114288,0.23759104,1.55049275,0.01449211,0.00013803,0.01372407,0.17393085
-5.00350175,1.88499084,0.22102370,1.45241347,0.01407506,0.00013034,0.01350221,0.16475721
-4.99749875,1.75971568,0.20441093,1.35485085,0.01373749,0.00012269,0.01336927,0.15588717
-4.99149575,1.63756567,0.18800899,1.25953289,0.01349868,0.00011523,0.01334433,0.14752541
-4.98549275,1.52058601,0.17205062,1.16803267,0.01337581,0.00010812,0.01344449,0.13985732
-4.97948974,1.41057410,0.15674046,1.08173419,0.01338344,0.00010148,0.01368431,0.13304449
-4.97348674,1.30904466,0.14225178,1.00180580,0.01353306,0.00009542,0.01407525,0.12722093
-4.96748374,1.21720513,0.12872437,0.92918155,0.01383268,0.00009004,0.01462525,0.12249012
-4.96148074,1.13594128,0.11626377,0.86455043,0.01428652,0.00008540,0.01533829,0.11892290
-4.95547774,1.06581266,0.10494151,0.80835321,0.01489474,0.00008155,0.01621411,0.11655635
-4.94947474,1.00705740,0.09479640,0.76078642,0.01565327,0.00007851,0.01724794,0.11539347
-4.94347174,0.95960531,0.08583664,0.72181267,0.01655382,0.00007627,0.01843038,0.11540378
-4.93746873,0.92309842,0.07804271,0.69117664,0.01758385,0.00007481,0.01974748,0.11652470
-4.93146573,0.89691774,0.07137061,0.66842568,0.01872680,0.00007409,0.02118079,0.11866378
-4.92546273,0.88021519,0.06575560,0.65293436,0.01996233,0.00007402,0.02270768,0.12170158
-4.91945973,0.87194957,0.06111607,0.64393186,0.02126679,0.00007455,0.02430176,0.12549533
-4.91345673,0.87092536,0.05735742,0.64053141,0.02261367,0.00007556,0.02593343,0.12988302
-4.90745373,0.87583338,0.05437597,0.64176104,0.02397428,0.00007697,0.02757056,0.13468806
-4.90145073,0.88529219,0.05206263,0.64659470,0.02531848,0.00007864,0.02917932,0.13972430
-4.89544772,0.89788932,0.05030632,0.65398305,0.02661544,0.00008049,0.03072506,0.14480125
-4.88944472,0.91222126,0.04899712,0.66288328,0.02783453,0.00008238,0.03217326,0.14972946
-4.88344172,0.92693141,0.04802902,0.67228721,0.02894616,0.00008421,0.03349057,0.15432579
-4.87743872,0.94074503,0.04730231,0.68124707,0.02992270,0.00008587,0.03464578,0.15841852
-4.87143572,0.95250044,0.04672556,0.68889843,0.03073929,0.00008727,0.03561075,0.16185206
-4.86543272,0.96117579,0.04621716,0.69447970,0.03137458,0.00008833,0.03636134,0.16449117
-4.85942971,0.96591067,0.04570654,0.69734786,0.03181143,0.00008897,0.03687814,0.16622448
-4.85342671,0.96602224,0.04513486,0.69699002,0.03203742,0.00008915,0.03714705,0.16696722
-4.84742371,0.96101540,0.04445546,0.69303071,0.03204524,0.00008882,0.03715976,0.16666314
-4.84142071,0.95058711,0.04363388,0.68523475,0.03183292,0.00008796,0.03691395,0.16528539
-4.83541771,0.93462475,0.04264760,0.67350573,0.03140386,0.00008658,0.03641332,0.16283655
-4.82941471,0.91319892,0.04148551,0.65788055,0.03076675,0.00008469,0.03566746,0.15934765
-4.82341171,0.88655125,0.04014714,0.63852022,0.02993530,0.00008231,0.03469144,0.15487634
-4.81740870,0.85507787,0.03864173,0.61569742,0.02892782,0.00007949,0.03350529,0.14950436
-4.81140570,0.81930949,0.03698723,0.58978169,0.02776672,0.00007629,0.03213333,0.14333432
-4.80540270,0.77988910,0.03520916,0.56122277,0.02647797,0.00007277,0.03060337,0.13648603
-4.79939970,0.73754839,0.03333958,0.53053296,0.02509044,0.00006902,0.02894588,0.12909265
