energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-4.65532766,3.66709471,0.04997080,0.24405874,0.11579912,1.69438822,1.97003568,0.01470286,1.68306226
-4.64932466,3.63929814,0.05420406,0.24053189,0.11902423,1.63593114,1.95604874,0.01426318,1.66591543
-4.64332166,3.61562805,0.05876090,0.23730506,0.12273962,1.57974899,1.94146971,0.01385863,1.65147247
-4.63731866,3.59596219,0.06358272,0.23444252,0.12692556,1.52571151,1.92658012,0.01348692,1.63939256
-4.63131566,3.58026562,0.06860494,0.23201593,0.13155728,1.47377459,1.91172564,0.01314715,1.62937413
-4.62531266,3.56856163,0.07375755,0.23010131,0.13660280,1.42396665,1.89729547,0.01283982,1.62114587
-4.61930965,3.56090325,0.07896588,0.22877589,0.14202121,1.37637320,1.88370188,0.01256675,1.61445800
-4.61330665,3.55734725,0.08415169,0.22811493,0.14776153,1.33112062,1.87136121,0.01233108,1.60907453
-4.60730365,3.55793231,0.08923447,0.22818891,0.15376213,1.28835985,1.86067700,0.01213718,1.60476709
-4.60130065,3.56266251,0.09413297,0.22906098,0.15995089,1.24825123,1.85202617,0.01199057,1.60131087
-4.59529765,3.57149692,0.09876687,0.23078491,0.16624587,1.21095088,1.84574863,0.01189784,1.59848291
-4.58929465,3.58434575,0.10305867,0.23340373,0.17255672,1.17659937,1.84214052,0.01186653,1.59606271
-4.58329165,3.60107271,0.10693548,0.23694892,0.17878647,1.14531304,1.84145114,0.01190511,1.59383524
-4.57728864,3.62150308,0.11033092,0.24144027,0.18483392,1.11717824,1.84388322,0.01202280,1.59159577
-4.57128564,3.64543644,0.11318685,0.24688635,0.19059626,1.09224838,1.84959602,0.01222951,1.58915638
-4.56528264,3.67266259,0.11545492,0.25328556,0.19597191,1.07054365,1.85871052,0.01253575,1.58635323
-4.55927964,3.70297916,0.11709792,0.26062754,0.20086342,1.05205319,1.87131600,0.01295247,1.58305418
-4.55327664,3.73620896,0.11809078,0.26889488,0.20518035,1.03673904,1.88747689,0.01349092,1.57916597
-4.54727364,3.77221556,0.11842127,0.27806493,0.20884184,1.02454154,1.90723914,0.01416251,1.57464031
-4.54127064,3.81091521,0.11809026,0.28811159,0.21177897,1.01538528,1.93063509,0.01497857,1.56947824
-4.53526763,3.85228396,0.11711165,0.29900682,0.21393664,1.00918541,1.95768634,0.01595015,1.56373244
-4.52926463,3.89635887,0.11551180,0.31072187,0.21527490,1.00585327,1.98840375,0.01708774,1.55750697
-4.52326163,3.94323283,0.11332871,0.32322802,0.21576983,1.00530139,2.02278459,0.01840097,1.55095447
-4.51725863,3.99304295,0.11061075,0.33649685,0.21541374,1.00744707,2.06080659,0.01989829,1.54427082
-4.51125563,4.04595316,0.10741513,0.35049994,0.21421486,1.01221471,2.10241925,0.02158662,1.53768764
